Alabama, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,5,-7
189502,0,-7
189503,18,-7
189504,49,2
189505,156,-29
189506,360,-1
189507,420,-32
189508,437,5
189509,366,86
189510,29,-48
189511,4,-5
189512,1,-4
189601,4,-8
189602,3,-4
189603,12,-13
189604,118,71
189605,320,135
189606,355,-6
189607,488,36
189608,522,90
189609,306,26
189610,61,-16
189611,20,11
189612,2,-3
189701,4,-8
189702,11,4
189703,56,31
189704,39,-8
189705,144,-41
189706,465,104
189707,497,45
189708,415,-17
189709,309,29
189710,121,44
189711,8,-1
189712,3,-2
189801,19,7
189802,2,-5
189803,45,20
189804,13,-34
189805,269,84
189806,446,85
189807,457,5
189808,421,-11
189809,298,18
189810,37,-40
189811,1,-8
189812,1,-4
189901,5,-7
189902,0,-7
189903,24,-1
189904,32,-15
189905,331,146
189906,436,75
189907,466,14
189908,490,58
189909,226,-54
189910,105,28
189911,12,3
189912,2,-3
190001,5,-7
190002,2,-5
190003,13,-12
190004,56,9
190005,201,16
190006,329,-32
190007,449,-3
190008,495,63
190009,365,85
190010,142,65
190011,8,-1
190012,3,-2
190101,9,-3
190102,1,-6
190103,13,-12
190104,9,-38
190105,176,-9
190106,402,41
190107,530,78
190108,405,-27
190109,213,-67
190110,53,-24
190111,1,-8
190112,1,-4
190201,5,-7
190202,0,-7
190203,21,-4
190204,37,-10
190205,320,135
190206,463,102
190207,547,95
190208,518,86
190209,246,-34
190210,61,-16
190211,20,11
190212,2,-3
190301,4,-8
190302,4,-3
190303,47,22
190304,29,-18
190305,164,-21
190306,242,-119
190307,461,9
190308,466,34
190309,243,-37
190310,64,-13
190311,2,-7
190312,0,-5
190401,3,-9
190402,6,-1
190403,37,12
190404,22,-25
190405,167,-18
190406,375,14
190407,405,-47
190408,410,-22
190409,340,60
190410,80,3
190411,4,-5
190412,2,-3
190501,2,-10
190502,0,-7
190503,45,20
190504,54,7
190505,280,95
190506,407,46
190507,431,-21
190508,428,-4
190509,316,36
190510,69,-8
190511,11,2
190512,0,-5
190601,13,1
190602,2,-5
190603,7,-18
190604,68,21
190605,164,-21
190606,404,43
