Idaho, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,5,-4
189506,27,-23
189507,117,-53
189508,125,-8
189509,8,-22
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,0,-9
189606,73,23
189607,218,48
189608,129,-4
189609,16,-14
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,41,32
189706,45,-5
189707,100,-70
189708,188,55
189709,24,-6
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,6,-3
189806,59,9
189807,158,-12
189808,195,62
189809,26,-4
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-9
189906,30,-20
189907,168,-2
189908,44,-89
189909,39,9
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,14,5
190006,114,64
190007,143,-27
190008,73,-60
190009,15,-15
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,19,10
190106,15,-35
190107,212,42
190108,204,71
190109,9,-21
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,7,-2
190206,43,-7
190207,79,-91
190208,108,-25
190209,18,-12
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,4,-5
190306,93,43
190307,88,-82
190308,133,0
190309,12,-18
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,7,-2
190406,39,-11
190407,127,-43
190408,162,29
190409,42,12
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,3,-6
190506,26,-24
190507,178,8
190508,150,17
190509,33,3
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,5,-4
190606,20,-30
190607,227,57
190608,136,3
190609,37,7
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,8,-1
190706,17,-33
190707,129,-41
190708,67,-66
190709,20,-10
190710,3,3
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,0,-9
190806,17,-33
190807,186,16
190808,93,-40
190809,26,-4
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,3,-6
190906,56,6
190907,132,-38
190908,135,2
190909,31,1
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,3,3
191005,11,2
191006,54,4
191007,210,40
191008,65,-68
191009,25,-5
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,0,-9
191106,51,1
191107,142,-28
191108,74,-59
191109,12,-18
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,3,-6
191206,54,4
191207,81,-89
191208,61,-72
191209,4,-26
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,10,1
191306,48,-2
