Illinois, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-1
189504,2,0
189505,67,6
189506,236,63
189507,222,-62
189508,260,28
189509,136,59
189510,0,-9
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-1
189604,14,12
189605,160,99
189606,170,-3
189607,269,-15
189608,251,19
189609,30,-47
189610,1,-8
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,-1
189704,0,-2
189705,29,-32
189706,150,-23
189707,341,57
189708,177,-55
189709,170,93
189710,26,17
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,1,0
189804,0,-2
189805,51,-10
189806,208,35
189807,290,6
189808,218,-14
189809,116,39
189810,1,-8
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-1
189904,1,-1
189905,67,6
189906,205,32
189907,271,-13
189908,292,60
189909,52,-25
189910,18,9
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-1
190004,1,-1
190005,80,19
190006,147,-26
190007,261,-23
190008,384,152
190009,102,25
190010,36,27
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-1
190104,0,-2
190105,42,-19
190106,234,61
190107,467,183
190108,240,8
190109,62,-15
190110,9,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,-1
190204,0,-2
190205,92,31
190206,106,-67
190207,267,-17
190208,150,-82
190209,24,-53
190210,10,1
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,2,1
190304,1,-1
190305,80,19
190306,70,-103
190307,258,-26
190308,165,-67
190309,52,-25
190310,3,-6
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,-1
190404,0,-2
190405,47,-14
190406,125,-48
190407,205,-79
190408,133,-99
190409,65,-12
190410,3,-6
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,2,1
190504,0,-2
190505,52,-9
190506,167,-6
190507,202,-82
190508,245,13
190509,91,14
190510,2,-7
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-1
190604,3,1
190605,61,0
190606,141,-32
190607,224,-60
190608,298,66
190609,131,54
190610,2,-7
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,4,3
190704,0,-2
190705,14,-47
190706,106,-67
190707,262,-22
190708,181,-51
190709,48,-29
190710,1,-8
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,2,1
190804,1,-1
190805,56,-5
190806,137,-36
190807,264,-20
190808,206,-26
190809,134,57
190810,6,-3
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,-1
190904,0,-2
190905,32,-29
190906,151,-22
190907,207,-77
190908,297,65
190909,40,-37
190910,1,-8
190911,1,1
190912,0,0
191001,0,0
191002,0,0
191003,13,12
191004,0,-2
191005,18,-43
191006,139,-34
191007,319,35
191008,219,-13
191009,59,-18
191010,13,4
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,-1
191104,0,-2
191105,133,72
191106,260,87
191107,298,14
191108,199,-33
191109,100,23
191110,2,-7
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-1
191204,1,-1
191205,74,13
191206,108,-65
191207,262,-22
191208,173,-59
191209,84,7
191210,8,-1
191211,0,0
191212,0,0
191301,0,0
