Indiana, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-2
189504,2,1
189505,77,10
189506,259,75
189507,232,-58
189508,275,41
189509,149,57
189510,0,-10
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-2
189604,17,16
189605,169,102
189606,172,-12
189607,280,-10
189608,235,1
189609,45,-47
189610,0,-10
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,-2
189704,0,-1
189705,25,-42
189706,151,-33
189707,348,58
189708,180,-54
189709,136,44
189710,23,13
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,2,0
189804,0,-1
189805,66,-1
189806,230,46
189807,322,32
189808,249,15
189809,142,50
189810,4,-6
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-2
189904,1,0
189905,84,17
189906,245,61
189907,297,7
189908,309,75
189909,77,-15
189910,21,11
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-2
190004,0,-1
190005,95,28
190006,178,-6
190007,291,1
190008,384,150
190009,150,58
190010,41,31
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-2
190104,0,-1
190105,43,-24
190106,236,52
190107,472,182
190108,275,41
190109,83,-9
190110,8,-2
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,1,-1
190204,0,-1
190205,113,46
190206,141,-43
190207,300,10
190208,175,-59
190209,49,-43
190210,12,2
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,6,4
190304,0,-1
190305,103,36
190306,79,-105
190307,285,-5
190308,195,-39
190309,82,-10
190310,6,-4
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,-2
190404,0,-1
190405,55,-12
190406,139,-45
190407,223,-67
190408,169,-65
190409,91,-1
190410,4,-6
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,5,3
190504,0,-1
190505,71,4
190506,184,0
190507,250,-40
190508,249,15
190509,97,5
190510,4,-6
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-2
190604,2,1
190605,76,9
190606,163,-21
190607,240,-50
190608,308,74
190609,149,57
190610,4,-6
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,7,5
190704,0,-1
190705,17,-50
190706,102,-82
190707,265,-25
190708,175,-59
190709,65,-27
190710,1,-9
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,2,0
190804,1,0
190805,75,8
190806,160,-24
190807,291,1
190808,241,7
190809,150,58
190810,5,-5
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,-2
190904,0,-1
190905,36,-31
190906,194,10
190907,205,-85
190908,267,33
190909,49,-43
190910,0,-10
190911,1,1
190912,0,0
191001,0,0
191002,0,0
191003,14,12
191004,0,-1
191005,20,-47
191006,117,-67
191007,285,-5
191008,186,-48
191009,88,-4
191010,12,2
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,-2
191104,0,-1
191105,137,70
191106,226,42
191107,286,-4
191108,232,-2
191109,132,40
191110,5,-5
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-2
191204,2,1
191205,85,18
191206,115,-69
191207,277,-13
191208,179,-55
191209,107,15
191210,6,-4
191211,0,0
191212,0,0
191301,0,0
191302,0,0
