Kansas, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-5
189504,28,17
189505,112,19
189506,254,-27
189507,322,-119
189508,329,-71
189509,237,59
189510,1,-24
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-5
189604,44,33
189605,178,85
189606,271,-10
189607,397,-44
189608,400,0
189609,110,-68
189610,7,-18
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,1,-4
189704,8,-3
189705,76,-17
189706,310,29
189707,458,17
189708,332,-68
189709,263,85
189710,46,21
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,-5
189804,3,-8
189805,77,-16
189806,311,30
189807,387,-54
189808,376,-24
189809,185,7
189810,5,-20
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-5
189904,4,-7
189905,137,44
189906,267,-14
189907,351,-90
189908,468,68
189909,152,-26
189910,55,30
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-5
190004,13,2
190005,110,17
190006,289,8
190007,387,-54
190008,468,68
190009,199,21
190010,43,18
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-5
190104,3,-8
190105,74,-19
190106,374,93
190107,623,182
190108,421,21
190109,161,-17
190110,32,7
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,7,2
190204,8,-3
190205,157,64
190206,202,-79
190207,372,-69
190208,390,-10
190209,76,-102
190210,25,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,3,-2
190304,9,-2
190305,63,-30
190306,121,-160
190307,417,-24
190308,323,-77
190309,126,-52
190310,15,-10
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,7,2
190404,1,-10
190405,62,-31
190406,196,-85
190407,326,-115
190408,297,-103
190409,186,8
190410,24,-1
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,17,12
190504,5,-6
190505,79,-14
190506,327,46
190507,306,-135
190508,411,11
190509,206,28
190510,7,-18
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-5
190604,23,12
190605,106,13
190606,228,-53
190607,283,-158
190608,346,-54
190609,191,13
190610,9,-16
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,23,18
190704,0,-11
190705,23,-70
190706,219,-62
190707,414,-27
190708,391,-9
190709,174,-4
190710,15,-10
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,11,6
190804,11,0
190805,82,-11
190806,225,-56
190807,336,-105
190808,347,-53
190809,179,1
190810,9,-16
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,-5
190904,5,-6
190905,61,-32
190906,263,-18
190907,412,-29
190908,452,52
190909,184,6
190910,15,-10
190911,1,1
190912,0,0
191001,0,0
191002,0,0
191003,42,37
191004,16,5
191005,35,-58
191006,224,-57
191007,444,3
191008,335,-65
191009,186,8
191010,30,5
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,9,4
191104,7,-4
191105,129,36
191106,449,168
191107,420,-21
191108,355,-45
191109,294,116
191110,11,-14
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-5
191204,8,-3
191205,134,41
191206,168,-113
191207,465,24
191208,389,-11
191209,121,-57
191210,22,-3
191211,0,0
191212,0,0
191301,0,0
191302,0,0
