Kentucky, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,-1
189502,0,0
189503,1,-6
189504,9,1
189505,75,-18
189506,301,67
189507,276,-72
189508,322,16
189509,228,75
189510,1,-21
189511,0,0
189512,0,0
189601,0,-1
189602,0,0
189603,0,-7
189604,46,38
189605,201,108
189606,220,-14
189607,346,-2
189608,327,21
189609,117,-36
189610,6,-16
189611,0,0
189612,0,0
189701,0,-1
189702,0,0
189703,10,3
189704,4,-4
189705,41,-52
189706,235,1
189707,369,21
189708,290,-16
189709,191,38
189710,53,31
189711,0,0
189712,0,0
189801,0,-1
189802,0,0
189803,13,6
189804,0,-8
189805,128,35
189806,307,73
189807,378,30
189808,349,43
189809,228,75
189810,14,-8
189811,0,0
189812,0,0
189901,0,-1
189902,0,0
189903,0,-7
189904,9,1
189905,144,51
189906,307,73
189907,358,10
189908,374,68
189909,129,-24
189910,37,15
189911,0,0
189912,0,0
190001,0,-1
190002,0,0
190003,0,-7
190004,5,-3
190005,107,14
190006,257,23
190007,379,31
190008,452,146
190009,265,112
190010,69,47
190011,0,0
190012,0,0
190101,0,-1
190102,0,0
190103,5,-2
190104,0,-8
190105,72,-21
190106,299,65
190107,504,156
190108,309,3
190109,121,-32
190110,15,-7
190111,0,0
190112,0,0
190201,0,-1
190202,0,0
190203,4,-3
190204,1,-7
190205,169,76
190206,232,-2
190207,387,39
190208,302,-4
190209,105,-48
190210,27,5
190211,3,3
190212,0,0
190301,0,-1
190302,0,0
190303,18,11
190304,3,-5
190305,142,49
190306,122,-112
190307,365,17
190308,306,0
190309,139,-14
190310,14,-8
190311,0,0
190312,0,0
190401,0,-1
190402,0,0
190403,5,-2
190404,0,-8
190405,86,-7
190406,227,-7
190407,295,-53
190408,299,-7
190409,174,21
190410,14,-8
190411,0,0
190412,0,0
190501,0,-1
190502,0,0
190503,15,8
190504,5,-3
190505,136,43
190506,276,42
190507,318,-30
190508,304,-2
190509,158,5
190510,14,-8
190511,0,0
190512,0,0
190601,0,-1
190602,0,0
190603,0,-7
190604,14,6
190605,102,9
190606,252,18
190607,303,-45
190608,375,69
190609,231,78
190610,13,-9
190611,0,0
190612,0,0
190701,7,6
190702,0,0
190703,27,20
190704,0,-8
190705,42,-51
190706,156,-78
190707,379,31
190708,276,-30
190709,144,-9
190710,9,-13
190711,0,0
190712,0,0
190801,0,-1
190802,0,0
190803,15,8
190804,10,2
190805,113,20
190806,231,-3
190807,346,-2
190808,317,11
190809,194,41
190810,13,-9
190811,0,0
190812,0,0
190901,0,-1
190902,0,0
190903,1,-6
190904,5,-3
190905,72,-21
190906,271,37
190907,280,-68
190908,340,34
190909,117,-36
190910,6,-16
190911,7,7
190912,0,0
191001,0,-1
191002,0,0
191003,27,20
191004,4,-4
191005,40,-53
191006,152,-82
191007,334,-14
191008,254,-52
191009,191,38
191010,30,8
191011,0,0
191012,0,0
191101,0,-1
191102,0,0
191103,4,-3
191104,1,-7
191105,163,70
191106,292,58
191107,331,-17
191108,332,26
191109,263,110
191110,27,5
191111,0,0
191112,0,0
191201,0,-1
191202,0,0
191203,0,-7
191204,14,6
191205,113,20
191206,163,-71
191207,356,8
191208,254,-52
191209,188,35
191210,22,0
191211,0,0
191212,0,0
191301,6,5
191302,0,0
191303,4,-3
191304,3,-5
191305,102,9
191306,279,45
191307,446,98
191308,386,80
191309,153,0
191310,13,-9
191311,0,0
191312,0,0
191401,0,-1
191402,0,0
191403,0,-7
191404,5,-3
191405,107,14
191406,376,142
191407,410,62
191408,322,16
191409,117,-36
191410,26,4
191411,0,0
191412,0,0
191501,0,-1
191502,0,0
191503,0,-7
191504,20,12
191505,90,-3
191506,193,-41
191507,315,-33
191508,196,-110
191509,180,27
191510,31,9
191511,0,0
191512,0,0
191601,2,1
191602,0,0
191603,1,-6
191604,1,-7
191605,125,32
191606,155,-79
191607,407,59
191608,355,49
191609,104,-49
191610,14,-8
191611,0,0
191612,0,0
191701,0,-1
191702,0,0
191703,2,-5
191704,4,-4
191705,22,-71
191706,172,-62
191707,300,-48
191708,264,-42
191709,111,-42
191710,1,-21
191711,0,0
191712,0,0
191801,0,-1
191802,0,0
191803,16,9
191804,1,-7
191805,157,64
191806,240,6
191807,252,-96
191808,436,130
191809,42,-111
191810,45,23
191811,0,0
191812,0,0
191901,0,-1
191902,0,0
191903,5,-2
191904,5,-3
191905,68,-25
191906,323,89
191907,412,64
191908,278,-28
191909,180,27
191910,91,69
191911,0,0
191912,0,0
192001,0,-1
192002,0,0
192003,4,-3
192004,1,-7
192005,72,-21
192006,194,-40
192007,278,-70
192008,234,-72
192009,169,16
192010,34,12
192011,0,0
192012,0,0
192101,0,-1
192102,0,0
192103,37,30
192104,11,3
192105,93,0
192106,351,117
192107,458,110
192108,301,-5
192109,278,125
192110,11,-11
192111,0,0
192112,0,0
192201,0,-1
192202,0,0
192203,10,3
192204,16,8
192205,131,38
192206,283,49
192207,326,-22
192208,278,-28
192209,209,56
192210,25,3
192211,0,0
192212,0,0
192301,0,-1
192302,0,0
192303,1,-6
192304,1,-7
192305,69,-24
192306,246,12
192307,338,-10
192308,297,-9
192309,148,-5
192310,11,-11
192311,0,0
192312,4,4
192401,0,-1
192402,0,0
192403,0,-7
192404,9,1
192405,28,-65
192406,253,19
192407,250,-98
192408,325,19
192409,73,-80
192410,33,11
192411,0,0
192412,0,0
192501,0,-1
192502,0,0
192503,10,3
192504,27,19
192505,37,-56
192506,327,93
192507,325,-23
192508,318,12
192509,333,180
192510,1,-21
192511,0,0
192512,0,0
192601,0,-1
192602,0,0
192603,0,-7
192604,0,-8
192605,100,7
192606,157,-77
192607,361,13
192608,349,43
192609,226,73
192610,23,1
192611,0,0
192612,0,0
192701,0,-1
192702,1,1
192703,8,1
192704,14,6
192705,94,1
192706,151,-83
192707,308,-40
192708,170,-136
192709,201,48
192710,32,10
192711,0,0
192712,0,0
192801,0,-1
192802,0,0
192803,1,-6
192804,0,-8
192805,59,-34
192806,136,-98
192807,341,-7
192808,341,35
192809,72,-81
192810,36,14
192811,0,0
192812,0,0
192901,0,-1
192902,0,0
192903,16,9
192904,18,10
192905,71,-22
192906,187,-47
192907,341,-7
192908,255,-51
192909,144,-9
192910,11,-11
192911,0,0
192912,0,0
193001,0,-1
193002,3,3
193003,1,-6
193004,15,7
193005,112,19
193006,227,-7
193007,463,115
193008,333,27
193009,211,58
193010,9,-13
193011,0,0
193012,0,0
193101,0,-1
193102,0,0
193103,0,-7
193104,4,-4
193105,56,-37
193106,289,55
193107,444,96
193108,288,-18
193109,277,124
193110,42,20
193111,7,7
193112,4,4
193201,10,9
193202,5,5
193203,0,-7
193204,5,-3
193205,92,-1
193206,276,42
193207,392,44
193208,331,25
193209,149,-4
193210,13,-9
193211,0,0
193212,0,0
193301,9,8
193302,0,0
193303,3,-4
193304,4,-4
193305,152,59
193306,333,99
193307,357,9
193308,286,-20
193309,267,114
193310,13,-9
193311,0,0
193312,0,0
193401,0,-1
