Louisiana, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,17,-10
189502,0,-20
189503,50,-2
189504,94,-13
189505,262,-13
189506,455,8
189507,526,5
189508,512,-2
189509,452,74
189510,78,-71
189511,20,-14
189512,6,-7
189601,15,-12
189602,13,-7
189603,34,-18
189604,170,63
189605,403,128
189606,462,15
189607,569,48
189608,565,51
189609,369,-9
189610,130,-19
189611,65,31
189612,7,-6
189701,12,-15
189702,21,1
189703,146,94
189704,106,-1
189705,236,-39
189706,492,45
189707,559,38
189708,515,1
189709,368,-10
189710,204,55
189711,39,5
189712,11,-2
189801,41,14
189802,18,-2
189803,78,26
189804,46,-61
189805,314,39
189806,465,18
189807,510,-11
189808,504,-10
189809,404,26
189810,93,-56
189811,9,-25
189812,1,-12
189901,19,-8
189902,0,-20
189903,63,11
189904,72,-35
189905,409,134
189906,458,11
189907,549,28
189908,565,51
189909,302,-76
189910,181,32
189911,33,-1
189912,7,-6
190001,16,-11
190002,7,-13
190003,32,-20
190004,111,4
190005,291,16
190006,451,4
190007,501,-20
190008,515,1
190009,495,117
190010,215,66
190011,41,7
190012,8,-5
190101,28,1
190102,6,-14
190103,30,-22
190104,50,-57
190105,237,-38
190106,493,46
190107,560,39
190108,521,7
190109,338,-40
190110,122,-27
190111,13,-21
190112,3,-10
190201,15,-12
190202,3,-17
190203,61,9
190204,111,4
190205,382,107
190206,510,63
190207,542,21
190208,589,75
190209,352,-26
190210,123,-26
190211,69,35
190212,7,-6
190301,13,-14
190302,13,-7
190303,72,20
190304,84,-23
190305,225,-50
190306,338,-109
190307,493,-28
190308,513,-1
190309,310,-68
190310,109,-40
190311,16,-18
190312,0,-13
190401,11,-16
190402,31,11
190403,96,44
190404,76,-31
190405,227,-48
190406,453,6
190407,462,-59
190408,465,-49
190409,423,45
190410,167,18
190411,18,-16
190412,7,-6
190501,9,-18
190502,0,-20
190503,80,28
190504,124,17
190505,383,108
190506,496,49
190507,479,-42
190508,539,25
190509,425,47
190510,138,-11
190511,57,23
190512,0,-13
190601,20,-7
190602,6,-14
190603,21,-31
190604,111,4
190605,271,-4
190606,504,57
190607,506,-15
190608,521,7
190609,441,63
190610,76,-73
190611,56,22
190612,25,12
190701,87,60
190702,23,3
190703,180,128
190704,66,-41
190705,204,-71
190706,421,-26
190707,547,26
190708,542,28
190709,406,28
190710,150,1
190711,14,-20
190712,10,-3
190801,19,-8
190802,12,-8
190803,139,87
190804,225,118
190805,291,16
190806,477,30
190807,498,-23
190808,514,0
190809,363,-15
190810,68,-81
190811,41,7
190812,25,12
190901,45,18
190902,17,-3
190903,63,11
190904,101,-6
190905,246,-29
190906,450,3
190907,573,52
190908,550,36
190909,387,9
190910,159,10
190911,86,52
190912,2,-11
191001,25,-2
191002,8,-12
191003,96,44
191004,85,-22
191005,240,-35
191006,389,-58
191007,501,-20
191008,542,28
191009,428,50
191010,163,14
191011,29,-5
191012,8,-5
191101,67,40
191102,64,44
191103,98,46
191104,160,53
191105,288,13
191106,534,87
191107,468,-53
191108,503,-11
191109,513,135
191110,199,50
191111,14,-20
191112,15,2
191201,10,-17
191202,2,-18
191203,26,-26
191204,140,33
191205,309,34
191206,385,-62
191207,531,10
191208,515,1
191209,449,71
191210,189,40
191211,13,-21
191212,9,-4
191301,51,24
191302,9,-11
191303,39,-13
191304,73,-34
191305,243,-32
191306,409,-38
191307,513,-8
191308,510,-4
191309,324,-54
191310,95,-54
191311,69,35
191312,8,-5
191401,31,4
191402,8,-12
191403,15,-37
191404,103,-4
191405,281,6
191406,546,99
191407,556,35
191408,493,-21
191409,371,-7
191410,146,-3
191411,25,-9
191412,2,-11
191501,13,-14
191502,13,-7
191503,5,-47
191504,102,-5
191505,323,48
191506,510,63
191507,534,13
191508,485,-29
191509,420,42
191510,183,34
191511,55,21
191512,9,-4
191601,61,34
191602,14,-6
191603,52,0
191604,68,-39
191605,314,39
191606,453,6
191607,521,0
191608,521,7
191609,344,-34
191610,124,-25
191611,24,-10
191612,13,0
191701,42,15
191702,22,2
191703,70,18
191704,77,-30
191705,163,-112
191706,437,-10
191707,545,24
191708,497,-17
191709,319,-59
191710,60,-89
191711,8,-26
191712,2,-11
191801,4,-23
191802,45,25
191803,121,69
191804,84,-23
191805,305,30
191806,521,74
191807,523,2
191808,510,-4
191809,264,-114
191810,221,72
191811,20,-14
191812,15,2
191901,12,-15
191902,14,-6
191903,52,0
191904,81,-26
191905,213,-62
191906,405,-42
191907,513,-8
191908,536,22
191909,385,7
191910,340,191
191911,64,30
191912,12,-1
192001,29,2
192002,14,-6
192003,28,-24
192004,96,-11
192005,355,80
192006,399,-48
192007,504,-17
192008,467,-47
192009,446,68
192010,137,-12
192011,8,-26
192012,6,-7
192101,51,24
192102,28,8
192103,164,112
192104,77,-30
192105,244,-31
192106,451,4
192107,525,4
192108,551,37
192109,496,118
192110,128,-21
192111,77,43
192112,31,18
192201,25,-2
192202,43,23
192203,40,-12
192204,174,67
192205,306,31
192206,457,10
192207,500,-21
192208,489,-25
192209,394,16
192210,131,-18
192211,65,31
192212,50,37
192301,56,29
192302,16,-4
192303,32,-20
192304,117,10
192305,230,-45
192306,422,-25
192307,461,-60
192308,498,-16
192309,377,-1
192310,110,-39
192311,12,-22
192312,36,23
192401,10,-17
192402,11,-9
192403,16,-36
192404,107,0
192405,198,-77
192406,505,58
192407,537,16
192408,591,77
192409,361,-17
192410,151,2
192411,52,18
192412,10,-3
192501,23,-4
192502,37,17
192503,69,17
192504,176,69
192505,227,-48
192506,480,33
192507,545,24
192508,515,1
192509,497,119
192510,165,16
192511,23,-11
192512,2,-11
192601,15,-12
192602,23,3
192603,16,-36
192604,60,-47
192605,232,-43
192606,438,-9
192607,506,-15
192608,529,15
192609,468,90
192610,221,72
192611,10,-24
192612,29,16
192701,46,19
192702,76,56
192703,51,-1
192704,187,80
192705,341,66
192706,453,6
192707,532,11
192708,490,-24
192709,406,28
192710,190,41
192711,95,61
192712,6,-7
192801,18,-9
192802,12,-8
192803,68,16
192804,42,-65
192805,234,-41
192806,414,-33
192807,517,-4
192808,547,33
192809,324,-54
192810,219,70
