Maine, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,0,0
189506,29,16
189507,47,-41
189508,40,-23
189509,0,-2
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,0,0
189606,7,-6
189607,77,-11
189608,41,-22
189609,0,-2
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,0,0
189706,0,-13
189707,78,-10
189708,39,-24
189709,0,-2
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,0
189806,6,-7
189807,75,-13
189808,80,17
189809,5,3
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,0
189906,13,0
189907,62,-26
189908,47,-16
189909,0,-2
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,0,0
190006,17,4
190007,79,-9
190008,66,3
190009,2,0
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,0,0
190106,16,3
190107,95,7
190108,60,-3
190109,5,3
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,0,0
190206,0,-13
190207,31,-57
190208,24,-39
190209,0,-2
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,0,0
190306,0,-13
190307,32,-56
190308,7,-56
190309,2,0
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,0,0
190406,2,-11
190407,74,-14
190408,25,-38
190409,0,-2
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,0
190506,0,-13
190507,75,-13
190508,25,-38
190509,0,-2
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,0,0
190606,3,-10
190607,69,-19
190608,85,22
190609,0,-2
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,0
190706,3,-10
190707,54,-34
190708,27,-36
190709,0,-2
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,0,0
190806,20,7
190807,110,22
190808,32,-31
190809,10,8
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,0
190906,10,-3
190907,36,-52
190908,37,-26
190909,0,-2
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,0,0
191006,0,-13
191007,89,1
191008,33,-30
191009,0,-2
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,5,5
191106,6,-7
191107,148,60
191108,42,-21
191109,0,-2
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,0,0
191206,0,-13
191207,72,-16
191208,11,-52
191209,0,-2
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,0,0
191306,3,-10
