Maryland, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,-1
189505,29,-23
189506,235,48
189507,198,-126
189508,305,40
189509,164,56
189510,0,-11
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,3,2
189605,114,62
189606,152,-35
189607,332,8
189608,272,7
189609,81,-27
189610,1,-10
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,-1
189705,28,-24
189706,115,-72
189707,305,-19
189708,209,-56
189709,90,-18
189710,9,-2
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,-1
189805,49,-3
189806,214,27
189807,387,63
189808,319,54
189809,145,37
189810,10,-1
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,-1
189905,54,2
189906,248,61
189907,330,6
189908,266,1
189909,63,-45
189910,11,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,-1
190005,50,-2
190006,201,14
190007,381,57
190008,397,132
190009,216,108
190010,30,19
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,-1
190105,29,-23
190106,176,-11
190107,417,93
190108,296,31
190109,90,-18
190110,3,-8
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,-1
190205,57,5
190206,164,-23
190207,329,5
190208,194,-71
190209,67,-41
190210,10,-1
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,2,2
190304,0,-1
190305,53,1
190306,70,-117
190307,292,-32
190308,177,-88
190309,77,-31
190310,9,-2
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,-1
190405,57,5
190406,152,-35
190407,255,-69
190408,201,-64
190409,85,-23
190410,1,-10
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,-1
190505,66,14
190506,164,-23
190507,297,-27
190508,219,-46
190509,87,-21
190510,8,-3
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,-1
190605,54,2
190606,207,20
190607,275,-49
190608,313,48
190609,168,60
190610,4,-7
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,-1
190705,12,-40
190706,52,-135
190707,278,-46
190708,190,-75
190709,112,4
190710,0,-11
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,-1
190805,57,5
190806,167,-20
190807,350,26
190808,196,-69
190809,65,-43
190810,12,1
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,-1
190905,41,-11
190906,198,11
190907,244,-80
190908,198,-67
190909,65,-43
190910,0,-11
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,2,2
191004,3,2
191005,21,-31
191006,108,-79
191007,329,5
191008,213,-52
191009,137,29
191010,17,6
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,-1
191105,123,71
191106,192,5
191107,367,43
191108,282,17
191109,131,23
191110,5,-6
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,-1
191205,57,5
191206,132,-55
191207,275,-49
191208,193,-72
191209,131,23
191210,12,1
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
