Massachusetts, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,7,2
189506,83,28
189507,80,-90
189508,115,-9
189509,27,9
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,14,9
189606,30,-25
189607,165,-5
189608,126,2
189609,7,-11
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,4,-1
189706,11,-44
189707,168,-2
189708,80,-44
189709,8,-10
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,-5
189806,45,-10
189807,163,-7
189808,156,32
189809,33,15
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,4,-1
189906,93,38
189907,152,-18
189908,94,-30
189909,6,-12
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,0,-5
190006,67,12
190007,187,17
190008,143,19
190009,29,11
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,0,-5
190106,66,11
190107,216,46
190108,132,8
190109,24,6
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,3,-2
190206,21,-34
190207,72,-98
190208,61,-63
190209,10,-8
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,7,2
190306,0,-55
190307,132,-38
190308,24,-100
190309,14,-4
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,14,9
190406,24,-31
190407,137,-33
190408,72,-52
190409,7,-11
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,3,-2
190506,26,-29
190507,176,6
190508,71,-53
190509,7,-11
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,3,-2
190606,45,-10
190607,135,-35
190608,165,41
190609,25,7
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-5
190706,19,-36
190707,154,-16
190708,80,-44
190709,16,-2
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,6,1
190806,75,20
190807,209,39
190808,78,-46
190809,21,3
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-5
190906,63,8
190907,104,-66
190908,78,-46
190909,8,-10
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,0,-5
191006,23,-32
191007,199,29
191008,73,-51
191009,9,-9
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,22,17
191106,30,-25
191107,248,78
191108,89,-35
191109,6,-12
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,5,0
191206,42,-13
191207,165,-5
191208,63,-61
191209,8,-10
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,0,-5
