Michigan, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,30,2
189506,152,53
189507,136,-52
189508,151,7
189509,59,26
189510,0,-3
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,97,69
189606,109,10
189607,161,-27
189608,129,-15
189609,5,-28
189610,0,-3
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,10,-18
189706,53,-46
189707,243,55
189708,75,-69
189709,52,19
189710,5,2
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,22,-6
189806,117,18
189807,202,14
189808,149,5
189809,49,16
189810,0,-3
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,33,5
189906,121,22
189907,156,-32
189908,165,21
189909,8,-25
189910,5,2
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,32,4
190006,76,-23
190007,161,-27
190008,260,116
190009,61,28
190010,15,12
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,16,-12
190106,115,16
190107,304,116
190108,142,-2
190109,27,-6
190110,0,-3
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,27,-1
190206,40,-59
190207,186,-2
190208,72,-72
190209,14,-19
190210,0,-3
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,40,12
190306,30,-69
190307,159,-29
190308,67,-77
190309,21,-12
190310,0,-3
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,22,-6
190406,76,-23
190407,125,-63
190408,69,-75
190409,21,-12
190410,0,-3
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,16,-12
190506,76,-23
190507,141,-47
190508,133,-11
190509,38,5
190510,0,-3
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,21,-7
190606,86,-13
190607,140,-48
190608,209,65
190609,78,45
190610,0,-3
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,2,-26
190706,53,-46
190707,138,-50
190708,89,-55
190709,20,-13
190710,0,-3
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,27,-1
190806,93,-6
190807,190,2
190808,110,-34
190809,80,47
190810,0,-3
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,14,-14
190906,87,-12
190907,142,-46
190908,164,20
190909,13,-20
190910,0,-3
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,7,-21
191006,71,-28
191007,215,27
191008,129,-15
191009,20,-13
191010,5,2
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,84,56
191106,132,33
191107,218,30
191108,130,-14
191109,30,-3
191110,0,-3
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,28,0
191206,58,-41
191207,157,-31
191208,78,-66
191209,48,15
191210,0,-3
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
