Minnesota, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,3,3
189505,23,0
189506,76,-9
189507,116,-55
189508,100,-20
189509,32,15
189510,0,-1
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,52,29
189606,94,9
189607,135,-36
189608,108,-12
189609,2,-15
189610,0,-1
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,13,-10
189706,44,-41
189707,212,41
189708,61,-59
189709,61,44
189710,1,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,16,-7
189806,85,0
189807,151,-20
189808,89,-31
189809,22,5
189810,0,-1
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,14,-9
189906,81,-4
189907,162,-9
189908,129,9
189909,5,-12
189910,1,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,3,3
190005,37,14
190006,93,8
190007,128,-43
190008,248,128
190009,15,-2
190010,11,10
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,26,3
190106,84,-1
190107,269,98
190108,140,20
190109,6,-11
190110,0,-1
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,29,6
190206,33,-52
190207,155,-16
190208,66,-54
190209,3,-14
190210,0,-1
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,22,-1
190306,44,-41
190307,104,-67
190308,44,-76
190309,4,-13
190310,0,-1
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,15,-8
190406,48,-37
190407,84,-87
190408,58,-62
190409,6,-11
190410,0,-1
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,6,-17
190506,52,-33
190507,108,-63
190508,126,6
190509,29,12
190510,0,-1
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,12,-11
190606,60,-25
190607,121,-50
190608,128,8
190609,42,25
190610,0,-1
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-23
190706,55,-30
190707,125,-46
190708,84,-36
190709,5,-12
190710,0,-1
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,12,-11
190806,49,-36
190807,154,-17
190808,77,-43
190809,56,39
190810,0,-1
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,10,-13
190906,78,-7
190907,141,-30
190908,185,65
190909,12,-5
190910,0,-1
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,4,4
191004,1,1
191005,5,-18
191006,121,36
191007,176,5
191008,85,-35
191009,13,-4
191010,2,1
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,45,22
191106,162,77
191107,138,-33
191108,61,-59
191109,8,-9
191110,0,-1
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,19,-4
191206,44,-41
191207,138,-33
191208,57,-63
191209,11,-6
191210,0,-1
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
