Mississippi, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,5,-9
189502,0,-9
189503,25,-8
189504,69,5
189505,182,-30
189506,402,3
189507,483,-6
189508,470,-2
189509,404,92
189510,32,-62
189511,5,-7
189512,1,-5
189601,7,-7
189602,6,-3
189603,17,-16
189604,143,79
189605,370,158
189606,403,4
189607,543,54
189608,539,67
189609,295,-17
189610,73,-21
189611,23,11
189612,3,-3
189701,5,-9
189702,13,4
189703,81,48
189704,57,-7
189705,168,-44
189706,472,73
189707,534,45
189708,471,-1
189709,349,37
189710,152,58
189711,12,0
189712,4,-2
189801,23,9
189802,6,-3
189803,51,18
189804,23,-41
189805,283,71
189806,461,62
189807,471,-18
189808,468,-4
189809,335,23
189810,44,-50
189811,1,-11
189812,0,-6
189901,8,-6
189902,0,-9
189903,33,0
189904,46,-18
189905,370,158
189906,441,42
189907,510,21
189908,540,68
189909,247,-65
189910,135,41
189911,15,3
189912,1,-5
190001,8,-6
190002,3,-6
190003,18,-15
190004,71,7
190005,223,11
190006,372,-27
190007,480,-9
190008,510,38
190009,424,112
190010,151,57
190011,11,-1
190012,4,-2
190101,14,0
190102,1,-8
190103,19,-14
190104,19,-45
190105,181,-31
190106,456,57
190107,562,73
190108,466,-6
190109,253,-59
190110,75,-19
190111,2,-10
190112,0,-6
190201,6,-8
190202,0,-9
190203,34,1
190204,62,-2
190205,348,136
190206,489,90
190207,542,53
190208,541,69
190209,257,-55
190210,79,-15
190211,32,20
190212,2,-4
190301,8,-6
190302,6,-3
190303,51,18
190304,50,-14
190305,190,-22
190306,270,-129
190307,492,3
190308,486,14
190309,256,-56
190310,78,-16
190311,3,-9
190312,0,-6
190401,4,-10
190402,12,3
190403,58,25
190404,35,-29
190405,177,-35
190406,402,3
190407,429,-60
190408,444,-28
190409,383,71
190410,105,11
190411,4,-8
190412,3,-3
190501,2,-12
190502,0,-9
190503,59,26
190504,70,6
190505,303,91
190506,438,39
190507,442,-47
190508,490,18
190509,352,40
190510,84,-10
190511,18,6
190512,0,-6
190601,12,-2
190602,1,-8
190603,10,-23
190604,84,20
190605,188,-24
190606,432,33
190607,451,-38
190608,486,14
190609,397,85
190610,45,-49
190611,17,5
190612,12,6
190701,50,36
190702,10,1
190703,130,97
190704,21,-43
190705,133,-79
190706,347,-52
190707,515,26
190708,519,47
190709,319,7
190710,86,-8
190711,2,-10
190712,2,-4
190801,9,-5
190802,3,-6
190803,98,65
190804,146,82
190805,235,23
190806,406,7
190807,473,-16
190808,462,-10
190809,313,1
190810,36,-58
190811,20,8
190812,11,5
190901,24,10
190902,10,1
190903,36,3
190904,62,-2
190905,159,-53
190906,406,7
190907,522,33
190908,522,50
190909,328,16
190910,89,-5
190911,43,31
190912,0,-6
191001,12,-2
191002,2,-7
191003,80,47
191004,47,-17
191005,158,-54
191006,330,-69
191007,457,-32
191008,491,19
191009,391,79
191010,113,19
191011,5,-7
191012,0,-6
191101,33,19
191102,33,24
191103,52,19
191104,79,15
191105,250,38
191106,490,91
191107,421,-68
191108,445,-27
191109,472,160
191110,145,51
191111,2,-10
191112,7,1
191201,3,-11
191202,0,-9
191203,13,-20
191204,82,18
191205,233,21
191206,305,-94
191207,479,-10
191208,460,-12
191209,370,58
191210,121,27
191211,3,-9
191212,3,-3
191301,31,17
191302,4,-5
191303,21,-12
191304,41,-23
191305,192,-20
191306,387,-12
191307,501,12
191308,491,19
191309,274,-38
