Missouri, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-6
189504,18,9
189505,96,4
189506,256,9
189507,297,-93
189508,321,-21
189509,213,65
189510,1,-21
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-6
189604,47,38
189605,192,100
189606,234,-13
189607,382,-8
189608,356,14
189609,88,-60
189610,8,-14
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,3,-3
189704,3,-6
189705,58,-34
189706,261,14
189707,425,35
189708,280,-62
189709,276,128
189710,62,40
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,3,-3
189804,0,-9
189805,102,10
189806,307,60
189807,343,-47
189808,334,-8
189809,194,46
189810,5,-17
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-6
189904,3,-6
189905,125,33
189906,275,28
189907,340,-50
189908,412,70
189909,118,-30
189910,53,31
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-6
190004,11,2
190005,116,24
190006,242,-5
190007,358,-32
190008,465,123
190009,193,45
190010,51,29
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-6
190104,1,-8
190105,79,-13
190106,372,125
190107,627,237
190108,405,63
190109,147,-1
190110,30,8
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,3,-3
190204,3,-6
190205,172,80
190206,184,-63
190207,364,-26
190208,298,-44
190209,54,-94
190210,24,2
190211,2,2
190212,0,0
190301,0,0
190302,0,0
190303,7,1
190304,8,-1
190305,98,6
190306,109,-138
190307,372,-18
190308,287,-55
190309,103,-45
190310,14,-8
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,4,-2
190404,0,-9
190405,70,-22
190406,178,-69
190407,279,-111
190408,257,-85
190409,157,9
190410,16,-6
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,14,8
190504,4,-5
190505,94,2
190506,295,48
190507,261,-129
190508,343,1
190509,155,7
190510,8,-14
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-6
190604,19,10
190605,106,14
190606,210,-37
190607,284,-106
190608,338,-4
190609,205,57
190610,9,-13
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,24,18
190704,0,-9
190705,26,-66
190706,171,-76
190707,382,-8
190708,346,4
190709,130,-18
190710,10,-12
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,13,7
190804,8,-1
190805,102,10
190806,196,-51
190807,334,-56
190808,318,-24
190809,183,35
190810,9,-13
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,2,-4
190904,3,-6
190905,60,-32
190906,244,-3
190907,346,-44
190908,435,93
190909,134,-14
190910,13,-9
190911,7,7
190912,0,0
191001,0,0
191002,0,0
191003,39,33
191004,6,-3
191005,37,-55
191006,177,-70
191007,362,-28
191008,298,-44
191009,151,3
191010,25,3
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,6,0
191104,3,-6
191105,159,67
191106,406,159
191107,400,10
191108,322,-20
191109,244,96
191110,13,-9
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-6
191204,7,-2
191205,134,42
191206,152,-95
191207,412,22
191208,329,-13
191209,137,-11
191210,21,-1
191211,0,0
191212,0,0
191301,0,0
191302,0,0
