Montana, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,0,-2
189506,6,-14
189507,43,-32
189508,38,-17
189509,4,-6
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,1,-1
189606,28,8
189607,82,7
189608,37,-18
189609,1,-9
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,11,9
189706,13,-7
189707,38,-37
189708,72,17
189709,16,6
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,1,-1
189806,12,-8
189807,52,-23
189808,80,25
189809,6,-4
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-2
189906,9,-11
189907,69,-6
189908,20,-35
189909,15,5
189910,0,0
189911,0,0
189912,0,0
190001,1,1
190002,0,0
190003,0,0
190004,0,0
190005,7,5
190006,60,40
190007,61,-14
190008,33,-22
190009,4,-6
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,11,9
190106,4,-16
190107,109,34
190108,72,17
190109,1,-9
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,2,0
190206,7,-13
190207,33,-42
190208,34,-21
190209,4,-6
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,0,-2
190306,24,4
190307,28,-47
190308,32,-23
190309,3,-7
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,1,-1
190406,13,-7
190407,54,-21
190408,44,-11
190409,10,0
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,-2
190506,7,-13
190507,61,-14
190508,72,17
190509,17,7
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,0,-2
190606,8,-12
190607,85,10
190608,41,-14
190609,16,6
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-2
190706,8,-12
190707,36,-39
190708,22,-33
190709,5,-5
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,0,-2
190806,7,-13
190807,85,10
190808,28,-27
190809,14,4
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-2
190906,16,-4
190907,54,-21
190908,62,7
190909,12,2
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,2,2
191004,1,1
191005,1,-1
191006,29,9
191007,94,19
191008,19,-36
191009,5,-5
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,1,-1
191106,30,10
191107,34,-41
191108,14,-41
191109,5,-5
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,0,-2
191206,22,2
191207,27,-48
191208,19,-36
191209,0,-10
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,0,-2
