Nebraska, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-1
189504,12,9
189505,67,6
189506,164,-32
189507,256,-86
189508,238,-39
189509,138,45
189510,0,-7
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-1
189604,8,5
189605,96,35
189606,170,-26
189607,260,-82
189608,221,-56
189609,27,-66
189610,0,-7
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,-1
189704,0,-3
189705,42,-19
189706,164,-32
189707,333,-9
189708,169,-108
189709,203,110
189710,10,3
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,-1
189804,0,-3
189805,31,-30
189806,198,2
189807,284,-58
189808,269,-8
189809,86,-7
189810,0,-7
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-1
189904,0,-3
189905,52,-9
189906,190,-6
189907,252,-90
189908,292,15
189909,79,-14
189910,11,4
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-1
190004,5,2
190005,87,26
190006,209,13
190007,307,-35
190008,362,85
190009,88,-5
190010,21,14
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-1
190104,0,-3
190105,51,-10
190106,228,32
190107,540,198
190108,298,21
190109,66,-27
190110,8,1
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,-1
190204,0,-3
190205,95,34
190206,106,-90
190207,254,-88
190208,204,-73
190209,33,-60
190210,7,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,-1
190304,0,-3
190305,45,-16
190306,91,-105
190307,286,-56
190308,189,-88
190309,45,-48
190310,6,-1
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,-1
190404,0,-3
190405,48,-13
190406,120,-76
190407,221,-121
190408,192,-85
190409,81,-12
190410,6,-1
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,7,6
190504,0,-3
190505,30,-31
190506,174,-22
190507,211,-131
190508,302,25
190509,113,20
190510,0,-7
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-1
190604,7,4
190605,64,3
190606,139,-57
190607,196,-146
190608,260,-17
190609,105,12
190610,0,-7
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,1,0
190704,0,-3
190705,16,-45
190706,140,-56
190707,301,-41
190708,265,-12
190709,84,-9
190710,1,-6
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,-1
190804,5,2
190805,35,-26
190806,132,-64
190807,254,-88
190808,200,-77
190809,150,57
190810,0,-7
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,-1
190904,0,-3
190905,35,-26
190906,167,-29
190907,295,-47
190908,368,91
190909,80,-13
190910,0,-7
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,26,25
191004,7,4
191005,18,-43
191006,175,-21
191007,323,-19
191008,202,-75
191009,86,-7
191010,13,6
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,1,0
191104,0,-3
191105,82,21
191106,338,142
191107,337,-5
191108,222,-55
191109,139,46
191110,0,-7
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-1
191204,0,-3
191205,82,21
191206,109,-87
191207,356,14
191208,247,-30
191209,43,-50
191210,4,-3
191211,0,0
