New Hampshire, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,8,5
189506,65,37
189507,53,-55
189508,55,-16
189509,8,3
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,8,5
189606,15,-13
189607,124,16
189608,78,7
189609,0,-5
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,0,-3
189706,0,-28
189707,147,39
189708,49,-22
189709,0,-5
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,-3
189806,24,-4
189807,119,11
189808,97,26
189809,10,5
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-3
189906,44,16
189907,92,-16
189908,59,-12
189909,0,-5
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,0,-3
190006,40,12
190007,122,14
190008,86,15
190009,9,4
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,0,-3
190106,47,19
190107,158,50
190108,88,17
190109,8,3
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,0,-3
190206,6,-22
190207,43,-65
190208,25,-46
190209,0,-5
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,6,3
190306,0,-28
190307,69,-39
190308,8,-63
190309,7,2
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,12,9
190406,13,-15
190407,84,-24
190408,36,-35
190409,0,-5
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,-3
190506,8,-20
190507,108,0
190508,32,-39
190509,0,-5
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,0,-3
190606,16,-12
190607,90,-18
190608,113,42
190609,9,4
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-3
190706,10,-18
190707,90,-18
190708,36,-35
190709,0,-5
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,6,3
190806,36,8
190807,156,48
190808,38,-33
190809,14,9
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-3
190906,28,0
190907,52,-56
190908,37,-34
190909,0,-5
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,0,-3
191006,8,-20
191007,123,15
191008,39,-32
191009,0,-5
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,21,18
191106,8,-20
191107,180,72
191108,54,-17
191109,0,-5
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,0,-3
191206,8,-20
191207,98,-10
191208,21,-50
191209,0,-5
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,0,-3
191306,13,-15
