New Jersey, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,17,-5
189506,168,49
189507,139,-115
189508,233,32
189509,110,49
189510,0,-4
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,58,36
189606,86,-33
189607,257,3
189608,213,12
189609,38,-23
189610,0,-4
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,14,-8
189706,51,-68
189707,249,-5
189708,150,-51
189709,43,-18
189710,3,-1
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,8,-14
189806,126,7
189807,275,21
189808,247,46
189809,89,28
189810,3,-1
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,17,-5
189906,171,52
189907,233,-21
189908,180,-21
189909,31,-30
189910,3,-1
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,15,-7
190006,133,14
190007,285,31
190008,298,97
190009,112,51
190010,14,10
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,7,-15
190106,125,6
190107,347,93
190108,230,29
190109,64,3
190110,0,-4
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,14,-8
190206,77,-42
190207,212,-42
190208,132,-69
190209,38,-23
190210,4,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,31,9
190306,26,-93
190307,220,-34
190308,96,-105
190309,41,-20
190310,3,-1
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,34,12
190406,93,-26
190407,190,-64
190408,143,-58
190409,39,-22
190410,0,-4
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,19,-3
190506,90,-29
190507,256,2
190508,154,-47
190509,47,-14
190510,3,-1
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,21,-1
190606,143,24
190607,217,-37
190608,259,58
190609,98,37
190610,0,-4
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-22
190706,31,-88
190707,222,-32
190708,137,-64
190709,65,4
190710,0,-4
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,23,1
190806,122,3
190807,289,35
190808,149,-52
190809,50,-11
190810,5,1
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,15,-7
190906,123,4
190907,168,-86
190908,135,-66
190909,33,-28
190910,0,-4
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,12,-10
191006,63,-56
191007,271,17
191008,137,-64
191009,70,9
191010,5,1
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,52,30
191106,103,-16
191107,292,38
191108,185,-16
191109,60,-1
191110,0,-4
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,24,2
191206,82,-37
191207,224,-30
191208,130,-71
191209,55,-6
191210,5,1
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
