Arkansas, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,-1
189502,0,-1
189503,12,-3
189504,42,11
189505,135,-9
189506,340,4
189507,413,-53
189508,420,-19
189509,335,90
189510,8,-43
189511,0,-2
189512,0,0
189601,0,-1
189602,0,-1
189603,4,-11
189604,120,89
189605,283,139
189606,362,26
189607,562,96
189608,529,90
189609,241,-4
189610,27,-24
189611,1,-1
189612,0,0
189701,0,-1
189702,1,0
189703,26,11
189704,27,-4
189705,122,-22
189706,370,34
189707,527,61
189708,421,-18
189709,315,70
189710,107,56
189711,0,-2
189712,0,0
189801,2,1
189802,0,-1
189803,19,4
189804,11,-20
189805,211,67
189806,395,59
189807,446,-20
189808,423,-16
189809,288,43
189810,23,-28
189811,0,-2
189812,0,0
189901,0,-1
189902,0,-1
189903,8,-7
189904,19,-12
189905,233,89
189906,349,13
189907,425,-41
189908,526,87
189909,204,-41
189910,85,34
189911,4,2
189912,0,0
190001,0,-1
190002,0,-1
190003,10,-5
190004,33,2
190005,141,-3
190006,335,-1
190007,431,-35
190008,478,39
190009,355,110
190010,90,39
190011,1,-1
190012,0,0
190101,1,0
190102,0,-1
190103,9,-6
190104,9,-22
190105,122,-22
190106,406,70
190107,583,117
190108,472,33
190109,219,-26
190110,58,7
190111,0,-2
190112,0,0
190201,0,-1
190202,0,-1
190203,13,-2
190204,26,-5
190205,248,104
190206,362,26
190207,447,-19
190208,478,39
190209,130,-115
190210,42,-9
190211,9,7
190212,0,0
190301,0,-1
190302,0,-1
190303,19,4
190304,20,-11
190305,114,-30
190306,166,-170
190307,431,-35
190308,406,-33
190309,169,-76
190310,28,-23
190311,0,-2
190312,0,0
190401,0,-1
190402,0,-1
190403,20,5
190404,5,-26
190405,103,-41
190406,291,-45
190407,374,-92
190408,386,-53
190409,279,34
190410,45,-6
190411,0,-2
190412,0,0
190501,0,-1
190502,0,-1
190503,29,14
190504,23,-8
190505,174,30
190506,366,30
190507,348,-118
190508,422,-17
190509,261,16
190510,31,-20
190511,1,-1
190512,0,0
190601,0,-1
190602,0,-1
190603,1,-14
190604,47,16
190605,139,-5
190606,317,-19
190607,344,-122
190608,385,-54
190609,305,60
190610,14,-37
190611,0,-2
190612,1,1
190701,9,8
190702,0,-1
190703,71,56
190704,1,-30
190705,54,-90
190706,282,-54
190707,485,19
190708,518,79
190709,250,5
190710,39,-12
190711,0,-2
190712,0,0
190801,0,-1
190802,0,-1
190803,48,33
190804,49,18
190805,160,16
190806,317,-19
190807,425,-41
190808,426,-13
190809,248,3
190810,18,-33
190811,2,0
190812,0,0
190901,1,0
190902,1,0
190903,13,-2
190904,23,-8
190905,98,-46
190906,334,-2
190907,505,39
190908,520,81
190909,274,29
190910,49,-2
190911,20,18
190912,0,0
191001,0,-1
191002,0,-1
191003,55,40
191004,15,-16
191005,86,-58
191006,256,-80
191007,429,-37
191008,417,-22
191009,328,83
191010,53,2
191011,1,-1
191012,0,0
191101,5,4
191102,5,4
191103,26,11
191104,19,-12
191105,179,35
191106,458,122
191107,400,-66
191108,383,-56
191109,390,145
191110,49,-2
191111,0,-2
191112,0,0
191201,0,-1
191202,0,-1
191203,0,-15
191204,30,-1
191205,153,9
191206,234,-102
191207,487,21
191208,405,-34
191209,270,25
191210,56,5
191211,0,-2
191212,0,0
191301,1,0
191302,0,-1
191303,5,-10
191304,23,-8
191305,139,-5
191306,346,10
191307,494,28
191308,512,73
191309,196,-49
191310,23,-28
191311,11,9
191312,0,0
191401,2,1
191402,0,-1
191403,6,-9
191404,21,-10
191405,141,-3
191406,495,159
191407,521,55
191408,389,-50
191409,258,13
191410,47,-4
191411,0,-2
191412,0,0
191501,0,-1
191502,0,-1
191503,0,-15
191504,51,20
191505,151,7
191506,300,-36
191507,399,-67
191508,284,-155
191509,269,24
191510,51,0
191511,4,2
191512,0,0
191601,1,0
191602,0,-1
191603,15,0
191604,15,-16
191605,194,50
191606,286,-50
191607,527,61
191608,495,56
191609,213,-32
191610,46,-5
191611,0,-2
191612,0,0
191701,0,-1
191702,0,-1
191703,13,-2
191704,19,-12
191705,47,-97
191706,283,-53
191707,435,-31
191708,360,-79
191709,202,-43
191710,9,-42
191711,0,-2
191712,0,0
191801,0,-1
191802,1,0
191803,36,21
191804,15,-16
191805,210,66
191806,435,99
191807,428,-38
191808,535,96
191809,110,-135
191810,83,32
191811,0,-2
191812,1,1
191901,0,-1
191902,0,-1
191903,14,-1
191904,28,-3
191905,94,-50
191906,331,-5
191907,485,19
191908,461,22
191909,272,27
191910,107,56
191911,1,-1
191912,0,0
192001,0,-1
192002,0,-1
192003,10,-5
192004,16,-15
192005,173,29
192006,268,-68
192007,434,-32
192008,338,-101
192009,277,32
192010,65,14
192011,0,-2
192012,0,0
192101,4,3
192102,2,1
192103,61,46
192104,16,-15
192105,151,7
192106,381,45
192107,500,34
192108,488,49
192109,415,170
192110,33,-18
192111,4,2
192112,1,1
192201,0,-1
192202,2,1
192203,10,-5
192204,45,14
192205,174,30
192206,376,40
192207,447,-19
192208,451,12
192209,307,62
192210,50,-1
192211,1,-1
192212,2,2
192301,6,5
192302,0,-1
192303,6,-9
192304,25,-6
192305,103,-41
192306,330,-6
192307,438,-28
192308,500,61
192309,222,-23
192310,20,-31
192311,0,-2
192312,5,5
192401,0,-1
192402,0,-1
192403,1,-14
192404,26,-5
192405,67,-77
192406,381,45
192407,401,-65
192408,498,59
192409,148,-97
192410,67,16
192411,1,-1
192412,0,0
192501,0,-1
192502,4,3
192503,21,6
192504,91,60
192505,112,-32
192506,484,148
192507,489,23
192508,434,-5
192509,428,183
192510,18,-33
192511,0,-2
192512,0,0
192601,0,-1
192602,3,2
192603,3,-12
192604,9,-22
192605,147,3
192606,315,-21
192607,435,-31
192608,462,23
192609,327,82
192610,76,25
192611,0,-2
192612,0,0
192701,0,-1
192702,9,8
192703,14,-1
192704,72,41
192705,193,49
192706,301,-35
192707,425,-41
192708,333,-106
192709,291,46
192710,84,33
192711,10,8
192712,0,0
192801,0,-1
192802,0,-1
192803,13,-2
192804,6,-25
192805,146,2
192806,241,-95
192807,448,-18
192808,480,41
192809,172,-73
192810,93,42
192811,0,-2
192812,0,0
192901,0,-1
192902,0,-1
192903,23,8
192904,47,16
192905,109,-35
192906,312,-24
192907,482,16
192908,468,29
192909,239,-6
