New York, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,14,3
189506,120,45
189507,96,-99
189508,146,-6
189509,56,20
189510,0,-1
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,33,22
189606,50,-25
189607,197,2
189608,161,9
189609,17,-19
189610,0,-1
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,8,-3
189706,24,-51
189707,217,22
189708,100,-52
189709,20,-16
189710,0,-1
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,5,-6
189806,82,7
189807,217,22
189808,181,29
189809,57,21
189810,0,-1
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,10,-1
189906,117,42
189907,174,-21
189908,145,-7
189909,15,-21
189910,0,-1
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,7,-4
190006,91,16
190007,222,27
190008,220,68
190009,72,36
190010,6,5
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,5,-6
190106,92,17
190107,267,72
190108,165,13
190109,32,-4
190110,0,-1
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,6,-5
190206,34,-41
190207,134,-61
190208,92,-60
190209,22,-14
190210,0,-1
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,18,7
190306,10,-65
190307,158,-37
190308,42,-110
190309,23,-13
190310,0,-1
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,20,9
190406,58,-17
190407,138,-57
190408,92,-60
190409,15,-21
190410,0,-1
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,8,-3
190506,50,-25
190507,201,6
190508,97,-55
190509,23,-13
190510,0,-1
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,9,-2
190606,84,9
190607,166,-29
190608,196,44
190609,57,21
190610,0,-1
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-11
190706,27,-48
190707,165,-30
190708,96,-56
190709,37,1
190710,0,-1
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,14,3
190806,91,16
190807,236,41
190808,115,-37
190809,45,9
190810,0,-1
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,4,-7
190906,80,5
190907,132,-63
190908,97,-55
190909,18,-18
190910,0,-1
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,5,-6
191006,38,-37
191007,218,23
191008,104,-48
191009,32,-4
191010,0,-1
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,43,32
191106,56,-19
191107,246,51
191108,134,-18
191109,25,-11
191110,0,-1
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,11,0
191206,45,-30
191207,187,-8
191208,82,-70
191209,25,-11
191210,0,-1
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
