North Dakota, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,8,7
189505,13,-7
189506,33,-47
189507,116,-57
189508,84,-46
189509,16,-4
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,-1
189605,29,9
189606,98,18
189607,131,-42
189608,79,-51
189609,2,-18
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,-1
189705,22,2
189706,54,-26
189707,161,-12
189708,69,-61
189709,77,57
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,-1
189805,11,-9
189806,63,-17
189807,137,-36
189808,101,-29
189809,16,-4
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,-1
189905,7,-13
189906,63,-17
189907,153,-20
189908,89,-41
189909,12,-8
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,8,7
190005,46,26
190006,129,49
190007,146,-27
190008,181,51
190009,10,-10
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,-1
190105,56,36
190106,60,-20
190107,220,47
190108,119,-11
190109,5,-15
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,-1
190205,24,4
190206,24,-56
190207,137,-36
190208,75,-55
190209,6,-14
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,-1
190305,14,-6
190306,61,-19
190307,114,-59
190308,61,-69
190309,2,-18
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,-1
190405,15,-5
190406,48,-32
190407,80,-93
190408,59,-71
190409,9,-11
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,-1
190505,5,-15
190506,34,-46
190507,108,-65
190508,140,10
190509,33,13
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,6,5
190605,9,-11
190606,62,-18
190607,138,-35
190608,106,-24
190609,57,37
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,-1
190705,0,-20
190706,63,-17
190707,113,-60
190708,85,-45
190709,2,-18
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,-1
190805,8,-12
190806,47,-33
190807,165,-8
190808,69,-61
190809,48,28
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,-1
190905,10,-10
190906,81,1
190907,141,-32
190908,163,33
190909,28,8
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,11,11
191004,3,2
191005,6,-14
191006,132,52
191007,188,15
191008,62,-68
191009,11,-9
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,-1
191105,22,2
191106,136,56
191107,106,-67
191108,52,-78
191109,9,-11
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,-1
191205,17,-3
191206,57,-23
191207,119,-54
191208,64,-66
191209,2,-18
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
