Ohio, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-1
189504,0,-1
189505,46,-3
189506,203,58
189507,190,-55
189508,235,41
189509,129,56
189510,0,-6
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-1
189604,11,10
189605,144,95
189606,140,-5
189607,242,-3
189608,188,-6
189609,34,-39
189610,0,-6
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,-1
189704,0,-1
189705,18,-31
189706,103,-42
189707,309,64
189708,129,-65
189709,85,12
189710,14,8
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,1,0
189804,0,-1
189805,50,1
189806,188,43
189807,316,71
189808,236,42
189809,116,43
189810,4,-2
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-1
189904,1,0
189905,75,26
189906,190,45
189907,264,19
189908,251,57
189909,55,-18
189910,13,7
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-1
190004,0,-1
190005,69,20
190006,149,4
190007,259,14
190008,323,129
190009,141,68
190010,28,22
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-1
190104,0,-1
190105,32,-17
190106,178,33
190107,393,148
190108,233,39
190109,63,-10
190110,4,-2
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,-1
190204,0,-1
190205,73,24
190206,99,-46
190207,272,27
190208,131,-63
190209,50,-23
190210,6,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,5,4
190304,0,-1
190305,84,35
190306,56,-89
190307,233,-12
190308,174,-20
190309,75,2
190310,4,-2
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,-1
190404,0,-1
190405,45,-4
190406,123,-22
190407,193,-52
190408,129,-65
190409,72,-1
190410,2,-4
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,1,0
190504,0,-1
190505,48,-1
190506,143,-2
190507,243,-2
190508,200,6
190509,71,-2
190510,0,-6
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-1
190604,0,-1
190605,52,3
190606,150,5
190607,214,-31
190608,278,84
190609,131,58
190610,1,-5
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,4,3
190704,0,-1
190705,11,-38
190706,72,-73
190707,225,-20
190708,137,-57
190709,76,3
190710,0,-6
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,-1
190804,0,-1
190805,67,18
190806,137,-8
190807,262,17
190808,178,-16
190809,114,41
190810,3,-3
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,-1
190904,0,-1
190905,30,-19
190906,161,16
190907,172,-73
190908,202,8
190909,43,-30
190910,0,-6
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,7,6
191004,0,-1
191005,16,-33
191006,77,-68
191007,261,16
191008,184,-10
191009,86,13
191010,10,4
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,-1
191104,0,-1
191105,120,71
191106,177,32
191107,267,22
191108,214,20
191109,108,35
191110,2,-4
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-1
191204,0,-1
191205,65,16
191206,90,-55
191207,253,8
191208,132,-62
191209,100,27
191210,4,-2
191211,0,0
191212,0,0
191301,0,0
191302,0,0
