Oklahoma, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,-2
189503,9,-3
189504,69,34
189505,186,39
189506,384,18
189507,461,-64
189508,476,-27
189509,360,87
189510,11,-47
189511,0,-2
189512,0,0
189601,0,0
189602,0,-2
189603,0,-12
189604,102,67
189605,276,129
189606,387,21
189607,557,32
189608,578,75
189609,254,-19
189610,25,-33
189611,0,-2
189612,0,0
189701,0,0
189702,0,-2
189703,12,0
189704,27,-8
189705,122,-25
189706,376,10
189707,559,34
189708,442,-61
189709,325,52
189710,109,51
189711,0,-2
189712,0,0
189801,0,0
189802,0,-2
189803,8,-4
189804,18,-17
189805,168,21
189806,397,31
189807,487,-38
189808,438,-65
189809,298,25
189810,26,-32
189811,0,-2
189812,0,0
189901,0,0
189902,0,-2
189903,2,-10
189904,22,-13
189905,221,74
189906,353,-13
189907,453,-72
189908,605,102
189909,241,-32
189910,101,43
189911,6,4
189912,0,0
190001,0,0
190002,0,-2
190003,8,-4
190004,39,4
190005,146,-1
190006,392,26
190007,468,-57
190008,538,35
190009,338,65
190010,93,35
190011,1,-1
190012,0,0
190101,0,0
190102,0,-2
190103,7,-5
190104,14,-21
190105,134,-13
190106,453,87
190107,677,152
190108,536,33
190109,279,6
190110,95,37
190111,0,-2
190112,0,0
190201,0,0
190202,0,-2
190203,11,-1
190204,37,2
190205,212,65
190206,380,14
190207,471,-54
190208,574,71
190209,140,-133
190210,54,-4
190211,8,6
190212,0,0
190301,0,0
190302,0,-2
190303,8,-4
190304,31,-4
190305,98,-49
190306,191,-175
190307,507,-18
190308,467,-36
190309,214,-59
190310,38,-20
190311,0,-2
190312,0,0
190401,0,0
190402,0,-2
190403,30,18
190404,17,-18
190405,125,-22
190406,306,-60
190407,453,-72
190408,428,-75
190409,304,31
190410,61,3
190411,1,-1
190412,0,0
190501,0,0
190502,0,-2
190503,28,16
190504,21,-14
190505,163,16
190506,409,43
190507,393,-132
190508,472,-31
190509,314,41
190510,26,-32
190511,1,-1
190512,0,0
190601,0,0
190602,0,-2
190603,0,-12
190604,53,18
190605,155,8
190606,313,-53
190607,368,-157
190608,395,-108
190609,296,23
190610,17,-41
190611,0,-2
190612,0,0
190701,1,1
190702,0,-2
190703,61,49
190704,5,-30
190705,43,-104
190706,311,-55
190707,494,-31
190708,554,51
190709,309,36
190710,40,-18
190711,0,-2
190712,0,0
190801,0,0
190802,0,-2
190803,29,17
190804,30,-5
190805,140,-7
190806,314,-52
190807,404,-121
190808,466,-37
190809,254,-19
190810,22,-36
190811,1,-1
190812,0,0
190901,0,0
190902,0,-2
190903,8,-4
190904,26,-9
190905,120,-27
190906,365,-1
190907,583,58
190908,575,72
190909,306,33
190910,50,-8
190911,16,14
190912,0,0
191001,0,0
191002,0,-2
191003,62,50
191004,33,-2
191005,94,-53
191006,349,-17
191007,556,31
191008,501,-2
191009,397,124
191010,62,4
191011,1,-1
191012,0,0
191101,1,1
191102,1,-1
191103,24,12
191104,30,-5
191105,224,77
191106,591,225
191107,504,-21
191108,457,-46
191109,441,168
191110,51,-7
191111,0,-2
191112,0,0
191201,0,0
191202,0,-2
191203,0,-12
191204,27,-8
191205,202,55
191206,273,-93
191207,575,50
191208,474,-29
191209,237,-36
191210,68,10
191211,0,-2
191212,0,0
191301,0,0
191302,0,-2
191303,0,-12
191304,39,4
191305,181,34
191306,352,-14
191307,589,64
191308,639,136
191309,209,-64
191310,16,-42
191311,13,11
191312,0,0
191401,1,1
191402,0,-2
191403,8,-4
191404,22,-13
191405,121,-26
191406,508,142
191407,629,104
191408,471,-32
191409,314,41
191410,46,-12
191411,6,4
191412,0,0
191501,0,0
191502,0,-2
191503,0,-12
191504,58,23
191505,108,-39
191506,289,-77
191507,428,-97
191508,288,-215
191509,290,17
191510,53,-5
191511,8,6
191512,0,0
191601,0,0
191602,0,-2
191603,21,9
191604,10,-25
191605,180,33
191606,314,-52
191607,563,38
191608,581,78
191609,253,-20
191610,56,-2
191611,0,-2
191612,0,0
191701,0,0
191702,0,-2
191703,11,-1
191704,19,-16
191705,50,-97
191706,350,-16
191707,564,39
191708,406,-97
191709,248,-25
191710,11,-47
191711,0,-2
191712,0,0
191801,0,0
191802,0,-2
191803,28,16
191804,10,-25
191805,215,68
191806,507,141
191807,539,14
191808,642,139
191809,145,-128
191810,89,31
191811,0,-2
191812,0,0
191901,0,0
191902,0,-2
191903,11,-1
191904,29,-6
191905,104,-43
191906,308,-58
191907,529,4
191908,537,34
191909,295,22
191910,46,-12
191911,0,-2
191912,0,0
192001,0,0
192002,0,-2
192003,10,-2
192004,13,-22
192005,163,16
192006,310,-56
192007,479,-46
192008,355,-148
192009,292,19
192010,72,14
192011,0,-2
192012,0,0
192101,1,1
192102,1,-1
192103,33,21
192104,20,-15
192105,182,35
192106,352,-14
192107,507,-18
192108,553,50
192109,423,150
192110,70,12
192111,2,0
192112,0,0
192201,0,0
192202,0,-2
192203,8,-4
192204,34,-1
192205,165,18
192206,382,16
192207,509,-16
192208,561,58
192209,340,67
192210,61,3
192211,1,-1
192212,0,0
192301,8,8
192302,0,-2
192303,4,-8
192304,29,-6
192305,114,-33
192306,373,7
192307,568,43
192308,597,94
192309,280,7
192310,14,-44
192311,0,-2
192312,0,0
192401,0,0
192402,0,-2
192403,0,-12
192404,30,-5
192405,63,-84
192406,461,95
192407,447,-78
192408,577,74
192409,195,-78
192410,88,30
192411,4,2
192412,0,0
192501,0,0
192502,6,4
192503,28,16
192504,107,72
192505,127,-20
192506,532,166
192507,582,57
192508,489,-14
192509,370,97
192510,9,-49
192511,0,-2
192512,0,0
192601,0,0
192602,7,5
192603,1,-11
192604,8,-27
192605,169,22
192606,348,-18
192607,449,-76
192608,491,-12
192609,278,5
192610,79,21
192611,0,-2
192612,0,0
192701,0,0
192702,7,5
192703,9,-3
192704,69,34
192705,212,65
192706,332,-34
192707,466,-59
192708,374,-129
