Oregon, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,0,-1
189506,7,-3
189507,35,-28
189508,32,-27
189509,1,-18
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,0,-1
189606,6,-4
189607,106,43
189608,50,-9
189609,7,-12
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,8,7
189706,6,-4
189707,25,-38
189708,96,37
189709,6,-13
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,-1
189806,8,-2
189807,46,-17
189808,81,22
189809,15,-4
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-1
189906,1,-9
189907,48,-15
189908,9,-50
189909,19,0
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,0,-1
190006,17,7
190007,53,-10
190008,21,-38
190009,6,-13
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,0,-1
190106,0,-10
190107,23,-40
190108,80,21
190109,1,-18
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,0,-1
190206,4,-6
190207,21,-42
190208,44,-15
190209,9,-10
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,0,-1
190306,14,4
190307,19,-44
190308,32,-27
190309,7,-12
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,0,-1
190406,8,-2
190407,46,-17
190408,60,1
190409,14,-5
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,-1
190506,1,-9
190507,80,17
190508,45,-14
190509,12,-7
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,0,-1
190606,0,-10
190607,141,78
190608,65,6
190609,12,-7
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-1
190706,6,-4
190707,56,-7
190708,20,-39
190709,11,-8
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,0,-1
190806,1,-9
190807,95,32
190808,40,-19
190809,8,-11
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-1
190906,7,-3
190907,19,-44
190908,28,-31
190909,16,-3
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,1,0
191006,1,-9
191007,58,-5
191008,16,-43
191009,5,-14
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,0,-1
191106,2,-8
191107,89,26
191108,36,-23
191109,0,-19
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,0,-1
191206,8,-2
191207,42,-21
191208,26,-33
191209,7,-12
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
