Pennsylvania, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,27,-1
189506,172,62
189507,128,-92
189508,208,38
189509,98,49
189510,0,-3
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,84,56
189606,90,-20
189607,229,9
189608,188,18
189609,41,-8
189610,0,-3
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,16,-12
189706,57,-53
189707,254,34
189708,125,-45
189709,46,-3
189710,3,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,25,-3
189806,149,39
189807,303,83
189808,223,53
189809,83,34
189810,3,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,33,5
189906,165,55
189907,227,7
189908,190,20
189909,27,-22
189910,4,1
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,27,-1
190006,141,31
190007,271,51
190008,288,118
190009,114,65
190010,14,11
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,17,-11
190106,124,14
190107,341,121
190108,212,42
190109,46,-3
190110,0,-3
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,27,-1
190206,79,-31
190207,219,-1
190208,115,-55
190209,32,-17
190210,0,-3
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,1,1
190304,0,0
190305,42,14
190306,37,-73
190307,192,-28
190308,98,-72
190309,39,-10
190310,3,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,40,12
190406,101,-9
190407,173,-47
190408,116,-54
190409,42,-7
190410,0,-3
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,32,4
190506,105,-5
190507,226,6
190508,145,-25
190509,43,-6
190510,0,-3
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,29,1
190606,139,29
190607,201,-19
190608,241,71
190609,94,45
190610,0,-3
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,3,-25
190706,31,-79
190707,194,-26
190708,107,-63
190709,54,5
190710,0,-3
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,33,5
190806,118,8
190807,262,42
190808,134,-36
190809,54,5
190810,3,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,20,-8
190906,117,7
190907,152,-68
190908,132,-38
190909,29,-20
190910,0,-3
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,12,-16
191006,57,-53
191007,234,14
191008,138,-32
191009,68,19
191010,5,2
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,85,57
191106,108,-2
191107,267,47
191108,180,10
191109,57,8
191110,0,-3
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,34,6
191206,68,-42
191207,196,-24
191208,99,-71
191209,65,16
191210,3,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,18,-10
191306,109,-1
