South Carolina, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,5,-4
189502,0,-3
189503,8,-11
189504,17,-16
189505,133,-49
189506,388,31
189507,447,-11
189508,444,21
189509,365,103
189510,36,-30
189511,4,-2
189512,0,-3
189601,2,-7
189602,1,-2
189603,9,-10
189604,85,52
189605,353,171
189606,373,16
189607,490,32
189608,479,56
189609,282,20
189610,43,-23
189611,22,16
189612,0,-3
189701,2,-7
189702,4,1
189703,22,3
189704,26,-7
189705,153,-29
189706,431,74
189707,479,21
189708,411,-12
189709,262,0
189710,96,30
189711,8,2
189712,2,-1
189801,13,4
189802,0,-3
189803,38,19
189804,6,-27
189805,266,84
189806,441,84
189807,474,16
189808,441,18
189809,302,40
189810,46,-20
189811,1,-5
189812,1,-2
189901,5,-4
189902,0,-3
189903,17,-2
189904,12,-21
189905,272,90
189906,437,80
189907,468,10
189908,506,83
189909,239,-23
189910,71,5
189911,7,1
189912,1,-2
190001,5,-4
190002,0,-3
190003,7,-12
190004,33,0
190005,183,1
190006,348,-9
190007,506,48
190008,554,131
190009,362,100
190010,124,58
190011,9,3
190012,1,-2
190101,6,-3
190102,0,-3
190103,11,-8
190104,0,-33
190105,208,26
190106,354,-3
190107,510,52
190108,422,-1
190109,245,-17
190110,46,-20
190111,0,-6
190112,0,-3
190201,2,-7
190202,0,-3
190203,13,-6
190204,11,-22
190205,274,92
190206,393,36
190207,512,54
190208,421,-2
190209,211,-51
190210,70,4
190211,18,12
190212,1,-2
190301,3,-6
190302,2,-1
190303,49,30
190304,14,-19
190305,187,5
190306,262,-95
190307,468,10
190308,469,46
190309,222,-40
190310,40,-26
190311,1,-5
190312,0,-3
190401,0,-9
190402,0,-3
190403,20,1
190404,8,-25
190405,164,-18
190406,340,-17
190407,438,-20
190408,379,-44
190409,271,9
190410,46,-20
190411,1,-5
190412,1,-2
190501,1,-8
190502,0,-3
190503,28,9
190504,33,0
190505,254,72
190506,401,44
190507,462,4
190508,375,-48
190509,319,57
190510,66,0
190511,5,-1
190512,0,-3
190601,9,0
190602,0,-3
190603,7,-12
190604,48,15
190605,163,-19
190606,384,27
190607,412,-46
190608,471,48
190609,352,90
190610,39,-27
190611,3,-3
190612,3,0
190701,27,18
190702,0,-3
190703,68,49
190704,0,-33
190705,163,-19
190706,293,-64
190707,493,35
190708,422,-1
190709,316,54
190710,31,-35
190711,2,-4
190712,1,-2
190801,6,-3
190802,0,-3
190803,58,39
190804,78,45
190805,216,34
190806,329,-28
190807,442,-16
190808,404,-19
190809,204,-58
190810,36,-30
190811,8,2
190812,6,3
190901,14,5
190902,7,4
190903,13,-6
190904,41,8
190905,153,-29
190906,392,35
190907,400,-58
190908,413,-10
190909,208,-54
190910,30,-36
190911,14,8
190912,0,-3
191001,6,-3
191002,0,-3
191003,39,20
191004,32,-1
191005,154,-28
191006,277,-80
191007,432,-26
191008,406,-17
191009,304,42
191010,96,30
191011,0,-6
191012,0,-3
191101,14,5
191102,6,3
191103,13,-6
191104,18,-15
191105,218,36
191106,457,100
191107,435,-23
191108,439,16
191109,396,134
191110,110,44
191111,1,-5
191112,5,2
191201,0,-9
191202,0,-3
191203,8,-11
191204,44,11
191205,217,35
191206,300,-57
191207,441,-17
191208,425,2
191209,354,92
191210,69,3
191211,1,-5
191212,4,1
191301,29,20
191302,2,-1
191303,21,2
191304,14,-19
191305,196,14
191306,342,-15
191307,510,52
191308,412,-11
191309,184,-78
191310,42,-24
191311,3,-3
191312,1,-2
191401,7,-2
191402,0,-3
191403,3,-16
191404,35,2
191405,205,23
191406,462,105
191407,451,-7
191408,417,-6
191409,177,-85
191410,65,-1
191411,1,-5
191412,0,-3
191501,5,-4
191502,1,-2
191503,0,-19
191504,26,-7
191505,234,52
191506,306,-51
191507,471,13
191508,401,-22
191509,308,46
191510,101,35
191511,8,2
191512,0,-3
191601,22,13
191602,1,-2
191603,10,-9
191604,18,-15
191605,258,76
