South Dakota, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,11,10
189505,26,-8
189506,76,-51
189507,181,-76
189508,155,-42
189509,64,13
189510,0,-1
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,-1
189605,53,19
189606,125,-2
189607,194,-63
189608,166,-31
189609,14,-37
189610,0,-1
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,-1
189705,28,-6
189706,96,-31
189707,242,-15
189708,99,-98
189709,147,96
189710,0,-1
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,-1
189805,16,-18
189806,125,-2
189807,212,-45
189808,183,-14
189809,50,-1
189810,0,-1
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,-1
189905,20,-14
189906,114,-13
189907,221,-36
189908,188,-9
189909,32,-19
189910,0,-1
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,5,4
190005,67,33
190006,164,37
190007,212,-45
190008,292,95
190009,36,-15
190010,6,5
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,-1
190105,46,12
190106,116,-11
190107,401,144
190108,220,23
190109,27,-24
190110,2,1
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,-1
190205,45,11
190206,63,-64
190207,205,-52
190208,128,-69
190209,17,-34
190210,0,-1
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,-1
190305,29,-5
190306,82,-45
190307,189,-68
190308,128,-69
190309,19,-32
190310,0,-1
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,-1
190405,26,-8
190406,83,-44
190407,154,-103
190408,138,-59
190409,39,-12
190410,2,1
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,-1
190505,11,-23
190506,84,-43
190507,147,-110
190508,212,15
190509,73,22
190510,0,-1
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,3,2
190605,27,-7
190606,79,-48
190607,165,-92
190608,166,-31
190609,65,14
190610,0,-1
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,-1
190705,3,-31
190706,87,-40
190707,186,-71
190708,161,-36
190709,24,-27
190710,0,-1
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,-1
190805,17,-17
190806,76,-51
190807,209,-48
190808,116,-81
190809,122,71
190810,0,-1
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,-1
190905,18,-16
190906,121,-6
190907,205,-52
190908,284,87
190909,44,-7
190910,0,-1
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,15,15
191004,5,4
191005,10,-24
191006,139,12
191007,250,-7
191008,120,-77
191009,40,-11
191010,6,5
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,-1
191105,54,20
191106,245,118
191107,203,-54
191108,111,-86
191109,50,-1
191110,0,-1
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,-1
191205,31,-3
191206,86,-41
191207,207,-50
191208,126,-71
191209,15,-36
191210,0,-1
191211,0,0
191212,0,0
