California, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-1
189504,3,-5
189505,33,4
189506,86,-3
189507,144,-66
189508,148,-57
189509,80,-38
189510,20,-6
189511,0,-2
189512,0,0
189601,0,0
189602,0,0
189603,1,0
189604,1,-7
189605,23,-6
189606,132,43
189607,214,4
189608,185,-20
189609,72,-46
189610,21,-5
189611,0,-2
189612,0,0
189701,0,0
189702,0,0
189703,0,-1
189704,11,3
189705,38,9
189706,93,4
189707,197,-13
189708,237,32
189709,100,-18
189710,2,-24
189711,0,-2
189712,0,0
189801,0,0
189802,0,0
189803,0,-1
189804,14,6
189805,14,-15
189806,98,9
189807,181,-29
189808,233,28
189809,108,-10
189810,21,-5
189811,0,-2
189812,0,0
189901,0,0
189902,0,0
189903,0,-1
189904,8,0
189905,9,-20
189906,84,-5
189907,183,-27
189908,105,-100
189909,148,30
189910,7,-19
189911,0,-2
189912,0,0
190001,0,0
190002,0,0
190003,5,4
190004,1,-7
190005,35,6
190006,113,24
190007,189,-21
190008,115,-90
190009,41,-77
190010,15,-11
190011,7,5
190012,0,0
190101,0,0
190102,0,0
190103,1,0
190104,2,-6
190105,18,-11
190106,80,-9
190107,210,0
190108,229,24
190109,50,-68
190110,25,-1
190111,0,-2
190112,0,0
190201,0,0
190202,0,0
190203,0,-1
190204,2,-6
190205,14,-15
190206,96,7
190207,156,-54
190208,143,-62
190209,118,0
190210,11,-15
190211,0,-2
190212,0,0
190301,0,0
190302,0,0
190303,0,-1
190304,2,-6
190305,20,-9
190306,93,4
190307,130,-80
190308,181,-24
190309,86,-32
190310,28,2
190311,4,2
190312,0,0
190401,0,0
190402,0,0
190403,1,0
190404,3,-5
190405,32,3
190406,100,11
190407,155,-55
190408,231,26
190409,131,13
190410,17,-9
190411,5,3
190412,0,0
190501,0,0
190502,0,0
190503,1,0
190504,7,-1
190505,10,-19
190506,56,-33
190507,192,-18
190508,184,-21
190509,101,-17
190510,20,-6
190511,0,-2
190512,0,0
190601,0,0
190602,0,0
190603,0,-1
190604,1,-7
190605,10,-19
190606,65,-24
190607,272,62
190608,187,-18
190609,106,-12
190610,35,9
190611,0,-2
190612,0,0
190701,0,0
190702,0,0
190703,0,-1
190704,8,0
190705,13,-16
190706,44,-45
190707,172,-38
190708,119,-86
190709,52,-66
190710,18,-8
190711,0,-2
190712,0,0
190801,0,0
190802,0,0
190803,0,-1
190804,9,1
190805,5,-24
190806,38,-51
190807,238,28
190808,171,-34
190809,89,-29
190810,2,-24
190811,0,-2
190812,0,0
190901,0,0
190902,0,0
190903,0,-1
190904,4,-4
190905,12,-17
190906,71,-18
190907,138,-72
190908,188,-17
190909,82,-36
190910,12,-14
190911,0,-2
190912,0,0
191001,0,0
191002,0,0
191003,1,0
191004,14,6
191005,41,12
191006,58,-31
191007,195,-15
191008,165,-40
191009,98,-20
191010,21,-5
191011,0,-2
191012,0,0
191101,0,0
191102,0,0
191103,1,0
191104,1,-7
191105,10,-19
191106,53,-36
191107,195,-15
191108,134,-71
191109,50,-68
191110,8,-18
191111,0,-2
191112,0,0
191201,0,0
191202,0,0
191203,0,-1
191204,1,-7
191205,18,-11
191206,70,-19
191207,124,-86
191208,116,-89
191209,71,-47
191210,1,-25
