Texas, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,10,-4
189502,0,-15
189503,41,-11
189504,108,-4
189505,211,-65
189506,424,-38
189507,530,-33
189508,559,-1
189509,447,66
189510,70,-83
189511,9,-25
189512,4,-5
189601,9,-5
189602,10,-5
189603,27,-25
189604,155,43
189605,413,137
189606,545,83
189607,593,30
189608,603,43
189609,373,-8
189610,109,-44
189611,32,-2
189612,6,-3
189701,5,-9
189702,21,6
189703,99,47
189704,106,-6
189705,252,-24
189706,486,24
189707,630,67
189708,543,-17
189709,339,-42
189710,194,41
189711,31,-3
189712,1,-8
189801,18,4
189802,20,5
189803,47,-5
189804,79,-33
189805,299,23
189806,470,8
189807,542,-21
189808,533,-27
189809,397,16
189810,111,-42
189811,10,-24
189812,1,-8
189901,7,-7
189902,0,-15
189903,65,13
189904,84,-28
189905,387,111
189906,465,3
189907,553,-10
189908,641,81
189909,359,-22
189910,183,30
189911,30,-4
189912,5,-4
190001,13,-1
190002,7,-8
190003,45,-7
190004,97,-15
190005,265,-11
190006,510,48
190007,519,-44
190008,518,-42
190009,466,85
190010,196,43
190011,41,7
190012,6,-3
190101,20,6
190102,6,-9
190103,44,-8
190104,73,-39
190105,275,-1
190106,519,57
190107,609,46
190108,617,57
190109,374,-7
190110,181,28
190111,35,1
190112,6,-3
190201,10,-4
190202,7,-8
190203,63,11
190204,167,55
190205,368,92
190206,532,70
190207,527,-36
190208,617,57
190209,339,-42
190210,151,-2
190211,70,36
190212,10,1
190301,10,-4
190302,6,-9
190303,36,-16
190304,90,-22
190305,210,-66
190306,313,-149
190307,516,-47
190308,525,-35
190309,322,-59
190310,99,-54
190311,23,-11
190312,5,-4
190401,7,-7
190402,27,12
190403,109,57
190404,114,2
190405,244,-32
190406,432,-30
190407,508,-55
190408,499,-61
190409,410,29
190410,167,14
190411,24,-10
190412,7,-2
190501,7,-7
190502,1,-14
190503,72,20
190504,97,-15
190505,332,56
190506,475,13
190507,491,-72
190508,587,27
190509,442,61
190510,141,-12
190511,50,16
190512,1,-8
190601,10,-4
190602,6,-9
190603,22,-30
190604,122,10
190605,283,7
190606,494,32
190607,505,-58
190608,497,-63
190609,402,21
190610,64,-89
190611,34,0
190612,22,13
190701,50,36
190702,20,5
190703,166,114
190704,78,-34
190705,161,-115
190706,449,-13
190707,542,-21
190708,591,31
190709,425,44
190710,152,-1
190711,10,-24
190712,8,-1
190801,16,2
190802,11,-4
190803,116,64
190804,147,35
190805,288,12
190806,492,30
190807,508,-55
190808,523,-37
190809,340,-41
190810,92,-61
190811,35,1
190812,14,5
190901,28,14
190902,21,6
190903,59,7
190904,105,-7
190905,260,-16
190906,479,17
190907,616,53
190908,580,20
190909,373,-8
190910,150,-3
190911,94,60
190912,1,-8
191001,14,0
191002,4,-11
191003,97,45
191004,90,-22
191005,234,-42
191006,446,-16
191007,582,19
191008,611,51
191009,459,78
191010,131,-22
191011,46,12
191012,9,0
191101,38,24
191102,35,20
191103,87,35
191104,117,5
191105,258,-18
191106,560,98
191107,538,-25
191108,589,29
191109,520,139
191110,141,-12
191111,11,-23
191112,3,-6
191201,5,-9
191202,4,-11
191203,15,-37
191204,103,-9
191205,301,25
191206,385,-77
191207,596,33
191208,578,18
191209,409,28
191210,173,20
191211,18,-16
191212,3,-6
191301,10,-4
191302,5,-10
191303,23,-29
191304,73,-39
191305,261,-15
191306,403,-59
191307,582,19
191308,575,15
191309,281,-100
191310,85,-68
191311,77,43
191312,5,-4
191401,21,7
191402,6,-9
191403,21,-31
191404,80,-32
191405,232,-44
191406,491,29
191407,615,52
191408,495,-65
191409,371,-10
191410,130,-23
191411,26,-8
191412,0,-9
191501,6,-8
191502,16,1
191503,5,-47
191504,91,-21
191505,266,-10
191506,495,33
191507,549,-14
191508,477,-83
191509,392,11
191510,146,-7
191511,49,15
191512,12,3
191601,28,14
191602,15,0
191603,88,36
191604,77,-35
191605,292,16
191606,503,41
191607,574,11
191608,534,-26
191609,355,-26
191610,147,-6
191611,20,-14
191612,10,1
191701,16,2
191702,17,2
191703,50,-2
191704,89,-23
191705,160,-116
191706,480,18
191707,604,41
191708,582,22
191709,350,-31
191710,86,-67
191711,25,-9
191712,3,-6
191801,3,-11
191802,16,1
191803,88,36
191804,94,-18
191805,300,24
191806,552,90
191807,613,50
191808,603,43
191809,281,-100
191810,163,10
191811,12,-22
191812,8,-1
191901,5,-9
191902,6,-9
191903,35,-17
191904,101,-11
191905,207,-69
191906,359,-103
191907,501,-62
191908,540,-20
191909,356,-25
191910,222,69
191911,35,1
191912,5,-4
192001,6,-8
192002,17,2
192003,33,-19
192004,94,-18
192005,318,42
192006,404,-58
192007,553,-10
192008,465,-95
192009,420,39
192010,143,-10
192011,13,-21
192012,7,-2
192101,31,17
192102,16,1
192103,115,63
192104,77,-35
192105,274,-2
192106,433,-29
192107,546,-17
192108,594,34
192109,476,95
192110,145,-8
192111,72,38
192112,24,15
192201,5,-9
192202,23,8
192203,34,-18
192204,135,23
192205,325,49
192206,447,-15
192207,574,11
192208,602,42
192209,412,31
192210,136,-17
192211,38,4
192212,23,14
192301,44,30
192302,9,-6
192303,22,-30
192304,111,-1
192305,293,17
192306,487,25
192307,571,8
192308,585,25
192309,389,8
192310,99,-54
192311,14,-20
192312,10,1
192401,3,-11
192402,7,-8
192403,18,-34
192404,96,-16
192405,190,-86
192406,510,48
192407,548,-15
192408,639,79
192409,339,-42
192410,160,7
192411,60,26
192412,4,-5
192501,6,-8
192502,30,15
192503,85,33
192504,219,107
192505,285,9
192506,557,95
192507,640,77
192508,568,8
192509,444,63
192510,115,-38
192511,20,-14
192512,0,-9
192601,5,-9
192602,25,10
192603,22,-30
192604,53,-59
192605,235,-41
192606,452,-10
192607,507,-56
192608,542,-18
192609,452,71
192610,230,77
192611,14,-20
192612,9,0
192701,20,6
192702,38,23
192703,44,-8
192704,173,61
192705,393,117
192706,442,-20
192707,554,-9
192708,589,29
192709,414,33
192710,188,35
192711,107,73
192712,2,-7
192801,10,-4
192802,9,-6
192803,66,14
192804,50,-62
192805,274,-2
192806,453,-9
192807,580,17
192808,582,22
192809,329,-52
192810,218,65
192811,21,-13
192812,5,-4
192901,15,1
192902,2,-13
192903,68,16
192904,178,66
192905,241,-35
192906,474,12
192907,533,-30
192908,590,30
192909,386,5
192910,163,10
192911,7,-27
192912,5,-4
193001,1,-13
193002,33,18
193003,20,-32
193004,171,59
193005,255,-21
193006,438,-24
193007,592,29
193008,594,34
193009,426,45
193010,118,-35
193011,20,-14
193012,1,-8
193101,9,-5
193102,17,2
193103,13,-39
193104,39,-73
193105,170,-106
193106,478,16
193107,567,4
193108,504,-56
193109,494,113
193110,269,116
193111,72,38
193112,9,0
193201,19,5
193202,47,32
193203,16,-36
193204,123,11
