Utah, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,1,0
189505,12,1
189506,37,-27
189507,107,-61
189508,124,-4
189509,22,-9
189510,1,-1
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,-1
189605,3,-8
189606,93,29
189607,128,-40
189608,101,-27
189609,21,-10
189610,2,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,1,0
189705,28,17
189706,48,-16
189707,88,-80
189708,135,7
189709,32,1
189710,1,-1
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,3,2
189805,4,-7
189806,63,-1
189807,161,-7
189808,175,47
189809,26,-5
189810,1,-1
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,1,0
189905,2,-9
189906,45,-19
189907,161,-7
189908,54,-74
189909,41,10
189910,1,-1
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,-1
190005,15,4
190006,112,48
190007,138,-30
190008,86,-42
190009,10,-21
190010,1,-1
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,1,0
190105,20,9
190106,36,-28
190107,231,63
190108,158,30
190109,14,-17
190110,3,1
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,2,1
190205,10,-1
190206,77,13
190207,87,-81
190208,104,-24
190209,24,-7
190210,5,3
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,1,0
190305,5,-6
190306,80,16
190307,106,-62
190308,143,15
190309,12,-19
190310,1,-1
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,1,0
190405,10,-1
190406,40,-24
190407,113,-55
190408,107,-21
190409,26,-5
190410,1,-1
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,1,0
190505,2,-9
190506,52,-12
190507,146,-22
190508,136,8
190509,24,-7
190510,0,-2
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,1,0
190605,6,-5
190606,28,-36
190607,141,-27
190608,87,-41
190609,16,-15
190610,1,-1
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,2,1
190705,2,-9
190706,18,-46
190707,133,-35
190708,74,-54
190709,18,-13
190710,2,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,1,0
190805,1,-10
190806,20,-44
190807,142,-26
190808,72,-56
190809,18,-13
190810,0,-2
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,1,0
190905,3,-8
190906,75,11
190907,142,-26
190908,139,11
190909,16,-15
190910,1,-1
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,2,1
191005,14,3
191006,88,24
191007,175,7
191008,109,-19
191009,37,6
191010,2,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,-1
191105,7,-4
191106,61,-3
191107,117,-51
191108,118,-10
191109,28,-3
191110,1,-1
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,-1
191205,2,-9
191206,61,-3
191207,98,-70
191208,74,-54
191209,3,-28
191210,1,-1
191211,0,0
191212,0,0
191301,0,0
191302,0,0
