Vermont, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,10,6
189506,60,40
189507,35,-50
189508,35,-21
189509,5,0
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,12,8
189606,10,-10
189607,99,14
189608,56,0
189609,0,-5
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,0,-4
189706,0,-20
189707,150,65
189708,30,-26
189709,0,-5
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,-4
189806,19,-1
189807,101,16
189808,76,20
189809,10,5
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-4
189906,33,13
189907,73,-12
189908,57,1
189909,0,-5
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,0,-4
190006,26,6
190007,86,1
190008,74,18
190009,9,4
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,0,-4
190106,32,12
190107,125,40
190108,72,16
190109,3,-2
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,0,-4
190206,0,-20
190207,38,-47
190208,17,-39
190209,3,-2
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,6,2
190306,0,-20
190307,49,-36
190308,3,-53
190309,3,-2
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,12,8
190406,13,-7
190407,60,-25
190408,23,-33
190409,0,-5
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,-4
190506,4,-16
190507,84,-1
190508,24,-32
190509,0,-5
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,0,-4
190606,16,-4
190607,69,-16
190608,89,33
190609,8,3
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-4
190706,11,-9
190707,68,-17
190708,19,-37
190709,3,-2
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,9,5
190806,19,-1
190807,133,48
190808,31,-25
190809,14,9
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-4
190906,15,-5
190907,37,-48
190908,30,-26
190909,0,-5
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,0,-4
191006,3,-17
191007,96,11
191008,30,-26
191009,0,-5
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,25,21
191106,4,-16
191107,138,53
191108,58,2
191109,0,-5
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,0,-4
191206,0,-20
191207,73,-12
191208,13,-43
191209,0,-5
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,0,-4
191306,9,-11
