Washington, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,1,-1
189506,12,-1
189507,37,-18
189508,32,-17
189509,1,-9
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,0,-2
189606,10,-3
189607,88,33
189608,40,-9
189609,3,-7
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,6,4
189706,10,-3
189707,23,-32
189708,88,39
189709,3,-7
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,1,-1
189806,13,0
189807,48,-7
189808,79,30
189809,12,2
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-2
189906,4,-9
189907,56,1
189908,12,-37
189909,14,4
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,2,0
190006,21,8
190007,49,-6
190008,21,-28
190009,4,-6
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,2,0
190106,2,-11
190107,24,-31
190108,68,19
190109,1,-9
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,1,-1
190206,4,-9
190207,27,-28
190208,37,-12
190209,3,-7
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,1,-1
190306,23,10
190307,22,-33
190308,36,-13
190309,2,-8
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,1,-1
190406,7,-6
190407,55,0
190408,47,-2
190409,12,2
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,1,-1
190506,7,-6
190507,63,8
190508,39,-10
190509,10,0
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,2,0
190606,3,-10
190607,131,76
190608,48,-1
190609,6,-4
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,2,0
190706,5,-8
190707,52,-3
190708,18,-31
190709,4,-6
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,1,-1
190806,6,-7
190807,77,22
190808,37,-12
190809,6,-4
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,1,-1
190906,9,-4
190907,23,-32
190908,24,-25
190909,12,2
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,4,2
191006,6,-7
191007,47,-8
191008,17,-32
191009,4,-6
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,1,-1
191106,10,-3
191107,64,9
191108,30,-19
191109,2,-8
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,2,0
191206,17,4
191207,42,-13
191208,24,-25
191209,2,-8
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,1,-1
