West Virginia, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,-2
189504,2,0
189505,38,-13
189506,200,56
189507,169,-73
189508,248,47
189509,152,69
189510,0,-9
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,-2
189604,18,16
189605,151,100
189606,154,10
189607,252,10
189608,235,34
189609,70,-13
189610,0,-9
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,2,0
189704,0,-2
189705,22,-29
189706,139,-5
189707,284,42
189708,179,-22
189709,82,-1
189710,17,8
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,6,4
189804,0,-2
189805,71,20
189806,190,46
189807,318,76
189808,252,51
189809,111,28
189810,7,-2
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,-2
189904,2,0
189905,81,30
189906,202,58
189907,256,14
189908,254,53
189909,52,-31
189910,17,8
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,-2
190004,0,-2
190005,59,8
190006,186,42
190007,296,54
190008,341,140
190009,185,102
190010,35,26
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,-2
190104,0,-2
190105,46,-5
190106,181,37
190107,371,129
190108,235,34
190109,60,-23
190110,7,-2
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,-2
190204,0,-2
190205,85,34
190206,113,-31
190207,288,46
190208,161,-40
190209,61,-22
190210,11,2
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,12,10
190304,0,-2
190305,92,41
190306,75,-69
190307,242,0
190308,203,2
190309,72,-11
190310,6,-3
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,-2
190404,0,-2
190405,51,0
190406,145,1
190407,199,-43
190408,170,-31
190409,95,12
190410,5,-4
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,4,2
190504,2,0
190505,76,25
190506,168,24
190507,252,10
190508,189,-12
190509,81,-2
190510,6,-3
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,-2
190604,2,0
190605,57,6
190606,179,35
190607,220,-22
190608,303,102
190609,151,68
190610,7,-2
190611,0,0
190612,0,0
190701,3,3
190702,0,0
190703,10,8
190704,0,-2
190705,25,-26
190706,70,-74
190707,237,-5
190708,147,-54
190709,83,0
190710,0,-9
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,6,4
190804,3,1
190805,68,17
190806,140,-4
190807,275,33
190808,188,-13
190809,83,0
190810,8,-1
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,-2
190904,2,0
190905,42,-9
190906,189,45
190907,174,-68
190908,186,-15
190909,57,-26
190910,0,-9
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,9,7
191004,2,0
191005,21,-30
191006,84,-60
191007,268,26
191008,179,-22
191009,124,41
191010,19,10
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,-2
191104,0,-2
191105,106,55
191106,168,24
191107,249,7
191108,263,62
191109,141,58
191110,11,2
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,-2
191204,4,2
191205,62,11
191206,97,-47
191207,246,4
191208,146,-55
191209,127,44
191210,10,1
191211,0,0
191212,0,0
191301,3,3
191302,0,0
191303,2,0
191304,0,-2
191305,44,-7
