Wyoming, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,0,-2
189506,8,-25
189507,43,-58
189508,47,-19
189509,8,-3
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,1,-1
189606,48,15
189607,78,-23
189608,50,-16
189609,3,-8
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,6,4
189706,28,-5
189707,67,-34
189708,41,-25
189709,29,18
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,-2
189806,32,-1
189807,83,-18
189808,91,25
189809,7,-4
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,0,-2
189906,16,-17
189907,74,-27
189908,44,-22
189909,12,1
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,8,6
190006,83,50
190007,82,-19
190008,80,14
190009,7,-4
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,9,7
190106,12,-21
190107,159,58
190108,74,8
190109,4,-7
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,2,0
190206,21,-12
190207,46,-55
190208,52,-14
190209,4,-7
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,0,-2
190306,19,-14
190307,59,-42
190308,53,-13
190309,1,-10
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,1,-1
190406,12,-21
190407,46,-55
190408,48,-18
190409,9,-2
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,-2
190506,19,-14
190507,48,-53
190508,61,-5
190509,12,1
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,1,-1
190606,13,-20
190607,48,-53
190608,45,-21
190609,11,0
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-2
190706,12,-21
190707,64,-37
190708,41,-25
190709,6,-5
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,0,-2
190806,13,-20
190807,73,-28
190808,26,-40
190809,15,4
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-2
190906,32,-1
190907,98,-3
190908,105,39
190909,11,0
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,0,-2
191006,49,16
191007,118,17
191008,37,-29
191009,10,-1
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,1,-1
191106,65,32
191107,62,-39
191108,30,-36
191109,14,3
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,0,-2
191206,20,-13
191207,52,-49
191208,25,-41
191209,0,-11
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
