Colorado, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,0,0
189502,0,0
189503,0,0
189504,0,0
189505,1,-1
189506,20,-27
189507,33,-76
189508,56,-19
189509,19,5
189510,0,0
189511,0,0
189512,0,0
189601,0,0
189602,0,0
189603,0,0
189604,0,0
189605,3,1
189606,65,18
189607,97,-12
189608,79,4
189609,9,-5
189610,0,0
189611,0,0
189612,0,0
189701,0,0
189702,0,0
189703,0,0
189704,0,0
189705,9,7
189706,45,-2
189707,80,-29
189708,50,-25
189709,39,25
189710,0,0
189711,0,0
189712,0,0
189801,0,0
189802,0,0
189803,0,0
189804,0,0
189805,0,-2
189806,44,-3
189807,99,-10
189808,96,21
189809,7,-7
189810,0,0
189811,0,0
189812,0,0
189901,0,0
189902,0,0
189903,0,0
189904,0,0
189905,2,0
189906,43,-4
189907,76,-33
189908,80,5
189909,20,6
189910,0,0
189911,0,0
189912,0,0
190001,0,0
190002,0,0
190003,0,0
190004,0,0
190005,2,0
190006,73,26
190007,84,-25
190008,82,7
190009,10,-4
190010,0,0
190011,0,0
190012,0,0
190101,0,0
190102,0,0
190103,0,0
190104,0,0
190105,1,-1
190106,44,-3
190107,185,76
190108,93,18
190109,10,-4
190110,0,0
190111,0,0
190112,0,0
190201,0,0
190202,0,0
190203,0,0
190204,0,0
190205,3,1
190206,48,1
190207,59,-50
190208,86,11
190209,3,-11
190210,0,0
190211,0,0
190212,0,0
190301,0,0
190302,0,0
190303,0,0
190304,0,0
190305,0,-2
190306,10,-37
190307,87,-22
190308,71,-4
190309,4,-10
190310,0,0
190311,0,0
190312,0,0
190401,0,0
190402,0,0
190403,0,0
190404,0,0
190405,1,-1
190406,15,-32
190407,46,-63
190408,55,-20
190409,12,-2
190410,0,0
190411,0,0
190412,0,0
190501,0,0
190502,0,0
190503,0,0
190504,0,0
190505,0,-2
190506,51,4
190507,50,-59
190508,86,11
190509,20,6
190510,0,0
190511,0,0
190512,0,0
190601,0,0
190602,0,0
190603,0,0
190604,0,0
190605,1,-1
190606,25,-22
190607,33,-76
190608,47,-28
190609,8,-6
190610,0,0
190611,0,0
190612,0,0
190701,0,0
190702,0,0
190703,0,0
190704,0,0
190705,0,-2
190706,19,-28
190707,81,-28
190708,59,-16
190709,13,-1
190710,0,0
190711,0,0
190712,0,0
190801,0,0
190802,0,0
190803,0,0
190804,0,0
190805,0,-2
190806,29,-18
190807,69,-40
190808,45,-30
190809,21,7
190810,0,0
190811,0,0
190812,0,0
190901,0,0
190902,0,0
190903,0,0
190904,0,0
190905,0,-2
190906,37,-10
190907,108,-1
190908,100,25
190909,8,-6
190910,0,0
190911,0,0
190912,0,0
191001,0,0
191002,0,0
191003,0,0
191004,0,0
191005,0,-2
191006,53,6
191007,124,15
191008,63,-12
191009,21,7
191010,0,0
191011,0,0
191012,0,0
191101,0,0
191102,0,0
191103,0,0
191104,0,0
191105,3,1
191106,73,26
191107,63,-46
191108,49,-26
191109,27,13
191110,0,0
191111,0,0
191112,0,0
191201,0,0
191202,0,0
191203,0,0
191204,0,0
191205,1,-1
191206,17,-30
191207,62,-47
191208,47,-28
191209,0,-14
191210,0,0
191211,0,0
191212,0,0
191301,0,0
191302,0,0
191303,0,0
191304,0,0
191305,3,1
191306,35,-12
