Florida, Cooling Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,80,-2
189502,15,-63
189503,108,-11
189504,142,-41
189505,336,5
189506,439,0
189507,497,-1
189508,504,1
189509,437,-2
189510,240,-47
189511,119,-11
189512,41,-39
189601,38,-44
189602,43,-35
189603,89,-30
189604,186,3
189605,362,31
189606,452,13
189607,498,0
189608,534,31
189609,432,-7
189610,241,-46
189611,215,85
189612,47,-33
189701,37,-45
189702,111,33
189703,213,94
189704,175,-8
189705,276,-55
189706,495,56
189707,509,11
189708,501,-2
189709,381,-58
189710,251,-36
189711,143,13
189712,70,-10
189801,88,6
189802,42,-36
189803,170,51
189804,141,-42
189805,347,16
189806,483,44
189807,501,3
189808,479,-24
189809,460,21
189810,249,-38
189811,149,19
189812,50,-30
189901,95,13
189902,74,-4
189903,140,21
189904,131,-52
189905,415,84
189906,459,20
189907,478,-20
189908,528,25
189909,412,-27
189910,291,4
189911,116,-14
189912,61,-19
190001,45,-37
190002,59,-19
190003,90,-29
190004,168,-15
190005,319,-12
190006,440,1
190007,519,21
190008,524,21
190009,467,28
190010,367,80
190011,103,-27
190012,53,-27
190101,56,-26
190102,35,-43
190103,67,-52
190104,77,-106
190105,311,-20
190106,430,-9
190107,509,11
190108,468,-35
190109,434,-5
190110,267,-20
190111,39,-91
190112,42,-38
190201,34,-48
190202,23,-55
190203,115,-4
190204,137,-46
190205,385,54
190206,457,18
190207,511,13
190208,508,5
190209,426,-13
190210,326,39
190211,188,58
190212,77,-3
190301,69,-13
190302,111,33
190303,190,71
190304,112,-71
190305,266,-65
190306,403,-36
190307,481,-17
190308,525,22
190309,388,-51
190310,208,-79
190311,84,-46
190312,18,-62
190401,49,-33
190402,87,9
190403,148,29
190404,161,-22
190405,307,-24
190406,401,-38
190407,452,-46
190408,461,-42
190409,428,-11
190410,285,-2
190411,66,-64
190412,50,-30
190501,27,-55
190502,75,-3
190503,150,31
190504,179,-4
190505,416,85
190506,445,6
190507,499,1
190508,487,-16
190509,462,23
190510,308,21
190511,135,5
190512,68,-12
190601,73,-9
190602,62,-16
190603,74,-45
190604,169,-14
190605,318,-13
190606,439,0
190607,472,-26
190608,478,-25
190609,451,12
190610,246,-41
190611,144,14
190612,64,-16
190701,122,40
190702,63,-15
190703,206,87
190704,142,-41
190705,352,21
190706,405,-34
190707,491,-7
190708,492,-11
190709,450,11
190710,245,-42
190711,136,6
190712,70,-10
190801,63,-19
190802,40,-38
190803,176,57
190804,332,149
190805,340,9
190806,411,-28
190807,486,-12
190808,489,-14
190809,410,-29
190810,219,-68
190811,122,-8
190812,110,30
190901,118,36
190902,72,-6
190903,129,10
190904,215,32
190905,331,0
190906,463,24
190907,476,-22
190908,505,2
190909,410,-29
190910,246,-41
190911,134,4
190912,37,-43
191001,47,-35
191002,54,-24
191003,91,-28
191004,121,-62
191005,307,-24
191006,389,-50
191007,442,-56
191008,464,-39
191009,413,-26
191010,259,-28
191011,53,-77
191012,15,-65
191101,97,15
191102,86,8
191103,118,-1
191104,229,46
191105,276,-55
191106,453,14
191107,458,-40
191108,464,-39
191109,453,14
191110,374,87
191111,161,31
191112,111,31
191201,73,-9
191202,28,-50
191203,155,36
191204,262,79
191205,377,46
191206,412,-27
191207,493,-5
191208,501,-2
191209,456,17
191210,345,58
191211,90,-40
191212,116,36
191301,158,76
191302,94,16
191303,183,64
191304,121,-62
191305,267,-64
191306,379,-60
191307,487,-11
191308,457,-46
191309,380,-59
191310,184,-103
191311,114,-16
191312,68,-12
191401,51,-31
191402,63,-15
191403,32,-87
191404,180,-3
191405,322,-9
191406,464,25
191407,481,-17
191408,495,-8
191409,379,-60
191410,261,-26
191411,99,-31
191412,72,-8
191501,59,-23
191502,50,-28
191503,14,-105
191504,94,-89
191505,382,51
191506,424,-15
191507,500,2
191508,522,19
191509,452,13
191510,324,37
191511,136,6
191512,32,-48
191601,146,64
191602,51,-27
191603,46,-73
191604,109,-74
191605,327,-4
191606,399,-40
191607,467,-31
191608,473,-30
191609,393,-46
191610,269,-18
191611,112,-18
191612,70,-10
191701,113,31
191702,53,-25
191703,139,20
191704,149,-34
191705,238,-93
191706,395,-44
191707,466,-32
191708,469,-34
191709,384,-55
191710,227,-60
191711,44,-86
191712,24,-56
191801,23,-59
191802,119,41
191803,159,40
191804,139,-44
191805,276,-55
191806,427,-12
191807,445,-53
191808,478,-25
191809,369,-70
191810,347,60
191811,109,-21
191812,61,-19
191901,53,-29
191902,59,-19
191903,127,8
191904,127,-56
191905,310,-21
191906,397,-42
191907,470,-28
191908,501,-2
191909,423,-16
191910,418,131
191911,159,29
191912,72,-8
192001,84,2
192002,35,-43
192003,73,-46
192004,200,17
192005,277,-54
192006,390,-49
192007,471,-27
192008,465,-38
192009,427,-12
192010,208,-79
192011,106,-24
192012,60,-20
192101,86,4
192102,80,2
192103,190,71
192104,182,-1
192105,245,-86
192106,428,-11
192107,457,-41
192108,487,-16
192109,469,30
192110,257,-30
192111,157,27
192112,98,18
192201,64,-18
192202,110,32
192203,138,19
192204,232,49
192205,336,5
192206,427,-12
192207,466,-32
192208,452,-51
192209,393,-46
192210,308,21
192211,147,17
192212,120,40
192301,88,6
192302,84,6
192303,156,37
192304,212,29
192305,279,-52
192306,412,-27
192307,464,-34
192308,486,-17
192309,421,-18
192310,227,-60
192311,58,-72
192312,110,30
192401,87,5
192402,34,-44
192403,46,-73
192404,181,-2
192405,311,-20
192406,473,34
192407,491,-7
192408,527,24
192409,412,-27
192410,232,-55
192411,106,-24
192412,104,24
192501,130,48
192502,72,-6
192503,96,-23
192504,144,-39
192505,264,-67
192506,421,-18
192507,479,-19
192508,489,-14
192509,499,60
192510,328,41
192511,109,-21
192512,58,-22
192601,55,-27
192602,52,-26
192603,45,-74
192604,146,-37
192605,284,-47
192606,410,-29
192607,473,-25
192608,509,6
192609,470,31
192610,287,0
192611,93,-37
192612,109,29
192701,61,-21
192702,140,62
192703,101,-18
192704,214,31
192705,373,42
192706,489,50
192707,499,1
192708,501,-2
192709,417,-22
192710,271,-16
192711,140,10
192712,57,-23
192801,39,-43
192802,88,10
192803,126,7
192804,144,-39
192805,230,-101
192806,417,-22
192807,484,-14
192808,479,-24
192809,412,-27
192810,314,27
192811,100,-30
192812,55,-25
192901,109,27
192902,109,31
192903,171,52
192904,237,54
192905,349,18
192906,399,-40
192907,442,-56
192908,488,-15
192909,423,-16
192910,221,-66
192911,180,50
192912,58,-22
193001,119,37
193002,91,13
193003,62,-57
193004,162,-21
193005,340,9
193006,362,-77
193007,509,11
193008,474,-29
193009,456,17
193010,216,-71
193011,80,-50
193012,27,-53
193101,36,-46
193102,43,-35
193103,27,-92
193104,111,-72
193105,274,-57
193106,428,-11
193107,536,38
193108,501,-2
193109,450,11
