Illinois, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1544,230
189502,1408,321
189503,962,97
189504,415,-67
189505,178,-37
189506,12,-25
189507,9,4
189508,9,-9
189509,35,-55
189510,602,221
189511,899,116
189512,1128,-50
189601,1192,-122
189602,1071,-16
189603,1014,149
189604,292,-190
189605,82,-133
189606,28,-9
189607,5,0
189608,11,-7
189609,158,68
189610,520,139
189611,840,57
189612,1038,-140
189701,1350,36
189702,1030,-57
189703,908,43
189704,518,36
189705,272,57
189706,39,2
189707,0,-5
189708,27,9
189709,21,-69
189710,249,-132
189711,829,46
189712,1297,119
189801,1188,-126
189802,1073,-14
189803,763,-102
189804,531,49
189805,212,-3
189806,18,-19
189807,0,-5
189808,16,-2
189809,48,-42
189810,468,87
189811,911,128
189812,1295,117
189901,1315,1
189902,1350,263
189903,1074,209
189904,407,-75
189905,182,-33
189906,18,-19
189907,5,0
189908,7,-11
189909,108,18
189910,278,-103
189911,658,-125
189912,1205,27
190001,1145,-169
190002,1280,193
190003,1075,210
190004,445,-37
190005,161,-54
190006,39,2
190007,5,0
190008,0,-18
190009,59,-31
190010,203,-178
190011,848,65
190012,1108,-70
190101,1242,-72
190102,1366,279
190103,929,64
190104,521,39
190105,231,16
190106,13,-24
190107,0,-5
190108,12,-6
190109,97,7
190110,350,-31
190111,897,114
190112,1309,131
190201,1289,-25
190202,1322,235
190203,780,-85
190204,527,45
190205,150,-65
190206,69,32
190207,5,0
190208,40,22
190209,171,81
190210,356,-25
190211,593,-190
190212,1255,77
190301,1306,-8
190302,1161,74
190303,719,-146
190304,464,-18
190305,162,-53
190306,99,62
190307,6,1
190308,33,15
190309,110,20
190310,409,28
190311,905,122
190312,1417,239
190401,1532,218
190402,1339,252
190403,910,45
190404,653,171
190405,220,5
190406,51,14
190407,12,7
190408,49,31
190409,94,4
190410,400,19
190411,749,-34
190412,1247,69
190501,1498,184
190502,1397,310
190503,743,-122
190504,494,12
190505,216,1
190506,34,-3
190507,12,7
190508,12,-6
190509,65,-25
190510,428,47
190511,807,24
190512,1139,-39
190601,1117,-197
190602,1109,22
190603,1135,270
190604,405,-77
190605,193,-22
190606,41,4
190607,9,4
190608,6,-12
190609,37,-53
190610,422,41
190611,831,48
190612,1107,-71
190701,1214,-100
190702,1106,19
190703,670,-195
190704,723,241
190705,375,160
190706,64,27
190707,5,0
190708,26,8
190709,119,29
190710,485,104
190711,853,70
190712,1091,-87
190801,1221,-93
190802,1132,45
190803,780,-85
190804,470,-12
190805,203,-12
190806,44,7
190807,5,0
190808,19,1
190809,35,-55
190810,394,13
190811,763,-20
190812,1131,-47
190901,1217,-97
190902,974,-113
190903,919,54
190904,572,90
190905,265,50
190906,41,4
190907,12,7
190908,6,-12
190909,130,40
190910,530,149
190911,566,-217
190912,1457,279
191001,1341,27
191002,1216,129
191003,553,-312
191004,432,-50
191005,334,119
191006,41,4
191007,0,-5
191008,15,-3
191009,103,13
191010,312,-69
191011,948,165
191012,1295,117
191101,1229,-85
191102,970,-117
191103,830,-35
191104,557,75
191105,104,-111
191106,10,-27
191107,0,-5
191108,21,3
191109,63,-27
191110,443,62
191111,966,183
191112,1044,-134
191201,1736,422
191202,1287,200
191203,1183,318
191204,459,-23
191205,171,-44
191206,62,25
191207,5,0
191208,30,12
191209,74,-16
191210,381,0
191211,764,-19
191212,1049,-129
191301,1198,-116
191302,1192,105
191303,972,107
191304,460,-22
191305,220,5
191306,20,-17
191307,0,-5
191308,7,-11
191309,97,7
191310,439,58
191311,615,-168
191312,969,-209
191401,1081,-233
191402,1335,248
191403,924,59
191404,471,-11
191405,163,-52
191406,25,-12
191407,0,-5
191408,10,-8
191409,94,4
191410,293,-88
191411,713,-70
191412,1392,214
191501,1432,118
191502,911,-176
191503,1000,135
191504,276,-206
191505,308,93
191506,79,42
191507,21,16
191508,83,65
191509,75,-15
191510,364,-17
191511,707,-76
191512,1215,37
191601,1211,-103
191602,1193,106
191603,959,94
191604,511,29
191605,204,-11
191606,101,64
191607,0,-5
191608,5,-13
191609,120,30
191610,408,27
191611,749,-34
191612,1293,115
191701,1339,25
191702,1290,203
191703,840,-25
191704,570,88
191705,369,154
191706,80,43
191707,6,1
191708,29,11
191709,129,39
191710,671,290
191711,754,-29
191712,1429,251
191801,1743,429
191802,1098,11
191803,688,-177
191804,614,132
191805,132,-83
191806,37,0
191807,11,6
191808,0,-18
191809,235,145
191810,322,-59
191811,752,-31
191812,944,-234
191901,1168,-146
191902,1019,-68
191903,818,-47
191904,466,-16
191905,279,64
191906,11,-26
191907,0,-5
191908,16,-2
191909,49,-41
191910,327,-54
191911,866,83
191912,1433,255
192001,1511,197
192002,1128,41
192003,818,-47
192004,656,174
192005,260,45
192006,27,-10
192007,9,4
192008,23,5
192009,44,-46
192010,234,-147
192011,838,55
192012,1106,-72
192101,1088,-226
192102,926,-161
192103,605,-260
192104,367,-115
192105,155,-60
192106,7,-30
192107,0,-5
192108,14,-4
192109,39,-51
192110,380,-1
192111,823,40
192112,1099,-79
192201,1339,25
192202,1032,-55
192203,807,-58
192204,464,-18
192205,129,-86
192206,20,-17
192207,8,3
192208,12,-6
192209,45,-45
192210,311,-70
192211,706,-77
192212,1170,-8
192301,1138,-176
192302,1241,154
192303,1022,157
192304,523,41
192305,254,39
192306,15,-22
192307,0,-5
192308,21,3
192309,94,4
192310,491,110
192311,752,-31
192312,883,-295
192401,1493,179
192402,1093,6
192403,980,115
192404,464,-18
192405,355,140
192406,65,28
192407,20,15
192408,21,3
192409,200,110
192410,267,-114
192411,768,-15
192412,1383,205
192501,1353,39
192502,961,-126
192503,784,-81
192504,322,-160
192505,293,78
192506,17,-20
192507,5,0
192508,12,-6
192509,23,-67
192510,689,308
192511,882,99
192512,1316,138
192601,1252,-62
192602,977,-110
192603,1071,206
192604,672,190
192605,187,-28
192606,85,48
192607,7,2
192608,12,-6
192609,101,11
192610,445,64
192611,936,153
192612,1252,74
192701,1338,24
192702,881,-206
192703,749,-116
192704,486,4
192705,265,50
192706,80,43
192707,8,3
192708,60,42
192709,38,-52
192710,295,-86
192711,693,-90
192712,1235,57
192801,1256,-58
192802,993,-94
192803,860,-5
192804,599,117
192805,198,-17
192806,93,56
192807,4,-1
192808,12,-6
192809,168,78
192810,340,-41
192811,756,-27
192812,1080,-98
192901,1526,212
192902,1298,211
192903,690,-175
192904,416,-66
192905,273,58
192906,68,31
192907,4,-1
192908,27,9
192909,103,13
192910,444,63
192911,934,151
192912,1193,15
193001,1506,192
193002,818,-269
193003,891,26
193004,420,-62
193005,184,-31
193006,32,-5
193007,0,-5
193008,8,-10
193009,61,-29
193010,465,84
193011,757,-26
193012,1167,-11
193101,1103,-211
193102,866,-221
193103,964,99
193104,458,-24
193105,293,78
193106,12,-25
193107,0,-5
193108,12,-6
193109,22,-68
193110,282,-99
193111,541,-242
193112,905,-273
193201,1036,-278
193202,881,-206
193203,1106,241
193204,498,16
193205,183,-32
193206,18,-19
193207,0,-5
193208,11,-7
193209,114,24
193210,426,45
193211,932,149
193212,1211,33
193301,945,-369
193302,1143,56
193303,887,22
193304,508,26
193305,187,-28
193306,0,-37
193307,0,-5
193308,20,2
193309,25,-65
193310,459,78
193311,842,59
193312,1092,-86
193401,1087,-227
193402,1206,119
193403,992,127
193404,466,-16
193405,104,-111
193406,5,-32
193407,0,-5
193408,13,-5
193409,115,25
193410,327,-54
193411,652,-131
193412,1277,99
193501,1278,-36
193502,1015,-72
193503,708,-157
193504,567,85
193505,357,142
193506,76,39
193507,0,-5
193508,10,-8
193509,88,-2
193510,385,4
193511,834,51
193512,1313,135
193601,1521,207
193602,1459,372
193603,778,-87
193604,603,121
193605,123,-92
193606,45,8
193607,0,-5
193608,0,-18
193609,51,-39
193610,419,38
193611,881,98
193612,1047,-131
193701,1280,-34
193702,1123,36
193703,981,116
193704,528,46
193705,200,-15
193706,47,10
193707,0,-5
193708,0,-18
193709,100,10
193710,477,96
193711,898,115
193712,1263,85
193801,1285,-29
193802,877,-210
193803,638,-227
193804,445,-37
193805,212,-3
193806,49,12
193807,3,-2
193808,5,-13
193809,75,-15
193810,278,-103
193811,706,-77
193812,1154,-24
193901,1092,-222
193902,1109,22
193903,820,-45
193904,579,97
193905,141,-74
193906,17,-20
193907,0,-5
193908,17,-1
193909,28,-62
193910,346,-35
193911,795,12
193912,994,-184
194001,1626,312
194002,1059,-28
194003,1000,135
194004,548,66
194005,293,78
194006,25,-12
194007,0,-5
194008,12,-6
194009,102,12
194010,293,-88
194011,868,85
194012,1047,-131
194101,1201,-113
194102,1163,76
194103,1010,145
194104,350,-132
194105,134,-81
194106,24,-13
194107,0,-5
194108,11,-7
