Indiana, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1389,182
189502,1314,301
189503,900,92
189504,374,-73
189505,155,-35
189506,8,-18
189507,7,4
189508,6,-8
189509,32,-48
189510,590,227
189511,775,48
189512,1021,-70
189601,1179,-28
189602,989,-24
189603,986,178
189604,251,-196
189605,68,-122
189606,23,-3
189607,2,-1
189608,10,-4
189609,131,51
189610,496,133
189611,686,-41
189612,990,-101
189701,1303,96
189702,969,-44
189703,767,-41
189704,487,40
189705,272,82
189706,31,5
189707,0,-3
189708,23,9
189709,40,-40
189710,251,-112
189711,740,13
189712,1112,21
189801,1068,-139
189802,974,-39
189803,669,-139
189804,510,63
189805,173,-17
189806,11,-15
189807,0,-3
189808,8,-6
189809,37,-43
189810,399,36
189811,856,129
189812,1190,99
189901,1202,-5
189902,1260,247
189903,951,143
189904,359,-88
189905,147,-43
189906,9,-17
189907,1,-2
189908,3,-11
189909,86,6
189910,258,-105
189911,647,-80
189912,1140,49
190001,1078,-129
190002,1146,133
190003,993,185
190004,418,-29
190005,133,-57
190006,22,-4
190007,2,-1
190008,0,-14
190009,37,-43
190010,191,-172
190011,741,14
190012,1053,-38
190101,1152,-55
190102,1234,221
190103,827,19
190104,534,87
190105,217,27
190106,10,-16
190107,0,-3
190108,4,-10
190109,80,0
190110,351,-12
190111,842,115
190112,1235,144
190201,1203,-4
190202,1275,262
190203,719,-89
190204,485,38
190205,118,-72
190206,40,14
190207,2,-1
190208,26,12
190209,124,44
190210,323,-40
190211,518,-209
190212,1146,55
190301,1242,35
190302,1048,35
190303,623,-185
190304,441,-6
190305,124,-66
190306,79,53
190307,3,0
190308,20,6
190309,81,1
190310,377,14
190311,861,134
190312,1329,238
190401,1433,226
190402,1215,202
190403,822,14
190404,604,157
190405,190,0
190406,36,10
190407,8,5
190408,28,14
190409,73,-7
190410,416,53
190411,751,24
190412,1180,89
190501,1381,174
190502,1307,294
190503,669,-139
190504,458,11
190505,167,-23
190506,21,-5
190507,5,2
190508,8,-6
190509,67,-13
190510,397,34
190511,766,39
190512,1067,-24
190601,992,-215
190602,1083,70
190603,1098,290
190604,377,-70
190605,157,-33
190606,27,1
190607,7,4
190608,2,-12
190609,34,-46
190610,407,44
190611,766,39
190612,1044,-47
190701,1045,-162
190702,1065,52
190703,604,-204
190704,710,263
190705,326,136
190706,59,33
190707,4,1
190708,25,11
190709,102,22
190710,490,127
190711,834,107
190712,1041,-50
190801,1136,-71
190802,1090,77
190803,699,-109
190804,430,-17
190805,159,-31
190806,27,1
190807,2,-1
190808,10,-4
190809,32,-48
190810,378,15
190811,706,-21
190812,1039,-52
190901,1104,-103
190902,887,-126
190903,862,54
190904,502,55
190905,236,46
190906,19,-7
190907,11,8
190908,7,-7
190909,126,46
190910,527,164
190911,490,-237
190912,1351,260
191001,1216,9
191002,1129,116
191003,522,-286
191004,419,-28
191005,305,115
191006,48,22
191007,0,-3
191008,19,5
191009,77,-3
191010,313,-50
191011,905,178
191012,1256,165
191101,1091,-116
191102,896,-117
191103,832,24
191104,515,68
191105,92,-98
191106,12,-14
191107,2,-1
191108,13,-1
191109,47,-33
191110,400,37
191111,899,172
191112,957,-134
191201,1557,350
191202,1249,236
191203,1086,278
191204,398,-49
191205,146,-44
191206,49,23
191207,3,0
191208,23,9
191209,58,-22
191210,367,4
191211,740,13
191212,1021,-70
191301,1025,-182
191302,1134,121
191303,858,50
191304,457,10
191305,177,-13
191306,13,-13
191307,0,-3
191308,4,-10
191309,86,6
191310,388,25
191311,601,-126
191312,936,-155
191401,1014,-193
191402,1269,256
191403,913,105
191404,449,2
191405,145,-45
191406,9,-17
191407,0,-3
191408,7,-7
191409,86,6
191410,295,-68
191411,705,-22
191412,1274,183
191501,1306,99
191502,843,-170
191503,981,173
191504,294,-153
191505,249,59
191506,50,24
191507,10,7
191508,61,47
191509,57,-23
191510,333,-30
191511,648,-79
191512,1136,45
191601,1033,-174
191602,1098,85
191603,920,112
191604,490,43
191605,160,-30
191606,68,42
191607,0,-3
191608,2,-12
191609,97,17
191610,385,22
191611,688,-39
191612,1186,95
191701,1187,-20
191702,1148,135
191703,789,-19
191704,503,56
191705,341,151
191706,51,25
191707,4,1
191708,19,5
191709,114,34
191710,616,253
191711,754,27
191712,1383,292
191801,1671,464
191802,1001,-12
191803,630,-178
191804,525,78
191805,95,-95
191806,23,-3
191807,10,7
191808,0,-14
191809,231,151
191810,300,-63
191811,720,-7
191812,844,-247
191901,1047,-160
191902,950,-63
191903,752,-56
191904,445,-2
191905,246,56
191906,4,-22
191907,0,-3
191908,15,1
191909,42,-38
191910,237,-126
191911,763,36
191912,1292,201
192001,1392,185
192002,1066,53
192003,761,-47
192004,594,147
192005,222,32
192006,23,-3
192007,9,6
192008,21,7
192009,50,-30
192010,229,-134
192011,775,48
192012,1036,-55
192101,1032,-175
192102,875,-138
192103,530,-278
192104,336,-111
192105,138,-52
192106,2,-24
192107,0,-3
192108,13,-1
192109,25,-55
192110,375,12
192111,698,-29
192112,988,-103
192201,1265,58
192202,939,-74
192203,733,-75
192204,386,-61
192205,114,-76
192206,12,-14
192207,4,1
192208,10,-4
192209,32,-48
192210,300,-63
192211,672,-55
192212,1060,-31
192301,1053,-154
192302,1144,131
192303,880,72
192304,500,53
192305,231,41
192306,14,-12
192307,1,-2
192308,16,2
192309,74,-6
192310,456,93
192311,722,-5
192312,797,-294
192401,1355,148
192402,1046,33
192403,955,147
192404,433,-14
192405,344,154
192406,37,11
192407,13,10
192408,13,-1
192409,167,87
192410,260,-103
192411,732,5
192412,1234,143
192501,1244,37
192502,826,-187
192503,737,-71
192504,300,-147
192505,280,90
192506,7,-19
192507,3,0
192508,10,-4
192509,16,-64
192510,623,260
192511,806,79
192512,1193,102
192601,1197,-10
192602,917,-96
192603,1021,213
192604,633,186
192605,164,-26
192606,66,40
192607,2,-1
192608,4,-10
192609,66,-14
192610,382,19
192611,832,105
192612,1167,76
192701,1229,22
192702,798,-215
192703,716,-92
192704,437,-10
192705,209,19
192706,69,43
192707,6,3
192708,66,52
192709,30,-50
192710,274,-89
192711,604,-123
192712,1103,12
192801,1188,-19
192802,989,-24
192803,856,48
192804,567,120
192805,208,18
192806,84,58
192807,3,0
192808,7,-7
192809,149,69
192810,288,-75
192811,713,-14
192812,1007,-84
192901,1322,115
192902,1183,170
192903,610,-198
192904,363,-84
192905,244,54
192906,46,20
192907,2,-1
192908,23,9
192909,85,5
192910,444,81
192911,860,133
192912,1127,36
193001,1313,106
193002,744,-269
193003,855,47
193004,390,-57
193005,160,-30
193006,24,-2
193007,0,-3
193008,9,-5
193009,57,-23
193010,441,78
193011,722,-5
193012,1109,18
193101,1059,-148
193102,827,-186
193103,943,135
193104,431,-16
193105,250,60
193106,8,-18
193107,0,-3
193108,9,-5
193109,21,-59
193110,271,-92
193111,490,-237
193112,834,-257
193201,901,-306
193202,794,-219
193203,1032,224
193204,459,12
193205,176,-14
193206,13,-13
193207,0,-3
193208,9,-5
193209,92,12
193210,385,22
193211,873,146
193212,1099,8
193301,899,-308
193302,1009,-4
193303,845,37
193304,456,9
193305,138,-52
193306,0,-26
193307,0,-3
193308,15,1
193309,21,-59
193310,414,51
193311,795,68
193312,971,-120
193401,1022,-185
193402,1204,191
193403,943,135
193404,447,0
193405,112,-78
193406,1,-25
193407,0,-3
193408,9,-5
193409,76,-4
193410,328,-35
193411,621,-106
193412,1165,74
193501,1133,-74
193502,951,-62
193503,607,-201
193504,527,80
193505,296,106
193506,50,24
193507,0,-3
193508,4,-10
193509,85,5
193510,365,2
193511,757,30
193512,1285,194
193601,1397,190
193602,1266,253
193603,708,-100
193604,574,127
193605,126,-64
193606,22,-4
193607,0,-3
193608,0,-14
193609,33,-47
193610,381,18
193611,853,126
193612,981,-110
193701,1065,-142
193702,1012,-1
193703,941,133
193704,473,26
193705,180,-10
193706,29,3
193707,3,0
193708,3,-11
193709,109,29
193710,454,91
193711,848,121
193712,1180,89
193801,1177,-30
193802,796,-217
193803,612,-196
193804,380,-67
193805,182,-8
193806,34,8
193807,1,-2
193808,3,-11
193809,59,-21
193810,286,-77
193811,664,-63
193812,1062,-29
193901,1023,-184
193902,988,-25
193903,759,-49
193904,551,104
193905,135,-55
193906,10,-16
193907,3,0
193908,11,-3
193909,22,-58
193910,315,-48
193911,788,61
193912,982,-109
194001,1587,380
194002,1004,-9
194003,928,120
194004,539,92
194005,259,69
194006,16,-10
194007,0,-3
194008,4,-10
194009,104,24
194010,281,-82
194011,801,74
194012,930,-161
194101,1141,-66
194102,1104,91
194103,968,160
194104,301,-146
194105,130,-60
194106,17,-9
194107,0,-3
194108,7,-7
194109,30,-50
194110,270,-93
194111,697,-30
194112,903,-188
194201,1199,-8
194202,1097,84
194203,738,-70
194204,327,-120
194205,159,-31
194206,16,-10
194207,0,-3
194208,15,1
194209,106,26
194210,355,-8
194211,664,-63
194212,1220,129
194301,1180,-27
194302,946,-67
194303,916,108
194304,522,75
194305,187,-3
194306,4,-22
194307,0,-3
194308,7,-7
194309,142,62
194310,405,42
194311,831,104
194312,1156,65
194401,1048,-159
194402,923,-90
194403,909,101
194404,488,41
194405,89,-101
194406,4,-22
194407,0,-3
194408,6,-8
194409,73,-7
194410,384,21
194411,691,-36
194412,1261,170
194501,1361,154
194502,971,-42
194503,480,-328
194504,393,-54
194505,300,110
194506,45,19
194507,8,5
194508,14,0
194509,60,-20
194510,430,67
194511,702,-25
194512,1296,205
194601,1140,-67
194602,925,-88
194603,465,-343
194604,387,-60
194605,236,46
194606,24,-2
194607,1,-2
194608,38,24
194609,75,-5
194610,260,-103
194611,615,-112
194612,943,-148
194701,1047,-160
194702,1207,194
194703,1023,215
194704,454,7
194705,264,74
194706,43,17
194707,15,12
194708,0,-14
194709,65,-15
194710,182,-181
194711,862,135
194712,1071,-20
194801,1402,195
194802,1008,-5
194803,777,-31
194804,329,-118
194805,220,30
194806,22,-4
194807,0,-3
194808,10,-4
194809,55,-25
194810,459,96
194811,620,-107
194812,1000,-91
194901,1010,-197
194902,900,-113
194903,781,-27
194904,475,28
194905,155,-35
194906,8,-18
194907,0,-3
194908,8,-6
194909,183,103
194910,253,-110
194911,724,-3
194912,955,-136
195001,924,-283
195002,993,-20
195003,928,120
195004,606,159
195005,155,-35
195006,33,7
195007,11,8
195008,25,11
195009,104,24
195010,254,-109
195011,897,170
195012,1323,232
195101,1136,-71
195102,1010,-3
195103,861,53
195104,521,74
195105,149,-41
195106,31,5
195107,5,2
195108,20,6
195109,120,40
195110,300,-63
195111,944,217
195112,1118,27
195201,1049,-158
195202,878,-135
195203,842,34
195204,429,-18
195205,204,14
195206,2,-24
195207,0,-3
195208,13,-1
195209,89,9
195210,511,148
195211,691,-36
195212,983,-108
195301,1040,-167
195302,865,-148
195303,753,-55
195304,545,98
195305,141,-49
195306,4,-22
195307,0,-3
195308,7,-7
195309,66,-14
195310,273,-90
195311,684,-43
195312,1029,-62
195401,1115,-92
195402,753,-260
195403,882,74
195404,293,-154
195405,285,95
195406,6,-20
195407,1,-2
195408,11,-3
195409,40,-40
195410,328,-35
195411,730,3
195412,1057,-34
195501,1203,-4
195502,978,-35
195503,786,-22
195504,269,-178
195505,149,-41
195506,57,31
195507,0,-3
195508,0,-14
195509,51,-29
195510,349,-14
195511,835,108
195512,1173,82
195601,1209,2
195602,936,-77
195603,815,7
195604,507,60
195605,174,-16
195606,14,-12
195607,6,3
195608,11,-3
195609,107,27
195610,230,-133
195611,738,11
195612,889,-202
195701,1345,138
195702,847,-166
195703,808,0
195704,400,-47
195705,181,-9
195706,17,-9
195707,1,-2
195708,12,-2
195709,99,19
195710,464,101
195711,742,15
195712,929,-162
195801,1187,-20
195802,1195,182
195803,923,115
195804,417,-30
195805,198,8
195806,67,41
195807,6,3
195808,14,0
195809,84,4
195810,352,-11
195811,666,-61
195812,1325,234
195901,1308,101
195902,985,-28
195903,845,37
195904,414,-33
195905,108,-82
195906,14,-12
195907,2,-1
195908,0,-14
195909,45,-35
195910,381,18
195911,887,160
195912,927,-164
196001,1102,-105
196002,1057,44
196003,1241,433
196004,337,-110
196005,242,52
196006,37,11
196007,9,6
196008,7,-7
196009,32,-48
196010,361,-2
196011,689,-38
196012,1253,162
196101,1300,93
196102,885,-128
196103,706,-102
196104,601,154
196105,292,102
196106,39,13
196107,5,2
196108,14,0
196109,30,-50
196110,325,-38
196111,727,0
196112,1140,49
196201,1320,113
196202,1013,0
196203,903,95
196204,476,29
196205,77,-113
196206,18,-8
196207,9,6
196208,13,-1
196209,130,50
196210,299,-64
196211,739,12
196212,1240,149
196301,1474,267
196302,1239,226
196303,724,-84
196304,383,-64
196305,228,38
196306,18,-8
196307,6,3
196308,35,21
196309,95,15
196310,181,-182
196311,630,-97
196312,1433,342
196401,1103,-104
196402,1042,29
196403,826,18
196404,375,-72
196405,115,-75
196406,12,-14
196407,1,-2
196408,18,4
196409,78,-2
196410,467,104
196411,628,-99
196412,1089,-2
196501,1184,-23
196502,1047,34
196503,1016,208
196504,423,-24
196505,84,-106
196506,23,-3
196507,10,7
196508,24,10
196509,64,-16
196510,395,32
196511,668,-59
196512,887,-204
196601,1346,139
196602,1019,6
196603,749,-59
196604,513,66
196605,295,105
196606,19,-7
196607,0,-3
196608,20,6
196609,118,38
196610,467,104
196611,689,-38
196612,1065,-26
196701,1089,-118
196702,1136,123
196703,768,-40
196704,376,-71
196705,277,87
196706,14,-12
196707,11,8
196708,37,23
196709,126,46
196710,391,28
196711,843,116
196712,1006,-85
196801,1314,107
196802,1132,119
196803,747,-61
196804,390,-57
196805,260,70
196806,17,-9
196807,2,-1
196808,7,-7
196809,84,4
196810,367,4
196811,694,-33
196812,1111,20
196901,1285,78
196902,983,-30
196903,959,151
196904,393,-54
196905,177,-13
196906,43,17
196907,1,-2
196908,13,-1
196909,92,12
196910,387,24
196911,826,99
196912,1149,58
197001,1459,252
197002,1060,47
197003,916,108
197004,389,-58
197005,128,-62
197006,25,-1
197007,4,1
197008,11,-3
197009,44,-36
197010,331,-32
197011,747,20
197012,996,-95
197101,1337,130
197102,1035,22
197103,915,107
197104,473,26
197105,261,71
197106,5,-21
197107,11,8
197108,25,11
197109,41,-39
197110,179,-184
197111,706,-21
197112,858,-233
197201,1230,23
197202,1068,55
197203,848,40
197204,473,26
197205,147,-43
197206,63,37
197207,6,3
197208,14,0
197209,62,-18
197210,467,104
197211,799,72
197212,1091,0
197301,1105,-102
197302,984,-29
197303,568,-240
197304,452,5
197305,260,70
197306,11,-15
197307,0,-3
197308,8,-6
197309,46,-34
197310,251,-112
197311,639,-88
197312,1106,15
197401,1134,-73
197402,993,-20
197403,717,-91
197404,378,-69
197405,215,25
197406,55,29
197407,0,-3
197408,13,-1
197409,162,82
197410,420,57
197411,696,-31
197412,1029,-62
197501,1064,-143
197502,980,-33
197503,909,101
197504,559,112
197505,117,-73
197506,16,-10
197507,6,3
197508,3,-11
197509,156,76
197510,330,-33
197511,567,-160
197512,1015,-76
197601,1310,103
197602,785,-228
197603,603,-205
197604,372,-75
197605,249,59
197606,19,-7
197607,5,2
197608,29,15
197609,127,47
197610,538,175
197611,946,219
197612,1278,187
197701,1718,511
197702,1070,57
197703,633,-175
197704,293,-154
197705,70,-120
197706,34,8
197707,0,-3
197708,15,1
197709,52,-28
197710,444,81
197711,668,-59
197712,1201,110
197801,1502,295
197802,1413,400
197803,1011,203
197804,425,-22
197805,219,29
197806,18,-8
197807,3,0
197808,12,-2
197809,34,-46
197810,438,75
197811,644,-83
197812,1047,-44
197901,1507,300
197902,1354,341
197903,754,-54
197904,507,60
197905,213,23
197906,22,-4
197907,9,6
197908,16,2
197909,89,9
197910,381,18
197911,721,-6
197912,976,-115
198001,1177,-30
198002,1194,181
198003,942,134
198004,507,60
198005,162,-28
198006,39,13
198007,0,-3
198008,2,-12
198009,56,-24
198010,465,102
198011,760,33
198012,1065,-26
198101,1318,111
198102,966,-47
198103,814,6
198104,310,-137
198105,257,67
198106,13,-13
198107,2,-1
198108,15,1
198109,105,25
198110,438,75
198111,675,-52
198112,1173,82
198201,1466,259
198202,1132,119
198203,818,10
198204,577,130
198205,88,-102
198206,66,40
198207,1,-2
198208,25,11
198209,102,22
198210,338,-25
198211,662,-65
198212,791,-300
198301,1111,-96
198302,883,-130
198303,737,-71
198304,552,105
198305,261,71
198306,16,-10
198307,0,-3
198308,0,-14
198309,65,-15
198310,332,-31
198311,629,-98
198312,1396,305
198401,1379,172
198402,820,-193
198403,1050,242
198404,489,42
198405,255,65
198406,7,-19
198407,11,8
198408,8,-6
198409,107,27
198410,238,-125
198411,738,11
198412,858,-233
198501,1398,191
198502,1142,129
198503,675,-133
198504,281,-166
198505,138,-52
198506,39,13
198507,5,2
198508,21,7
198509,67,-13
198510,286,-77
198511,592,-135
198512,1321,230
198601,1160,-47
198602,994,-19
198603,722,-86
198604,346,-101
198605,158,-32
198606,16,-10
198607,0,-3
198608,30,16
198609,41,-39
198610,332,-31
198611,792,65
198612,1035,-56
198701,1194,-13
198702,885,-128
198703,686,-122
198704,416,-31
198705,94,-96
198706,9,-17
198707,0,-3
198708,8,-6
198709,62,-18
198710,554,191
198711,590,-137
198712,944,-147
198801,1281,74
198802,1087,74
198803,780,-28
198804,445,-2
198805,147,-43
198806,11,-15
198807,0,-3
198808,0,-14
198809,78,-2
198810,565,202
198811,679,-48
198812,1081,-10
198901,954,-253
198902,1102,89
198903,774,-34
198904,466,19
198905,252,62
198906,23,-3
198907,0,-3
198908,15,1
198909,118,38
198910,351,-12
198911,744,17
198912,1464,373
199001,896,-311
199002,813,-200
199003,657,-151
199004,450,3
199005,243,53
199006,22,-4
199007,6,3
199008,19,5
199009,68,-12
199010,393,30
199011,559,-168
199012,990,-101
199101,1216,9
199102,877,-136
199103,693,-115
199104,326,-121
199105,71,-119
199106,6,-20
199107,0,-3
199108,7,-7
199109,82,2
199110,293,-70
199111,802,75
199112,961,-130
199201,1086,-121
199202,796,-217
199203,755,-53
199204,458,11
199205,218,28
199206,61,35
199207,9,6
199208,45,31
199209,107,27
199210,410,47
199211,699,-28
199212,1034,-57
199301,1089,-118
199302,1093,80
199303,881,73
199304,485,38
199305,164,-26
199306,31,5
199307,0,-3
199308,7,-7
199309,152,72
199310,441,78
199311,730,3
199312,1059,-32
199401,1406,199
199402,1060,47
199403,800,-8
199404,381,-66
199405,246,56
199406,10,-16
199407,5,2
199408,30,16
199409,93,13
199410,324,-39
199411,554,-173
199412,879,-212
199501,1160,-47
199502,1013,0
199503,685,-123
199504,458,11
199505,210,20
199506,14,-12
199507,0,-3
199508,0,-14
199509,115,35
199510,326,-37
199511,871,144
199512,1187,96
199601,1251,44
199602,984,-29
