Iowa, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1664,207
189502,1418,235
189503,977,39
189504,369,-135
189505,184,-33
189506,33,-10
189507,16,6
189508,18,-7
189509,59,-64
189510,633,209
189511,971,98
189512,1273,-30
189601,1342,-115
189602,1100,-83
189603,1089,151
189604,339,-165
189605,108,-109
189606,32,-11
189607,13,3
189608,23,-2
189609,240,117
189610,566,142
189611,1101,228
189612,1104,-199
189701,1537,80
189702,1152,-31
189703,1053,115
189704,535,31
189705,252,35
189706,46,3
189707,4,-6
189708,48,23
189709,30,-93
189710,309,-115
189711,963,90
189712,1513,210
189801,1342,-115
189802,1188,5
189803,874,-64
189804,537,33
189805,224,7
189806,23,-20
189807,11,1
189808,22,-3
189809,91,-32
189810,565,141
189811,1013,140
189812,1483,180
189901,1443,-14
189902,1488,305
189903,1263,325
189904,501,-3
189905,211,-6
189906,28,-15
189907,12,2
189908,11,-14
189909,142,19
189910,301,-123
189911,669,-204
189912,1361,58
190001,1262,-195
190002,1426,243
190003,1093,155
190004,405,-99
190005,151,-66
190006,38,-5
190007,11,1
190008,1,-24
190009,102,-21
190010,234,-190
190011,982,109
190012,1226,-77
190101,1333,-124
190102,1382,199
190103,980,42
190104,480,-24
190105,200,-17
190106,18,-25
190107,0,-10
190108,13,-12
190109,124,1
190110,378,-46
190111,934,61
190112,1429,126
190201,1380,-77
190202,1377,194
190203,839,-99
190204,529,25
190205,144,-73
190206,93,50
190207,12,2
190208,47,22
190209,218,95
190210,396,-28
190211,741,-132
190212,1430,127
190301,1360,-97
190302,1286,103
190303,821,-117
190304,472,-32
190305,177,-40
190306,103,60
190307,13,3
190308,45,20
190309,172,49
190310,436,12
190311,967,94
190312,1465,162
190401,1624,167
190402,1443,260
190403,968,30
190404,647,143
190405,221,4
190406,62,19
190407,25,15
190408,47,22
190409,114,-9
190410,414,-10
190411,776,-97
190412,1348,45
190501,1716,259
190502,1493,310
190503,772,-166
190504,542,38
190505,249,32
190506,33,-10
190507,24,14
190508,11,-14
190509,84,-39
190510,509,85
190511,841,-32
190512,1231,-72
190601,1287,-170
190602,1203,20
190603,1198,260
190604,408,-96
190605,199,-18
190606,53,10
190607,22,12
190608,11,-14
190609,63,-60
190610,477,53
190611,936,63
190612,1247,-56
190701,1464,7
190702,1159,-24
190703,778,-160
190704,725,221
190705,393,176
190706,75,32
190707,10,0
190708,29,4
190709,140,17
190710,500,76
190711,897,24
190712,1170,-133
190801,1295,-162
190802,1180,-3
190803,870,-68
190804,471,-33
190805,226,9
190806,63,20
190807,11,1
190808,36,11
190809,61,-62
190810,460,36
190811,821,-52
190812,1224,-79
190901,1398,-59
190902,1117,-66
190903,1039,101
190904,656,152
190905,271,54
190906,41,-2
190907,16,6
190908,6,-19
190909,146,23
190910,518,94
190911,711,-162
190912,1590,287
191001,1514,57
191002,1356,173
191003,559,-379
191004,403,-101
191005,325,108
191006,37,-6
191007,6,-4
191008,19,-6
191009,127,4
191010,352,-72
191011,1007,134
191012,1347,44
191101,1437,-20
191102,1085,-98
191103,831,-107
191104,575,71
191105,121,-96
191106,7,-36
191107,3,-7
191108,26,1
191109,92,-31
191110,534,110
191111,1099,226
191112,1181,-122
191201,1942,485
191202,1360,177
191203,1278,340
191204,478,-26
191205,167,-50
191206,74,31
191207,7,-3
191208,29,4
191209,142,19
191210,431,7
191211,795,-78
191212,1149,-154
191301,1406,-51
191302,1295,112
191303,1059,121
191304,464,-40
191305,231,14
191306,22,-21
191307,3,-7
191308,6,-19
191309,108,-15
191310,511,87
191311,676,-197
191312,1059,-244
191401,1198,-259
191402,1383,200
191403,963,25
191404,502,-2
191405,170,-47
191406,21,-22
191407,2,-8
191408,15,-10
191409,109,-14
191410,323,-101
191411,766,-107
191412,1557,254
191501,1526,69
191502,1031,-152
191503,1121,183
191504,276,-228
191505,313,96
191506,95,52
191507,33,23
191508,89,64
191509,118,-5
191510,373,-51
191511,786,-87
191512,1295,-8
191601,1476,19
191602,1316,133
191603,950,12
191604,549,45
191605,222,5
191606,104,61
191607,0,-10
191608,11,-14
191609,140,17
191610,464,40
191611,862,-11
191612,1465,162
191701,1528,71
191702,1417,234
191703,954,16
191704,596,92
191705,331,114
191706,79,36
191707,8,-2
191708,42,17
191709,143,20
191710,718,294
191711,766,-107
191712,1590,287
191801,1788,331
191802,1198,15
191803,719,-219
191804,627,123
191805,126,-91
191806,31,-12
191807,14,4
191808,7,-18
191809,240,117
191810,347,-77
191811,797,-76
191812,1052,-251
191901,1237,-220
191902,1144,-39
191903,880,-58
191904,508,4
191905,267,50
191906,19,-24
191907,1,-9
191908,25,0
191909,66,-57
191910,462,38
191911,981,108
191912,1603,300
192001,1569,112
192002,1191,8
192003,863,-75
192004,696,192
192005,235,18
192006,28,-15
192007,17,7
192008,44,19
192009,79,-44
192010,278,-146
192011,932,59
192012,1240,-63
192101,1187,-270
192102,991,-192
192103,717,-221
192104,406,-98
192105,152,-65
192106,9,-34
192107,0,-10
192108,22,-3
192109,68,-55
192110,375,-49
192111,986,113
192112,1192,-111
192201,1448,-9
192202,1174,-9
192203,864,-74
192204,487,-17
192205,150,-67
192206,20,-23
192207,21,11
192208,14,-11
192209,71,-52
192210,329,-95
192211,728,-145
192212,1315,12
192301,1249,-208
192302,1301,118
192303,1136,198
192304,532,28
192305,231,14
192306,25,-18
192307,2,-8
192308,33,8
192309,116,-7
192310,543,119
192311,798,-75
192312,1017,-286
192401,1631,174
192402,1139,-44
192403,1059,121
192404,460,-44
192405,369,152
192406,75,32
192407,31,21
192408,27,2
192409,231,108
192410,280,-144
192411,835,-38
192412,1579,276
192501,1459,2
192502,1062,-121
192503,813,-125
192504,300,-204
192505,282,65
192506,32,-11
192507,10,0
192508,20,-5
192509,46,-77
192510,796,372
192511,924,51
192512,1436,133
192601,1368,-89
192602,988,-195
192603,1067,129
192604,608,104
192605,139,-78
192606,86,43
192607,8,-2
192608,15,-10
192609,132,9
192610,468,44
192611,1020,147
192612,1378,75
192701,1405,-52
192702,993,-190
192703,810,-128
192704,501,-3
192705,259,42
192706,78,35
192707,14,4
192708,65,40
192709,65,-58
192710,344,-80
192711,856,-17
192712,1462,159
192801,1291,-166
192802,1055,-128
192803,849,-89
192804,649,145
192805,173,-44
192806,104,61
192807,10,0
192808,18,-7
192809,191,68
192810,373,-51
192811,832,-41
192812,1176,-127
192901,1753,296
192902,1468,285
192903,832,-106
192904,439,-65
192905,273,56
192906,63,20
192907,9,-1
192908,25,0
192909,142,19
192910,450,26
192911,1026,153
192912,1290,-13
193001,1735,278
193002,871,-312
193003,888,-50
193004,423,-81
193005,214,-3
193006,43,0
193007,1,-9
193008,11,-14
193009,80,-43
193010,481,57
193011,763,-110
193012,1251,-52
193101,1178,-279
193102,870,-313
193103,966,28
193104,451,-53
193105,283,66
193106,8,-35
193107,1,-9
193108,19,-6
193109,28,-95
193110,301,-123
193111,671,-202
193112,1006,-297
193201,1347,-110
193202,1033,-150
193203,1171,233
193204,488,-16
193205,173,-44
193206,20,-23
193207,2,-8
193208,21,-4
193209,152,29
193210,510,86
193211,1004,131
193212,1375,72
193301,1061,-396
193302,1228,45
193303,929,-9
193304,520,16
193305,209,-8
193306,1,-42
193307,2,-8
193308,33,8
193309,40,-83
193310,501,77
193311,872,-1
193312,1226,-77
193401,1233,-224
193402,1171,-12
193403,985,47
193404,474,-30
193405,66,-151
193406,3,-40
193407,0,-10
193408,21,-4
193409,173,50
193410,317,-107
193411,736,-137
193412,1401,98
193501,1431,-26
193502,1052,-131
193503,793,-145
193504,576,72
193505,345,128
193506,86,43
193507,0,-10
193508,15,-10
193509,102,-21
193510,470,46
193511,972,99
193512,1381,78
193601,1760,303
193602,1678,495
193603,834,-104
193604,609,105
193605,108,-109
193606,39,-4
193607,0,-10
193608,1,-24
193609,60,-63
193610,474,50
193611,935,62
193612,1170,-133
193701,1644,187
193702,1304,121
193703,1030,92
193704,547,43
193705,185,-32
193706,46,3
193707,3,-7
193708,1,-24
193709,92,-31
193710,494,70
193711,986,113
193712,1365,62
193801,1427,-30
193802,1028,-155
193803,698,-240
193804,470,-34
193805,229,12
193806,44,1
193807,2,-8
193808,8,-17
193809,78,-45
193810,246,-178
193811,861,-12
193812,1251,-52
193901,1179,-278
193902,1271,88
193903,920,-18
193904,549,45
193905,110,-107
193906,24,-19
193907,3,-7
193908,31,6
193909,46,-77
193910,398,-26
193911,809,-64
193912,1061,-242
194001,1794,337
194002,1173,-10
194003,1077,139
194004,555,51
194005,264,47
194006,24,-19
194007,2,-8
194008,31,6
194009,93,-30
194010,292,-132
194011,988,115
194012,1186,-117
194101,1332,-125
194102,1242,59
194103,1021,83
194104,369,-135
194105,113,-104
194106,34,-9
194107,7,-3
194108,10,-15
194109,80,-43
194110,374,-50
194111,794,-79
194112,1064,-239
194201,1411,-46
194202,1201,18
194203,858,-80
194204,350,-154
194205,234,17
194206,37,-6
194207,9,-1
194208,22,-3
194209,171,48
194210,420,-4
194211,840,-33
194212,1444,141
194301,1549,92
194302,1108,-75
194303,1089,151
194304,528,24
194305,279,62
194306,23,-20
194307,5,-5
194308,14,-11
194309,204,81
194310,460,36
194311,989,116
194312,1254,-49
194401,1144,-313
194402,1108,-75
194403,1108,170
194404,626,122
194405,136,-81
194406,22,-21
194407,15,5
194408,22,-3
194409,110,-13
194410,401,-23
194411,783,-90
194412,1444,141
194501,1489,32
194502,1151,-32
194503,642,-296
194504,512,8
194505,348,131
194506,111,68
194507,18,8
194508,21,-4
194509,142,19
194510,456,32
194511,897,24
194512,1505,202
194601,1363,-94
194602,1063,-120
194603,611,-327
194604,372,-132
194605,307,90
194606,38,-5
194607,11,1
194608,53,28
194609,133,10
194610,334,-90
194611,854,-19
194612,1151,-152
194701,1270,-187
194702,1356,173
194703,1070,132
194704,570,66
194705,339,122
194706,82,39
194707,15,5
194708,0,-25
194709,66,-57
194710,197,-227
194711,1026,153
194712,1230,-73
194801,1528,71
194802,1210,27
194803,1037,99
194804,355,-149
194805,249,32
194806,51,8
194807,7,-3
194808,13,-12
194809,61,-62
194810,465,41
194811,819,-54
194812,1268,-35
194901,1488,31
194902,1295,112
194903,976,38
194904,503,-1
194905,158,-59
194906,18,-25
194907,2,-8
194908,17,-8
194909,225,102
194910,342,-82
194911,754,-119
194912,1213,-90
195001,1458,1
195002,1231,48
195003,1093,155
195004,702,198
195005,224,7
195006,53,10
195007,34,24
195008,64,39
195009,135,12
195010,282,-142
195011,1010,137
195012,1498,195
195101,1516,59
195102,1187,4
195103,1190,252
195104,640,136
195105,175,-42
195106,94,51
195107,18,8
195108,37,12
195109,204,81
195110,440,16
195111,1072,199
195112,1423,120
195201,1423,-34
195202,983,-200
195203,1058,120
195204,481,-23
195205,237,20
195206,13,-30
195207,7,-3
195208,39,14
195209,108,-15
195210,590,166
195211,840,-33
195212,1240,-63
195301,1359,-98
195302,1077,-106
195303,912,-26
195304,662,158
195305,225,8
195306,17,-26
195307,9,-1
195308,17,-8
195309,108,-15
195310,277,-147
195311,761,-112
195312,1182,-121
195401,1465,8
195402,829,-354
195403,1044,106
195404,407,-97
195405,333,116
195406,17,-26
195407,2,-8
195408,25,0
195409,83,-40
195410,452,28
195411,764,-109
195412,1202,-101
195501,1420,-37
195502,1259,76
195503,995,57
195504,310,-194
195505,158,-59
195506,70,27
195507,0,-10
195508,4,-21
195509,83,-40
195510,413,-11
195511,1060,187
195512,1426,123
195601,1465,8
195602,1204,21
195603,1000,62
195604,583,79
195605,181,-36
195606,11,-32
195607,16,6
195608,18,-7
195609,138,15
195610,252,-172
195611,888,15
195612,1197,-106
195701,1601,144
195702,1019,-164
195703,945,7
195704,492,-12
195705,247,30
195706,46,3
195707,1,-9
195708,18,-7
195709,175,52
195710,515,91
195711,931,58
195712,1106,-197
195801,1338,-119
195802,1386,203
195803,992,54
195804,494,-10
195805,180,-37
195806,86,43
195807,30,20
195808,19,-6
195809,112,-11
195810,356,-68
195811,785,-88
195812,1420,117
195901,1604,147
195902,1270,87
195903,966,28
195904,507,3
195905,164,-53
195906,25,-18
195907,17,7
195908,6,-19
195909,119,-4
195910,552,128
195911,1120,247
195912,1043,-260
196001,1413,-44
196002,1289,106
196003,1400,462
196004,448,-56
196005,232,15
196006,66,23
196007,16,6
196008,16,-9
196009,93,-30
196010,427,3
196011,799,-74
196012,1322,19
196101,1435,-22
196102,1040,-143
196103,907,-31
196104,666,162
196105,286,69
196106,41,-2
196107,16,6
196108,20,-5
196109,150,27
196110,380,-44
196111,872,-1
196112,1434,131
196201,1626,169
196202,1254,71
196203,1142,204
196204,549,45
196205,106,-111
196206,45,2
196207,23,13
196208,24,-1
196209,182,59
196210,361,-63
196211,806,-67
196212,1301,-2
196301,1761,304
196302,1311,128
196303,814,-124
196304,417,-87
196305,225,8
196306,15,-28
196307,9,-1
196308,32,7
196309,102,-21
196310,167,-257
196311,721,-152
196312,1609,306
196401,1222,-235
196402,1068,-115
196403,1041,103
196404,474,-30
196405,117,-100
196406,35,-8
196407,2,-8
196408,44,19
196409,133,10
196410,480,56
196411,752,-121
196412,1377,74
196501,1490,33
196502,1284,101
196503,1295,357
196504,537,33
196505,138,-79
196506,47,4
196507,14,4
196508,31,6
196509,195,72
196510,393,-31
196511,810,-63
196512,1023,-280
196601,1663,206
196602,1186,3
196603,802,-136
196604,615,111
196605,305,88
196606,41,-2
196607,2,-8
196608,47,22
196609,164,41
196610,439,15
196611,845,-28
196612,1294,-9
196701,1339,-118
196702,1282,99
196703,839,-99
196704,463,-41
196705,310,93
196706,44,1
196707,24,14
196708,59,34
196709,175,52
196710,482,58
196711,929,56
196712,1200,-103
196801,1432,-25
196802,1225,42
196803,728,-210
196804,442,-62
196805,299,82
196806,26,-17
196807,13,3
196808,21,-4
196809,140,17
196810,397,-27
196811,905,32
196812,1354,51
196901,1574,117
196902,1154,-29
196903,1169,231
196904,453,-51
196905,196,-21
196906,101,58
196907,9,-1
196908,18,-7
196909,121,-2
196910,527,103
196911,863,-10
196912,1343,40
197001,1715,258
197002,1163,-20
197003,1053,115
197004,467,-37
197005,150,-67
197006,31,-12
197007,9,-1
197008,22,-3
197009,121,-2
197010,440,16
197011,884,11
197012,1277,-26
197101,1626,169
197102,1246,63
197103,1031,93
197104,465,-39
197105,285,68
197106,9,-34
197107,28,18
197108,32,7
197109,84,-39
197110,271,-153
197111,830,-43
197112,1200,-103
197201,1549,92
197202,1322,139
197203,953,15
197204,564,60
197205,183,-34
197206,50,7
197207,18,8
197208,22,-3
197209,115,-8
197210,542,118
197211,943,70
197212,1472,169
197301,1369,-88
197302,1097,-86
197303,702,-236
197304,550,46
197305,276,59
197306,24,-19
197307,10,0
197308,14,-11
197309,130,7
197310,289,-135
197311,816,-57
197312,1380,77
197401,1480,23
197402,1129,-54
197403,875,-63
197404,429,-75
197405,262,45
197406,69,26
197407,1,-9
197408,49,24
197409,218,95
197410,415,-9
197411,837,-36
197412,1219,-84
197501,1391,-66
197502,1241,58
197503,1183,245
197504,646,142
197505,153,-64
197506,34,-9
197507,8,-2
197508,13,-12
197509,209,86
197510,358,-66
197511,722,-151
197512,1191,-112
197601,1420,-37
197602,913,-270
197603,854,-84
197604,396,-108
197605,262,45
197606,35,-8
197607,7,-3
197608,27,2
197609,136,13
197610,604,180
197611,1064,191
197612,1481,178
197701,1825,368
197702,1086,-97
197703,721,-217
197704,310,-194
197705,87,-130
197706,25,-18
197707,2,-8
197708,47,22
197709,105,-18
197710,482,58
197711,887,14
197712,1402,99
197801,1755,298
197802,1488,305
197803,1060,122
197804,498,-6
197805,215,-2
197806,32,-11
197807,12,2
197808,22,-3
197809,52,-71
197810,473,49
197811,882,9
197812,1404,101
197901,1861,404
197902,1512,329
197903,1018,80
197904,612,108
197905,231,14
197906,38,-5
197907,14,4
197908,24,-1
197909,100,-23
197910,430,6
197911,892,19
197912,1112,-191
198001,1377,-80
198002,1292,109
198003,1029,91
198004,474,-30
198005,181,-36
198006,35,-8
198007,2,-8
198008,12,-13
198009,97,-26
198010,532,108
198011,796,-77
198012,1260,-43
198101,1311,-146
198102,1061,-122
198103,792,-146
198104,336,-168
198105,256,39
198106,30,-13
198107,10,0
198108,33,8
198109,127,4
198110,498,74
198111,758,-115
198112,1332,29
198201,1783,326
198202,1259,76
198203,1000,62
198204,628,124
198205,156,-61
198206,97,54
198207,8,-2
198208,31,6
198209,139,16
198210,403,-21
198211,888,15
198212,1105,-198
198301,1279,-178
198302,1007,-176
198303,890,-48
198304,664,160
198305,304,87
198306,31,-12
198307,1,-9
198308,1,-24
198309,102,-21
198310,435,11
198311,806,-67
198312,1753,450
198401,1470,13
198402,931,-252
198403,1130,192
198404,548,44
198405,279,62
198406,25,-18
198407,15,5
198408,12,-13
198409,151,28
198410,395,-29
198411,825,-48
198412,1203,-100
198501,1586,129
198502,1273,90
198503,773,-165
198504,348,-156
198505,148,-69
198506,67,24
198507,12,2
198508,50,25
198509,115,-8
198510,445,21
198511,1070,197
198512,1664,361
198601,1314,-143
198602,1267,84
198603,780,-158
198604,389,-115
198605,188,-29
198606,22,-21
198607,3,-7
198608,63,38
198609,88,-35
198610,427,3
198611,1003,130
198612,1203,-100
198701,1261,-196
198702,878,-305
198703,760,-178
198704,371,-133
198705,114,-103
198706,13,-30
198707,1,-9
198708,29,4
198709,122,-1
198710,579,155
198711,713,-160
198712,1139,-164
198801,1524,67
198802,1292,109
198803,845,-93
198804,493,-11
198805,119,-98
198806,11,-32
198807,3,-7
198808,3,-22
198809,89,-34
198810,593,169
198811,825,-48
198812,1220,-83
198901,1109,-348
198902,1421,238
198903,966,28
198904,482,-22
198905,231,14
198906,52,9
198907,5,-5
198908,22,-3
198909,168,45
198910,402,-22
198911,933,60
198912,1583,280
199001,1094,-363
199002,1035,-148
199003,778,-160
199004,503,-1
199005,291,74
199006,29,-14
199007,14,4
199008,19,-6
199009,71,-52
199010,454,30
199011,703,-170
199012,1388,85
199101,1595,138
199102,1006,-177
199103,796,-142
199104,410,-94
199105,128,-89
199106,12,-31
199107,8,-2
199108,19,-6
199109,130,7
199110,469,45
199111,1087,214
199112,1170,-133
199201,1181,-276
199202,922,-261
199203,808,-130
199204,563,59
199205,204,-13
199206,53,10
199207,42,32
199208,81,56
199209,162,39
199210,450,26
199211,952,79
199212,1269,-34
199301,1453,-4
199302,1278,95
199303,1045,107
199304,599,95
199305,217,0
199306,62,19
199307,15,5
199308,20,-5
199309,239,116
199310,486,62
199311,922,49
199312,1214,-89
199401,1690,233
199402,1334,151
199403,840,-98
199404,467,-37
199405,200,-17
199406,23,-20
199407,23,13
199408,45,20
199409,97,-26
199410,362,-62
199411,757,-116
199412,1161,-142
199501,1449,-8
199502,1114,-69
199503,856,-82
199504,602,98
199505,281,64
199506,28,-15
199507,8,-2
199508,2,-23
199509,171,48
199510,442,18
199511,1041,168
199512,1276,-27
199601,1512,55
199602,1176,-7
199603,1081,143
199604,574,70
199605,291,74
199606,34,-9
199607,23,13
199608,29,4
199609,157,34
199610,416,-8
199611,1071,198
199612,1385,82
199701,1556,99
199702,1109,-74
199703,853,-85
199704,613,109
199705,348,131
199706,27,-16
199707,10,0
199708,36,11
199709,99,-24
199710,408,-16
199711,952,79
199712,1163,-140
199801,1279,-178
199802,833,-350
199803,976,38
199804,457,-47
199805,116,-101
199806,58,15
199807,8,-2
199808,13,-12
199809,46,-77
199810,380,-44
199811,723,-150
199812,1096,-207
199901,1487,30
199902,892,-291
199903,894,-44
199904,444,-60
199905,192,-25
199906,37,-6
199907,1,-9
199908,31,6
199909,148,25
199910,439,15
199911,623,-250
199912,1182,-121
200001,1347,-110
200002,913,-270
200003,682,-256
200004,465,-39
200005,155,-62
200006,52,9
200007,14,4
200008,15,-10
200009,90,-33
200010,324,-100
200011,965,92
200012,1697,394
200101,1369,-88
200102,1297,114
200103,1071,133
200104,365,-139
200105,184,-33
200106,46,3
200107,4,-6
200108,15,-10
200109,152,29
200110,463,39
200111,510,-363
200112,1055,-248
200201,1114,-343
200202,980,-203
200203,1034,96
200204,485,-19
200205,277,60
200206,17,-26
200207,1,-9
200208,25,0
200209,79,-44
200210,570,146
200211,904,31
200212,1116,-187
200301,1424,-33
200302,1249,66
200303,931,-7
200304,439,-65
200305,252,35
200306,57,14
200307,11,1
200308,10,-15
200309,151,28
200310,403,-21
200311,861,-12
200312,1134,-169
200401,1460,3
200402,1173,-10
200403,749,-189
200404,421,-83
200405,191,-26
200406,58,15
200407,23,13
200408,74,49
200409,67,-56
200410,413,-11
200411,727,-146
200412,1191,-112
200501,1423,-34
200502,945,-238
200503,896,-42
200504,352,-152
200505,260,43
200506,14,-29
200507,6,-4
200508,21,-4
200509,51,-72
200510,390,-34
200511,760,-113
200512,1415,112
200601,1007,-450
200602,1113,-70
200603,877,-61
200604,345,-159
200605,196,-21
200606,32,-11
200607,2,-8
200608,17,-8
200609,174,51
200610,529,105
200611,758,-115
200612,1045,-258
200701,1332,-125
200702,1392,209
200703,722,-216
200704,548,44
200705,120,-97
200706,26,-17
200707,10,0
200708,9,-16
200709,87,-36
200710,294,-130
200711,831,-42
200712,1374,71
200801,1492,35
200802,1344,161
200803,1008,70
200804,557,53
200805,267,50
200806,35,-8
200807,11,1
200808,32,7
200809,106,-17
200810,445,21
200811,825,-48
200812,1468,165
200901,1620,163
200902,1075,-108
200903,853,-85
200904,535,31
200905,210,-7
200906,38,-5
200907,47,37
200908,46,21
200909,111,-12
200910,612,188
200911,643,-230
200912,1381,78
201001,1583,126
201002,1327,144
201003,808,-130
201004,303,-201
201005,203,-14
201006,24,-19
201007,5,-5
201008,9,-16
201009,114,-9
201010,355,-69
201011,801,-72
201012,1429,126
201101,1541,84
201102,1178,-5
201103,919,-19
201104,521,17
201105,223,6
201106,32,-11
201107,0,-10
201108,18,-7
201109,171,48
201110,370,-54
201111,757,-116
201112,1096,-207
201201,1195,-262
201202,983,-200
201203,446,-492
201204,392,-112
201205,116,-101
201206,20,-23
201207,0,-10
201208,24,-1
201209,135,12
201210,500,76
201211,775,-98
201212,1144,-159
201301,1327,-130
201302,1142,-41
201303,1120,182
201304,621,117
201305,220,3
201306,38,-5
201307,14,4
201308,18,-7
201309,58,-65
201310,446,22
201311,931,58
