Kansas, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1291,172
189502,1143,273
189503,694,16
189504,208,-121
189505,88,-28
189506,15,1
189507,6,4
189508,10,4
189509,23,-29
189510,416,158
189511,755,97
189512,1036,20
189601,1034,-85
189602,804,-66
189603,828,150
189604,169,-160
189605,44,-72
189606,12,-2
189607,1,-1
189608,5,-1
189609,92,40
189610,360,102
189611,817,159
189612,827,-189
189701,1186,67
189702,907,37
189703,701,23
189704,345,16
189705,126,10
189706,8,-6
189707,0,-2
189708,9,3
189709,17,-35
189710,174,-84
189711,692,34
189712,1136,120
189801,1049,-70
189802,817,-53
189803,690,12
189804,379,50
189805,127,11
189806,8,-6
189807,3,1
189808,5,-1
189809,40,-12
189810,381,123
189811,807,149
189812,1191,175
189901,1122,3
189902,1273,403
189903,898,220
189904,362,33
189905,67,-49
189906,12,-2
189907,5,3
189908,1,-5
189909,58,6
189910,159,-99
189911,516,-142
189912,1085,69
190001,954,-165
190002,1070,200
190003,732,54
190004,286,-43
190005,90,-26
190006,10,-4
190007,3,1
190008,0,-6
190009,34,-18
190010,177,-81
190011,720,62
190012,956,-60
190101,1035,-84
190102,1054,184
190103,727,49
190104,383,54
190105,128,12
190106,2,-12
190107,0,-2
190108,1,-5
190109,53,1
190110,205,-53
190111,642,-16
190112,1101,85
190201,1111,-8
190202,1117,247
190203,628,-50
190204,341,12
190205,54,-62
190206,27,13
190207,4,2
190208,5,-1
190209,126,74
190210,230,-28
190211,571,-87
190212,1164,148
190301,1060,-59
190302,1050,180
190303,685,7
190304,327,-2
190305,143,27
190306,66,52
190307,1,-1
190308,10,4
190309,78,26
190310,279,21
190311,731,73
190312,1021,5
190401,1149,30
190402,929,59
190403,606,-72
190404,457,128
190405,143,27
190406,27,13
190407,7,5
190408,14,8
190409,40,-12
190410,233,-25
190411,598,-60
190412,1078,62
190501,1392,273
190502,1244,374
190503,479,-199
190504,363,34
190505,122,6
190506,5,-9
190507,9,7
190508,3,-3
190509,32,-20
190510,368,110
190511,606,-52
190512,1038,22
190601,980,-139
190602,834,-36
190603,1008,330
190604,231,-98
190605,93,-23
190606,19,5
190607,12,10
190608,8,2
190609,38,-14
190610,342,84
190611,753,95
190612,900,-116
190701,1074,-45
190702,866,-4
190703,432,-246
190704,510,181
190705,232,116
190706,21,7
190707,0,-2
190708,4,-2
190709,46,-6
190710,283,25
190711,698,40
190712,953,-63
190801,958,-161
190802,820,-50
190803,556,-122
190804,302,-27
190805,119,3
190806,20,6
190807,6,4
190808,7,1
190809,41,-11
190810,331,73
190811,636,-22
190812,912,-104
190901,1118,-1
190902,799,-71
190903,731,53
190904,374,45
190905,145,29
190906,13,-1
190907,3,1
190908,0,-6
190909,42,-10
190910,282,24
190911,494,-164
190912,1328,312
191001,1109,-10
191002,1008,138
191003,338,-340
191004,268,-61
191005,196,80
191006,21,7
191007,1,-1
191008,8,2
191009,43,-9
191010,211,-47
191011,650,-8
191012,1042,26
191101,1007,-112
191102,823,-47
191103,585,-93
191104,350,21
191105,73,-43
191106,0,-14
191107,0,-2
191108,7,1
191109,14,-38
191110,324,66
191111,807,149
191112,1045,29
191201,1463,344
191202,996,126
191203,1042,364
191204,332,3
191205,69,-47
191206,37,23
191207,0,-2
191208,4,-2
191209,82,30
191210,246,-12
191211,612,-46
191212,962,-54
191301,1132,13
191302,1097,227
191303,815,137
191304,270,-59
191305,76,-40
191306,9,-5
191307,0,-2
191308,0,-6
191309,58,6
191310,358,100
191311,480,-178
191312,955,-61
191401,893,-226
191402,1010,140
191403,672,-6
191404,335,6
191405,107,-9
191406,0,-14
191407,0,-2
191408,3,-3
191409,27,-25
191410,246,-12
191411,523,-135
191412,1305,289
191501,1151,32
191502,773,-97
191503,1002,324
191504,212,-117
191505,174,58
191506,37,23
191507,10,8
191508,42,36
191509,46,-6
191510,236,-22
191511,520,-138
191512,962,-54
191601,1254,135
191602,959,89
191603,581,-97
191604,428,99
191605,109,-7
191606,29,15
191607,0,-2
191608,0,-6
191609,62,10
191610,266,8
191611,642,-16
191612,1160,144
191701,1062,-57
191702,963,93
191703,664,-14
191704,396,67
191705,256,140
191706,17,3
191707,0,-2
191708,18,12
191709,57,5
191710,468,210
191711,563,-95
191712,1265,249
191801,1475,356
191802,860,-10
191803,513,-165
191804,485,156
191805,60,-56
191806,1,-13
191807,1,-1
191808,0,-6
191809,127,75
191810,196,-62
191811,679,21
191812,927,-89
191901,1088,-31
191902,892,22
191903,657,-21
191904,359,30
191905,153,37
191906,16,2
191907,0,-2
191908,4,-2
191909,23,-29
191910,319,61
191911,763,105
191912,1212,196
192001,1105,-14
192002,841,-29
192003,625,-53
192004,482,153
192005,123,7
192006,14,0
192007,4,2
192008,21,15
192009,45,-7
192010,190,-68
192011,778,120
192012,965,-51
192101,909,-210
192102,713,-157
192103,481,-197
192104,318,-11
192105,86,-30
192106,9,-5
192107,0,-2
192108,3,-3
192109,16,-36
192110,208,-50
192111,660,2
192112,963,-53
192201,1158,39
192202,876,6
192203,685,7
192204,315,-14
192205,103,-13
192206,8,-6
192207,5,3
192208,1,-5
192209,22,-30
192210,221,-37
192211,591,-67
192212,978,-38
192301,846,-273
192302,960,90
192303,761,83
192304,339,10
192305,156,40
192306,13,-1
192307,0,-2
192308,3,-3
192309,40,-12
192310,409,151
192311,627,-31
192312,898,-118
192401,1249,130
192402,847,-23
192403,905,227
192404,314,-15
192405,228,112
192406,10,-4
192407,8,6
192408,3,-3
192409,99,47
192410,178,-80
192411,591,-67
192412,1254,238
192501,1246,127
192502,726,-144
192503,548,-130
192504,191,-138
192505,146,30
192506,1,-13
192507,0,-2
192508,4,-2
192509,19,-33
192510,545,287
192511,698,40
192512,1037,21
192601,1046,-73
192602,699,-171
192603,762,84
192604,482,153
192605,76,-40
192606,16,2
192607,0,-2
192608,0,-6
192609,49,-3
192610,248,-10
192611,766,108
192612,1042,26
192701,1072,-47
192702,743,-127
192703,683,5
192704,261,-68
192705,101,-15
192706,23,9
192707,4,2
192708,30,24
192709,42,-10
192710,189,-69
192711,625,-33
192712,1168,152
192801,996,-123
192802,797,-73
192803,585,-93
192804,417,88
192805,96,-20
192806,51,37
192807,3,1
192808,5,-1
192809,72,20
192810,210,-48
192811,668,10
192812,923,-93
192901,1304,185
192902,1133,263
192903,580,-98
192904,270,-59
192905,169,53
192906,17,3
192907,0,-2
192908,3,-3
192909,67,15
192910,258,0
192911,873,215
192912,984,-32
193001,1505,386
193002,539,-331
193003,711,33
193004,207,-122
193005,131,15
193006,16,2
193007,0,-2
193008,0,-6
193009,28,-24
193010,331,73
193011,600,-58
193012,1002,-14
193101,922,-197
193102,677,-193
193103,818,140
193104,366,37
193105,179,63
193106,1,-13
193107,0,-2
193108,10,4
193109,4,-48
193110,162,-96
193111,539,-119
193112,804,-212
193201,1121,2
193202,679,-191
193203,898,220
193204,250,-79
193205,95,-21
193206,11,-3
193207,0,-2
193208,3,-3
193209,59,7
193210,321,63
193211,776,118
193212,1152,136
193301,812,-307
193302,959,89
193303,621,-57
193304,326,-3
193305,101,-15
193306,0,-14
193307,0,-2
193308,7,1
193309,15,-37
193310,271,13
193311,557,-101
193312,829,-187
193401,942,-177
193402,839,-31
193403,690,12
193404,271,-58
193405,51,-65
193406,0,-14
193407,0,-2
193408,0,-6
193409,90,38
193410,158,-100
193411,551,-107
193412,1037,21
193501,1000,-119
193502,764,-106
193503,468,-210
193504,406,77
193505,203,87
193506,28,14
193507,0,-2
193508,0,-6
193509,55,3
193510,311,53
193511,764,106
193512,1028,12
193601,1280,161
