Kentucky, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1146,163
189502,1146,337
189503,690,64
189504,276,-33
189505,127,12
189506,0,-9
189507,0,0
189508,0,-2
189509,14,-31
189510,457,185
189511,621,25
189512,871,-27
189601,971,-12
189602,822,13
189603,821,195
189604,137,-172
189605,33,-82
189606,8,-1
189607,0,0
189608,0,-2
189609,56,11
189610,357,85
189611,511,-85
189612,841,-57
189701,1095,112
189702,753,-56
189703,546,-80
189704,329,20
189705,181,66
189706,5,-4
189707,0,0
189708,2,0
189709,24,-21
189710,159,-113
189711,561,-35
189712,874,-24
189801,833,-150
189802,804,-5
189803,501,-125
189804,421,112
189805,74,-41
189806,0,-9
189807,0,0
189808,0,-2
189809,15,-30
189810,289,17
189811,702,106
189812,1008,110
189901,1007,24
189902,1121,312
189903,695,69
189904,276,-33
189905,62,-53
189906,0,-9
189907,0,0
189908,0,-2
189909,48,3
189910,194,-78
189911,508,-88
189912,983,85
190001,920,-63
190002,951,142
190003,745,119
190004,305,-4
190005,92,-23
190006,3,-6
190007,0,0
190008,0,-2
190009,9,-36
190010,135,-137
190011,591,-5
190012,873,-25
190101,941,-42
190102,956,147
190103,610,-16
190104,452,143
190105,129,14
190106,1,-8
190107,0,0
190108,0,-2
190109,54,9
190110,282,10
190111,757,161
190112,1056,158
190201,1026,43
190202,1080,271
190203,603,-23
190204,369,60
190205,48,-67
190206,6,-3
190207,0,0
190208,2,0
190209,65,20
190210,223,-49
190211,393,-203
190212,925,27
190301,1007,24
190302,812,3
190303,446,-180
190304,334,25
190305,62,-53
190306,33,24
190307,0,0
190308,0,-2
190309,42,-3
190310,287,15
190311,731,135
190312,1121,223
190401,1081,98
190402,900,91
190403,601,-25
190404,470,161
190405,114,-1
190406,7,-2
190407,0,0
190408,0,-2
190409,27,-18
190410,285,13
190411,654,58
190412,943,45
190501,1205,222
190502,1089,280
190503,477,-149
190504,299,-10
190505,68,-47
190506,2,-7
190507,0,0
190508,0,-2
190509,34,-11
190510,294,22
190511,612,16
190512,907,9
190601,842,-141
190602,890,81
190603,855,229
190604,238,-71
190605,97,-18
190606,3,-6
190607,0,0
190608,0,-2
190609,14,-31
190610,298,26
190611,615,19
190612,844,-54
190701,736,-247
190702,864,55
190703,391,-235
190704,535,226
190705,176,61
190706,22,13
190707,0,0
190708,2,0
190709,40,-5
190710,349,77
190711,681,85
190712,868,-30
190801,988,5
190802,865,56
190803,479,-147
190804,268,-41
190805,86,-29
190806,7,-2
190807,0,0
190808,0,-2
190809,22,-23
190810,294,22
190811,547,-49
190812,818,-80
190901,870,-113
190902,677,-132
190903,671,45
190904,310,1
190905,130,15
190906,3,-6
190907,0,0
190908,0,-2
190909,58,13
190910,365,93
190911,368,-228
190912,1126,228
191001,1011,28
191002,931,122
191003,389,-237
191004,314,5
191005,184,69
191006,22,13
191007,0,0
191008,5,3
191009,22,-23
191010,207,-65
191011,755,159
191012,1093,195
191101,831,-152
191102,671,-138
191103,632,6
191104,375,66
191105,49,-66
191106,1,-8
191107,0,0
191108,0,-2
191109,10,-35
191110,223,-49
191111,739,143
191112,765,-133
191201,1259,276
191202,1026,217
191203,783,157
191204,237,-72
191205,86,-29
191206,18,9
191207,0,0
191208,3,1
191209,23,-22
191210,242,-30
191211,635,39
191212,908,10
191301,756,-227
191302,883,74
191303,626,0
191304,329,20
191305,97,-18
191306,3,-6
191307,0,0
191308,0,-2
191309,37,-8
191310,295,23
191311,496,-100
191312,823,-75
191401,846,-137
191402,964,155
191403,759,133
191404,306,-3
191405,91,-24
191406,0,-9
191407,0,0
191408,0,-2
191409,57,12
191410,223,-49
191411,595,-1
191412,1041,143
191501,1050,67
191502,682,-127
191503,880,254
191504,204,-105
191505,110,-5
191506,12,3
191507,0,0
191508,11,9
191509,25,-20
191510,209,-63
191511,499,-97
191512,916,18
191601,792,-191
191602,874,65
191603,713,87
191604,360,51
191605,76,-39
191606,22,13
191607,0,0
191608,0,-2
191609,68,23
191610,291,19
191611,564,-32
191612,966,68
191701,936,-47
191702,883,74
191703,647,21
191704,319,10
191705,242,127
191706,16,7
191707,0,0
191708,0,-2
191709,62,17
191710,470,198
191711,668,72
191712,1227,329
191801,1419,436
191802,761,-48
191803,478,-148
191804,366,57
191805,53,-62
191806,6,-3
191807,3,3
191808,0,-2
191809,139,94
191810,174,-98
191811,621,25
191812,676,-222
191901,900,-83
191902,786,-23
191903,592,-34
191904,298,-11
191905,135,20
191906,0,-9
191907,0,0
191908,1,-1
191909,26,-19
191910,109,-163
191911,578,-18
191912,999,101
192001,1044,61
192002,867,58
192003,628,2
192004,390,81
192005,131,16
192006,12,3
192007,0,0
192008,6,4
192009,29,-16
192010,202,-70
192011,658,62
192012,866,-32
192101,844,-139
192102,704,-105
192103,342,-284
192104,250,-59
192105,106,-9
192106,0,-9
192107,0,0
192108,0,-2
192109,8,-37
192110,308,36
192111,512,-84
192112,784,-114
192201,1003,20
192202,707,-102
192203,547,-79
192204,227,-82
192205,70,-45
192206,1,-8
192207,0,0
192208,1,-1
192209,18,-27
192210,230,-42
192211,554,-42
192212,774,-124
192301,806,-177
192302,894,85
192303,652,26
192304,348,39
192305,133,18
192306,5,-4
192307,0,0
192308,0,-2
192309,37,-8
192310,319,47
192311,608,12
192312,628,-270
192401,1094,111
192402,854,45
192403,775,149
192404,279,-30
192405,217,102
192406,4,-5
192407,3,3
192408,0,-2
192409,98,53
192410,209,-63
192411,575,-21
192412,953,55
192501,964,-19
192502,619,-190
192503,552,-74
192504,186,-123
192505,192,77
192506,0,-9
192507,0,0
192508,0,-2
192509,3,-42
192510,430,158
192511,655,59
192512,986,88
192601,1007,24
192602,722,-87
192603,828,202
192604,447,138
192605,99,-16
192606,21,12
192607,0,0
192608,0,-2
192609,15,-30
192610,242,-30
192611,720,124
192612,896,-2
192701,968,-15
192702,590,-219
192703,577,-49
192704,248,-61
192705,104,-11
192706,24,15
192707,0,0
192708,18,16
192709,20,-25
192710,206,-66
192711,463,-133
192712,915,17
192801,993,10
192802,806,-3
192803,667,41
192804,411,102
192805,148,33
192806,27,18
192807,0,0
192808,0,-2
192809,98,53
192810,194,-78
192811,595,-1
192812,847,-51
192901,997,14
