Maine, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1517,36
189502,1402,106
189503,1245,131
189504,747,11
189505,344,-67
189506,85,-55
189507,73,31
189508,96,19
189509,227,-24
189510,727,154
189511,891,-6
189512,1260,-64
189601,1576,95
189602,1326,30
189603,1257,143
189604,734,-2
189605,400,-11
189606,157,17
189607,43,1
189608,95,18
189609,310,59
189610,668,95
189611,911,14
189612,1432,108
189701,1487,6
189702,1267,-29
189703,1177,63
189704,731,-5
189705,438,27
189706,267,127
189707,43,1
189708,98,21
189709,293,42
189710,574,1
189711,973,76
189712,1329,5
189801,1596,115
189802,1182,-114
189803,993,-121
189804,806,70
189805,419,8
189806,162,22
189807,46,4
189808,53,-24
189809,213,-38
189810,575,2
189811,892,-5
189812,1394,70
189901,1523,42
189902,1383,87
189903,1245,131
189904,719,-17
189905,430,19
189906,125,-15
189907,57,15
189908,87,10
189909,310,59
189910,549,-24
189911,973,76
189912,1213,-111
190001,1478,-3
190002,1306,10
190003,1248,134
190004,713,-23
190005,539,128
190006,108,-32
190007,42,0
190008,65,-12
190009,216,-35
190010,475,-98
190011,893,-4
190012,1422,98
190101,1560,79
190102,1434,138
190103,1182,68
190104,686,-50
190105,430,19
190106,112,-28
190107,32,-10
190108,70,-7
190109,216,-35
190110,592,19
190111,1090,193
190112,1319,-5
190201,1513,32
190202,1252,-44
190203,917,-197
190204,703,-33
190205,466,55
190206,244,104
190207,96,54
190208,127,50
190209,251,0
190210,605,32
190211,851,-46
190212,1477,153
190301,1508,27
190302,1262,-34
190303,912,-202
190304,725,-11
190305,387,-24
190306,254,114
190307,95,53
190308,200,123
190309,220,-31
190310,602,29
190311,996,99
190312,1461,137
190401,1727,246
190402,1515,219
190403,1188,74
190404,808,72
190405,309,-102
190406,189,49
190407,46,4
190408,124,47
190409,346,95
190410,662,89
190411,1072,175
190412,1647,323
190501,1658,177
190502,1462,166
190503,1197,83
190504,756,20
190505,451,40
190506,217,77
190507,45,3
190508,125,48
190509,306,55
190510,623,50
190511,970,73
190512,1303,-21
190601,1293,-188
190602,1278,-18
190603,1323,209
190604,807,71
190605,492,81
190606,170,30
190607,51,9
190608,49,-28
190609,243,-8
190610,585,12
190611,950,53
190612,1507,183
190701,1636,155
190702,1506,210
190703,1209,95
190704,844,108
190705,576,165
190706,189,49
190707,65,23
190708,119,42
190709,262,11
190710,699,126
190711,938,41
190712,1199,-125
190801,1397,-84
190802,1383,87
190803,1165,51
190804,819,83
190805,388,-23
190806,101,-39
190807,24,-18
190808,109,32
190809,167,-84
190810,506,-67
190811,932,35
190812,1430,106
190901,1487,6
190902,1298,2
190903,1177,63
190904,809,73
190905,478,67
190906,134,-6
190907,87,45
190908,100,23
190909,254,3
190910,565,-8
190911,842,-55
190912,1328,4
191001,1350,-131
191002,1328,32
191003,986,-128
191004,617,-119
191005,447,36
191006,194,54
191007,34,-8
191008,106,29
191009,278,27
191010,581,8
191011,937,40
191012,1482,158
191101,1486,5
191102,1446,150
191103,1273,159
191104,799,63
191105,262,-149
191106,156,16
191107,13,-29
191108,92,15
191109,319,68
191110,623,50
191111,963,66
191112,1167,-157
191201,1738,257
191202,1353,57
191203,1229,115
191204,780,44
191205,405,-6
191206,209,69
191207,48,6
191208,171,94
191209,308,57
191210,545,-28
191211,881,-16
191212,1220,-104
191301,1227,-254
191302,1404,108
191303,1046,-68
191304,694,-42
191305,524,113
191306,187,47
191307,41,-1
191308,97,20
191309,303,52
191310,412,-161
191311,834,-63
191312,1217,-107
191401,1600,119
191402,1531,235
191403,1133,19
191404,856,120
191405,360,-51
191406,204,64
191407,88,46
191408,100,23
191409,233,-18
191410,510,-63
191411,1011,114
191412,1420,96
191501,1406,-75
191502,1154,-142
191503,1137,23
191504,669,-67
191505,467,56
191506,177,37
191507,71,29
191508,101,24
191509,189,-62
191510,541,-32
191511,876,-21
191512,1239,-85
191601,1400,-81
191602,1383,87
191603,1339,225
191604,735,-1
191605,426,15
191606,206,66
191607,32,-10
191608,54,-23
191609,236,-15
191610,558,-15
191611,1011,114
191612,1317,-7
191701,1502,21
191702,1455,159
191703,1157,43
191704,795,59
191705,622,211
191706,200,60
191707,29,-13
191708,55,-22
191709,333,82
191710,645,72
191711,1046,149
191712,1632,308
191801,1724,243
191802,1436,140
191803,1213,99
191804,721,-15
191805,294,-117
191806,243,103
191807,44,2
191808,84,7
191809,327,76
191810,564,-9
191811,886,-11
191812,1307,-17
191901,1402,-79
191902,1205,-91
191903,1023,-91
191904,764,28
191905,404,-7
191906,93,-47
191907,27,-15
191908,126,49
191909,294,43
191910,628,55
191911,936,39
191912,1512,188
192001,1767,286
192002,1366,70
192003,1113,-1
192004,812,76
192005,453,42
192006,140,0
192007,48,6
192008,36,-41
192009,224,-27
192010,429,-144
192011,1023,126
192012,1261,-63
192101,1416,-65
192102,1267,-29
192103,931,-183
192104,612,-124
192105,360,-51
192106,129,-11
192107,10,-32
192108,106,29
192109,180,-71
192110,573,0
192111,1058,161
192112,1402,78
192201,1608,127
192202,1340,44
192203,1062,-52
192204,711,-25
192205,359,-52
192206,104,-36
192207,47,5
192208,67,-10
192209,242,-9
192210,609,36
192211,930,33
192212,1490,166
192301,1631,150
192302,1562,266
192303,1385,271
192304,839,103
192305,446,35
192306,133,-7
192307,84,42
192308,144,67
192309,235,-16
192310,556,-17
192311,876,-21
192312,1106,-218
192401,1475,-6
192402,1452,156
192403,1074,-40
192404,803,67
192405,495,84
192406,196,56
192407,38,-4
192408,79,2
192409,293,42
192410,554,-19
192411,889,-8
192412,1476,152
192501,1726,245
192502,1121,-175
192503,1022,-92
192504,712,-24
192505,498,87
192506,117,-23
192507,66,24
192508,78,1
192509,303,52
192510,806,233
192511,945,48
192512,1355,31
192601,1521,40
192602,1371,75
192603,1350,236
192604,926,190
192605,515,104
192606,216,76
192607,66,24
192608,101,24
192609,290,39
192610,623,50
192611,902,5
192612,1467,143
192701,1408,-73
192702,1315,19
192703,1048,-66
192704,729,-7
192705,537,126
192706,231,91
192707,45,3
192708,139,62
192709,239,-12
192710,503,-70
192711,796,-101
192712,1232,-92
192801,1436,-45
192802,1333,37
192803,1186,72
192804,807,71
192805,468,57
192806,209,69
192807,36,-6
192808,48,-29
192809,347,96
192810,589,16
192811,944,47
192812,1173,-151
192901,1487,6
192902,1305,9
192903,1073,-41
192904,775,39
192905,398,-13
192906,132,-8
192907,54,12
192908,119,42
192909,225,-26
192910,611,38
192911,930,33
192912,1424,100
193001,1485,4
193002,1288,-8
193003,1122,8
193004,782,46
193005,379,-32
193006,44,-96
193007,49,7
193008,99,22
193009,170,-81
193010,551,-22
193011,858,-39
193012,1314,-10
193101,1494,13
193102,1249,-47
193103,992,-122
193104,672,-64
193105,371,-40
193106,130,-10
193107,24,-18
193108,73,-4
193109,219,-32
193110,493,-80
193111,761,-136
193112,1245,-79
193201,1217,-264
193202,1350,54
193203,1202,88
193204,747,11
193205,382,-29
193206,141,1
193207,72,30
193208,43,-34
193209,204,-47
193210,502,-71
193211,954,57
193212,1202,-122
193301,1228,-253
193302,1158,-138
193303,1170,56
193304,742,6
193305,388,-23
193306,110,-30
193307,66,24
193308,78,1
193309,233,-18
193310,599,26
193311,1103,206
193312,1595,271
193401,1552,71
193402,1602,306
193403,1182,68
193404,693,-43
193405,342,-69
193406,146,6
193407,38,-4
193408,129,52
193409,159,-92
193410,668,95
193411,841,-56
193412,1463,139
193501,1664,183
193502,1375,79
193503,1158,44
193504,762,26
193505,478,67
193506,136,-4
193507,18,-24
193508,41,-36
193509,296,45
193510,577,4
193511,827,-70
193512,1447,123
193601,1492,11
193602,1436,140
193603,931,-183
193604,786,50
193605,380,-31
193606,115,-25
193607,77,35
193608,99,22
193609,262,11
193610,608,35
193611,1059,162
193612,1261,-63
193701,1242,-239
193702,1133,-163
193703,1213,99
193704,726,-10
193705,336,-75
193706,114,-26
193707,18,-24
193708,12,-65
193709,204,-47
193710,596,23
193711,896,-1
193712,1377,53
193801,1491,10
193802,1267,-29
193803,1148,34
193804,663,-73
193805,454,43
193806,75,-65
193807,35,-7
193808,30,-47
193809,297,46
193810,491,-82
193811,853,-44
193812,1248,-76
193901,1496,15
193902,1306,10
193903,1293,179
193904,856,120
193905,439,28
193906,153,13
193907,27,-15
193908,24,-53
193909,262,11
193910,588,15
193911,1002,105
193912,1307,-17
194001,1608,127
194002,1251,-45
194003,1201,87
194004,827,91
194005,396,-15
194006,171,31
194007,34,-8
194008,81,4
194009,257,6
194010,676,103
194011,916,19
194012,1370,46
194101,1543,62
194102,1195,-101
194103,1202,88
194104,602,-134
194105,372,-39
194106,93,-47
194107,26,-16
194108,110,33
194109,230,-21
194110,608,35
194111,858,-39
194112,1231,-93
194201,1498,17
194202,1311,15
194203,952,-162
194204,675,-61
194205,308,-103
194206,97,-43
194207,43,1
194208,69,-8
194209,210,-41
194210,514,-59
194211,922,25
194212,1445,121
194301,1585,104
194302,1223,-73
194303,1183,69
194304,853,117
194305,407,-4
194306,116,-24
194307,29,-13
194308,89,12
194309,284,33
194310,548,-25
194311,921,24
194312,1510,186
194401,1410,-71
194402,1329,33
194403,1193,79
194404,823,87
194405,293,-118
194406,141,1
194407,33,-9
194408,20,-57
194409,211,-40
194410,600,27
194411,860,-37
194412,1381,57
194501,1597,116
194502,1262,-34
194503,906,-208
194504,590,-146
194505,504,93
194506,165,25
194507,41,-1
194508,62,-15
194509,190,-61
194510,653,80
194511,906,9
194512,1421,97
194601,1513,32
194602,1388,92
194603,860,-254
194604,785,49
194605,417,6
194606,135,-5
194607,59,17
194608,99,22
194609,188,-63
194610,491,-82
194611,843,-54
194612,1326,2
194701,1471,-10
194702,1212,-84
194703,1072,-42
194704,809,73
194705,463,52
194706,190,50
194707,12,-30
194708,35,-42
194709,220,-31
194710,395,-178
194711,933,36
194712,1411,87
194801,1602,121
194802,1431,135
194803,1167,53
194804,759,23
194805,488,77
194806,212,72
194807,31,-11
194808,42,-35
194809,217,-34
194810,594,21
194811,743,-154
194812,1186,-138
194901,1314,-167
194902,1213,-83
194903,1085,-29
194904,637,-99
194905,372,-39
194906,72,-68
194907,15,-27
194908,37,-40
194909,267,16
194910,480,-93
194911,967,70
194912,1185,-139
195001,1325,-156
195002,1390,94
195003,1243,129
