Arizona, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,508,-23
189502,383,1
189503,275,-25
189504,117,-25
189505,30,-6
189506,6,3
189507,0,0
189508,0,0
189509,4,0
189510,62,-4
189511,337,50
189512,586,78
189601,390,-141
189602,327,-55
189603,232,-68
189604,168,26
189605,31,-5
189606,1,-2
189607,0,0
189608,0,0
189609,4,0
189610,65,-1
189611,291,4
189612,434,-74
189701,488,-43
189702,459,77
189703,428,128
189704,121,-21
189705,16,-20
189706,4,1
189707,0,0
189708,0,0
189709,3,-1
189710,100,34
189711,258,-29
189712,588,80
189801,676,145
189802,297,-85
189803,357,57
189804,75,-67
189805,47,11
189806,1,-2
189807,0,0
189808,0,0
189809,3,-1
189810,68,2
189811,331,44
189812,616,108
189901,571,40
189902,442,60
189903,300,0
189904,119,-23
189905,73,37
189906,2,-1
189907,0,0
189908,0,0
189909,1,-3
189910,97,31
189911,255,-32
189912,470,-38
190001,420,-111
190002,366,-16
190003,177,-123
190004,211,69
190005,24,-12
190006,1,-2
190007,0,0
190008,0,0
190009,9,5
190010,67,1
190011,236,-51
190012,485,-23
190101,515,-16
190102,383,1
190103,328,28
190104,183,41
190105,34,-2
190106,3,0
190107,0,0
190108,0,0
190109,4,0
190110,59,-7
190111,214,-73
190112,535,27
190201,523,-8
190202,379,-3
190203,393,93
190204,104,-38
190205,35,-1
190206,1,-2
190207,0,0
190208,0,0
190209,4,0
190210,48,-18
190211,322,35
190212,530,22
190301,530,-1
190302,548,166
190303,324,24
190304,161,19
190305,44,8
190306,3,0
190307,0,0
190308,0,0
190309,6,2
190310,68,2
190311,234,-53
190312,529,21
190401,636,105
190402,294,-88
190403,207,-93
190404,122,-20
190405,29,-7
190406,3,0
190407,0,0
190408,0,0
190409,5,1
190410,78,12
190411,277,-10
190412,518,10
190501,465,-66
190502,383,1
190503,290,-10
190504,179,37
190505,74,38
190506,4,1
190507,0,0
190508,0,0
190509,3,-1
190510,67,1
190511,293,6
190512,611,103
190601,581,50
190602,330,-52
190603,293,-7
190604,170,28
190605,42,6
190606,5,2
190607,0,0
190608,1,1
190609,7,3
190610,75,9
190611,325,38
190612,433,-75
190701,508,-23
190702,280,-102
190703,271,-29
190704,113,-29
190705,64,28
190706,8,5
190707,0,0
190708,0,0
190709,5,1
190710,64,-2
190711,285,-2
190712,478,-30
190801,481,-50
190802,398,16
190803,243,-57
190804,124,-18
190805,65,29
190806,5,2
190807,0,0
190808,0,0
190809,6,2
190810,125,59
190811,249,-38
190812,487,-21
190901,412,-119
190902,420,38
190903,391,91
190904,144,2
190905,54,18
190906,2,-1
190907,0,0
190908,0,0
190909,7,3
190910,64,-2
190911,279,-8
190912,637,129
191001,536,5
191002,421,39
191003,162,-138
191004,97,-45
191005,15,-21
191006,2,-1
191007,0,0
191008,0,0
191009,2,-2
191010,56,-10
191011,250,-37
191012,425,-83
191101,404,-127
191102,423,41
191103,218,-82
191104,141,-1
191105,41,5
191106,4,1
191107,0,0
191108,0,0
191109,3,-1
191110,85,19
191111,350,63
191112,703,195
191201,498,-33
191202,396,14
191203,332,32
191204,222,80
191205,44,8
191206,3,0
191207,0,0
191208,0,0
191209,12,8
191210,107,41
191211,294,7
191212,638,130
191301,677,146
191302,447,65
191303,397,97
191304,147,5
191305,39,3
191306,5,2
191307,0,0
191308,0,0
191309,7,3
191310,87,21
191311,229,-58
191312,565,57
191401,443,-88
191402,394,12
191403,224,-76
191404,113,-29
191405,29,-7
191406,3,0
191407,0,0
191408,0,0
191409,3,-1
191410,66,0
191411,187,-100
191412,587,79
191501,599,68
191502,424,42
191503,346,46
191504,153,11
191505,77,41
191506,4,1
