Minnesota, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1977,219
189502,1623,181
189503,1245,57
189504,507,-172
189505,305,-31
189506,104,-1
189507,56,22
189508,70,9
189509,178,-62
189510,775,184
189511,1151,76
189512,1516,-50
189601,1685,-73
189602,1366,-76
189603,1375,187
189604,656,-23
189605,209,-127
189606,83,-22
189607,42,8
189608,64,3
189609,344,104
189610,752,161
189611,1432,357
189612,1457,-109
189701,1880,122
189702,1421,-21
189703,1396,208
189704,678,-1
189705,373,37
189706,155,50
189707,15,-19
189708,104,43
189709,114,-126
189710,528,-63
189711,1227,152
189712,1720,154
189801,1522,-236
189802,1404,-38
189803,1103,-85
189804,694,15
189805,355,19
189806,96,-9
189807,35,1
189808,79,18
189809,195,-45
189810,743,152
189811,1194,119
189812,1740,174
189901,1822,64
189902,1770,328
189903,1625,437
189904,668,-11
189905,368,32
189906,98,-7
189907,30,-4
189908,49,-12
189909,305,65
189910,562,-29
189911,835,-240
189912,1540,-26
190001,1519,-239
190002,1693,251
190003,1335,147
190004,495,-184
190005,251,-85
190006,85,-20
190007,51,17
190008,12,-49
190009,230,-10
190010,361,-230
190011,1229,154
190012,1507,-59
190101,1719,-39
190102,1610,168
190103,1239,51
190104,595,-84
190105,286,-50
190106,98,-7
190107,11,-23
190108,42,-19
190109,281,41
190110,551,-40
190111,1152,77
190112,1671,105
190201,1612,-146
190202,1450,8
190203,1015,-173
190204,719,40
190205,281,-55
190206,172,67
190207,32,-2
190208,101,40
190209,343,103
190210,624,33
190211,990,-85
190212,1684,118
190301,1743,-15
190302,1567,125
190303,1124,-64
190304,685,6
190305,311,-25
190306,149,44
190307,64,30
190308,137,76
190309,325,85
190310,595,4
190311,1187,112
190312,1805,239
190401,1946,188
190402,1810,368
190403,1290,102
190404,826,147
190405,356,20
190406,142,37
190407,82,48
190408,110,49
190409,294,54
190410,608,17
190411,908,-167
190412,1570,4
190501,1950,192
190502,1615,173
190503,1031,-157
190504,731,52
190505,436,100
190506,142,37
190507,60,26
190508,49,-12
190509,171,-69
190510,707,116
190511,1020,-55
190512,1468,-98
190601,1558,-200
190602,1508,66
190603,1432,244
190604,550,-129
190605,395,59
190606,122,17
190607,50,16
190608,50,-11
190609,137,-103
190610,643,52
190611,1076,1
190612,1587,21
190701,1955,197
190702,1451,9
190703,1190,2
190704,943,264
190705,633,297
190706,127,22
190707,49,15
190708,82,21
190709,297,57
190710,655,64
190711,1047,-28
190712,1421,-145
190801,1567,-191
190802,1340,-102
190803,1215,27
190804,627,-52
190805,382,46
190806,138,33
190807,33,-1
190808,90,29
190809,120,-120
190810,591,0
190811,979,-96
190812,1525,-41
190901,1720,-38
190902,1463,21
190903,1237,49
190904,904,225
190905,416,80
190906,99,-6
190907,38,4
190908,26,-35
190909,241,1
190910,667,76
190911,964,-111
190912,1741,175
191001,1706,-52
191002,1636,194
191003,770,-418
191004,529,-150
191005,448,112
191006,59,-46
191007,26,-8
191008,83,22
191009,237,-3
191010,484,-107
191011,1222,147
191012,1612,46
191101,1869,111
191102,1357,-85
191103,1018,-170
191104,690,11
191105,232,-104
191106,40,-65
191107,44,10
191108,108,47
191109,277,37
191110,711,120
191111,1372,297
191112,1434,-132
191201,2269,511
191202,1556,114
191203,1421,233
191204,611,-68
191205,330,-6
191206,148,43
191207,41,7
191208,120,59
191209,254,14
191210,573,-18
191211,976,-99
191212,1428,-138
191301,1794,36
191302,1594,152
191303,1379,191
191304,586,-93
191305,414,78
191306,66,-39
191307,56,22
