Mississippi, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,689,72
189502,763,296
189503,316,-1
189504,86,-17
189505,17,3
189506,0,0
189507,0,0
189508,0,0
189509,0,-4
189510,193,89
189511,365,27
189512,585,26
189601,655,38
189602,473,6
189603,372,55
189604,31,-72
189605,0,-14
189606,0,0
189607,0,0
189608,0,0
189609,4,0
189610,121,17
189611,255,-83
189612,548,-11
189701,714,97
189702,397,-70
189703,190,-127
189704,103,0
189705,22,8
189706,0,0
189707,0,0
189708,0,0
189709,0,-4
189710,48,-56
189711,306,-32
189712,548,-11
189801,485,-132
189802,471,4
189803,230,-87
189804,172,69
189805,4,-10
189806,0,0
189807,0,0
189808,0,0
189809,0,-4
189810,162,58
189811,448,110
189812,687,128
189901,635,18
189902,752,285
189903,300,-17
189904,118,15
189905,1,-13
189906,0,0
189907,0,0
189908,0,0
189909,6,2
189910,59,-45
189911,278,-60
189912,610,51
190001,635,18
190002,556,89
190003,363,46
190004,86,-17
190005,9,-5
190006,0,0
190007,0,0
190008,0,0
190009,0,-4
190010,50,-54
190011,307,-31
190012,548,-11
190101,565,-52
190102,572,105
190103,344,27
190104,182,79
190105,18,4
190106,0,0
190107,0,0
190108,0,0
190109,7,3
190110,113,9
190111,432,94
190112,688,129
190201,672,55
190202,659,192
190203,283,-34
190204,97,-6
190205,0,-14
190206,0,0
190207,0,0
190208,0,0
190209,7,3
190210,108,4
190211,204,-134
190212,587,28
190301,647,30
190302,477,10
190303,226,-91
190304,113,10
190305,13,-1
190306,2,2
190307,0,0
190308,0,0
190309,5,1
190310,109,5
190311,415,77
190312,705,146
190401,706,89
190402,404,-63
190403,220,-97
190404,149,46
190405,17,3
190406,0,0
190407,0,0
190408,0,0
190409,0,-4
190410,86,-18
190411,376,38
190412,575,16
190501,786,169
190502,727,260
190503,208,-109
190504,88,-15
190505,3,-11
190506,0,0
190507,0,0
190508,0,0
190509,1,-3
190510,105,1
190511,272,-66
190512,692,133
190601,589,-28
190602,554,87
190603,433,116
190604,71,-32
190605,15,1
190606,0,0
190607,0,0
190608,0,0
190609,0,-4
190610,157,53
190611,283,-55
190612,438,-121
190701,358,-259
190702,421,-46
190703,119,-198
190704,194,91
190705,37,23
190706,0,0
190707,0,0
190708,0,0
190709,1,-3
190710,104,0
190711,414,76
190712,553,-6
190801,622,5
190802,516,49
190803,155,-162
190804,37,-66
190805,7,-7
190806,0,0
190807,0,0
190808,0,0
190809,2,-2
190810,174,70
190811,248,-90
190812,456,-103
190901,498,-119
190902,417,-50
190903,279,-38
190904,95,-8
190905,24,10
190906,0,0
190907,0,0
190908,0,0
190909,2,-2
190910,100,-4
190911,172,-166
190912,743,184
191001,586,-31
191002,567,100
191003,174,-143
191004,118,15
191005,25,11
191006,0,0
191007,0,0
191008,0,0
191009,0,-4
191010,76,-28
191011,372,34
191012,631,72
191101,433,-184
191102,288,-179
191103,230,-87
191104,82,-21
191105,5,-9
191106,0,0
191107,0,0
191108,0,0
191109,0,-4
191110,56,-48
191111,438,100
191112,497,-62
191201,765,148
191202,626,159
191203,414,97
191204,75,-28
191205,8,-6
191206,0,0
191207,0,0
191208,0,0
191209,0,-4
191210,71,-33
191211,417,79
191212,575,16
191301,444,-173
191302,521,54
191303,336,19
191304,122,19
191305,13,-1
191306,0,0
191307,0,0
191308,0,0
191309,3,-1
191310,146,42
191311,234,-104
191312,547,-12
191401,528,-89
191402,544,77
191403,433,116
191404,97,-6
191405,11,-3
191406,0,0
