Montana, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1605,170
189502,1319,139
189503,1128,35
189504,657,-102
189505,528,18
189506,373,90
189507,157,43
189508,162,21
189509,471,88
189510,691,-13
189511,1106,41
189512,1373,36
189601,1411,-24
189602,1021,-159
189603,1227,134
189604,841,82
189605,626,116
189606,225,-58
189607,89,-25
189608,162,21
189609,489,106
189610,705,1
189611,1458,393
189612,1057,-280
189701,1433,-2
189702,1234,54
189703,1416,323
189704,698,-61
189705,303,-207
189706,286,3
189707,176,62
189708,93,-48
189709,325,-58
189710,714,10
189711,1217,152
189712,1370,33
189801,1418,-17
189802,1044,-136
189803,1327,234
189804,715,-44
189805,533,23
189806,283,0
189807,133,19
189808,86,-55
189809,385,2
189810,860,156
189811,1170,105
189812,1413,76
189901,1413,-22
189902,1559,379
189903,1363,270
189904,841,82
189905,639,129
189906,332,49
189907,103,-11
189908,233,92
189909,311,-72
189910,796,92
189911,857,-208
189912,1332,-5
190001,1195,-240
190002,1285,105
190003,979,-114
190004,648,-111
190005,405,-105
190006,155,-128
190007,133,19
190008,205,64
190009,428,45
190010,710,6
190011,1154,89
190012,1121,-216
190101,1398,-37
190102,1307,127
190103,1055,-38
190104,777,18
190105,363,-147
190106,428,145
190107,78,-36
190108,96,-45
190109,517,134
190110,584,-120
190111,924,-141
190112,1276,-61
190201,1424,-11
190202,1139,-41
190203,1118,25
190204,810,51
190205,464,-46
190206,357,74
190207,195,81
190208,176,35
190209,445,62
190210,656,-48
190211,1104,39
190212,1397,60
190301,1284,-151
190302,1355,175
190303,1216,123
190304,819,60
190305,601,91
190306,222,-61
190307,207,93
190308,170,29
190309,464,81
190310,632,-72
190311,1144,79
190312,1212,-125
190401,1304,-131
190402,1345,165
190403,1271,178
190404,701,-58
190405,516,6
190406,309,26
190407,134,20
190408,139,-2
190409,346,-37
190410,626,-78
190411,828,-237
190412,1214,-123
190501,1451,16
190502,1359,179
190503,900,-193
190504,740,-19
190505,600,90
190506,355,72
190507,117,3
190508,110,-31
190509,308,-75
190510,856,152
190511,1023,-42
190512,1295,-42
190601,1276,-159
190602,1086,-94
190603,1305,212
190604,645,-114
190605,546,36
190606,355,72
190607,84,-30
190608,155,14
190609,317,-66
190610,657,-47
190611,1115,50
190612,1267,-70
190701,1813,378
190702,1117,-63
190703,1068,-25
190704,863,104
190705,623,113
190706,371,88
190707,174,60
190708,233,92
190709,413,30
190710,585,-119
190711,961,-104
190712,1245,-92
190801,1292,-143
190802,1161,-19
190803,1130,37
190804,680,-79
190805,580,70
190806,371,88
190807,93,-21
190808,193,52
190809,328,-55
190810,786,82
190811,986,-79
190812,1326,-11
190901,1599,164
190902,1172,-8
190903,1090,-3
190904,949,190
190905,613,103
190906,274,-9
190907,148,34
190908,139,-2
190909,342,-41
190910,705,1
190911,1013,-52
190912,1597,260
191001,1440,5
191002,1421,241
191003,775,-318
191004,544,-215
191005,467,-43
191006,235,-48
191007,83,-31
191008,227,86
191009,417,34
191010,603,-101
191011,1028,-37
191012,1265,-72
191101,1496,61
191102,1354,174
191103,931,-162
191104,815,56
191105,564,54
191106,229,-54
191107,174,60
191108,241,100
191109,443,60
191110,809,105
191111,1266,201
191112,1387,50
191201,1462,27
191202,1114,-66
191203,1421,328
191204,730,-29
191205,539,29
191206,235,-48
191207,204,90
191208,225,84
191209,573,190
191210,812,108
191211,939,-126
191212,1236,-101
191301,1550,115
191302,1423,243
191303,1302,209
191304,722,-37
191305,539,29
191306,245,-38
191307,174,60
191308,131,-10
191309,361,-22
191310,843,139
191311,962,-103
191312,1312,-25
191401,1229,-206
191402,1282,102
191403,1018,-75
191404,733,-26
191405,477,-33
191406,310,27
191407,85,-29
191408,162,21
191409,390,7
191410,696,-8
191411,907,-158
191412,1569,232
191501,1438,3
191502,1078,-102
191503,1052,-41
191504,539,-220
191505,553,43
191506,402,119
191507,243,129
191508,95,-46
191509,483,100
191510,617,-87
191511,1065,0
191512,1304,-33
191601,2033,598
191602,1230,50
191603,978,-115
191604,749,-10
191605,661,151
191606,361,78
191607,122,8
191608,173,32
191609,410,27
191610,843,139
191611,1159,94
191612,1630,293
191701,1542,107
191702,1351,171
191703,1378,285
191704,901,142
191705,599,89
191706,344,61
191707,63,-51
191708,148,7
191709,329,-54
191710,763,59
191711,840,-225
191712,1353,16
191801,1488,53
191802,1272,92
191803,944,-149
191804,830,71
191805,589,79
191806,153,-130
191807,123,9
191808,195,54
191809,372,-11
191810,614,-90
191811,1116,51
191812,1226,-111
191901,1173,-262
191902,1285,105
191903,1174,81
191904,685,-74
191905,460,-50
191906,177,-106
191907,62,-52
191908,98,-43
191909,353,-30
191910,1004,300
191911,1269,204
191912,1564,227
192001,1371,-64
192002,1161,-19
192003,1196,103
192004,959,200
192005,583,73
192006,334,51
192007,78,-36
192008,127,-14
192009,361,-22
192010,743,39
192011,1108,43
192012,1284,-53
192101,1259,-176
192102,1029,-151
192103,1058,-35
192104,808,49
192105,519,9
192106,198,-85
192107,101,-13
192108,121,-20
192109,512,129
192110,586,-118
192111,1117,52
192112,1402,65
192201,1608,173
192202,1532,352
192203,1186,93
192204,844,85
192205,549,39
192206,186,-97
192207,129,15
192208,86,-55
192209,276,-107
192210,615,-89
192211,1129,64
192212,1553,216
192301,1274,-161
192302,1375,195
192303,1152,59
192304,802,43
192305,511,1
192306,292,9
192307,66,-48
192308,157,16
192309,328,-55
192310,797,93
192311,942,-123
192312,1315,-22
192401,1563,128
192402,991,-189
192403,1200,107
192404,810,51
192405,484,-26
192406,340,57
192407,119,5
192408,178,37
192409,377,-6
192410,678,-26
192411,1090,25
192412,1645,308
192501,1330,-105
192502,997,-183
192503,1026,-67
192504,658,-101
192505,438,-72
192506,272,-11
192507,77,-37
192508,163,22
192509,396,13
192510,982,278
192511,1044,-21
192512,1126,-211
192601,1290,-145
192602,961,-219
192603,999,-94
192604,666,-93
192605,457,-53
192606,255,-28
192607,77,-37
192608,160,19
192609,587,204
192610,650,-54
192611,1036,-29
192612,1376,39
192701,1456,21
192702,1192,12
192703,1065,-28
192704,828,69
192705,665,155
192706,274,-9
192707,123,9
192708,197,56
192709,422,39
192710,637,-67
192711,1105,40
192712,1716,379
192801,1361,-74
192802,1204,24
192803,994,-99
192804,846,87
192805,361,-149
192806,377,94
192807,112,-2
192808,198,57
192809,383,0
192810,765,61
192811,1028,-37
192812,1350,13
192901,1789,354
192902,1481,301
192903,1037,-56
192904,859,100
192905,569,59
192906,304,21
192907,90,-24
192908,68,-73
192909,504,121
192910,673,-31
192911,1134,69
192912,1305,-32
193001,1934,499
193002,966,-214
193003,1133,40
193004,554,-205
193005,522,12
193006,276,-7
193007,73,-41
193008,81,-60
193009,348,-35
193010,850,146
193011,1081,16
193012,1258,-79
193101,1187,-248
193102,1015,-165
193103,1062,-31
193104,731,-28
193105,453,-57
193106,186,-97
193107,78,-36
193108,97,-44
193109,348,-35
193110,688,-16
193111,1177,112
193112,1327,-10
193201,1500,65
193202,1190,10
193203,1299,206
193204,722,-37
193205,472,-38
193206,242,-41
193207,99,-15
193208,128,-13
193209,375,-8
193210,795,91
193211,957,-108
193212,1544,207
193301,1353,-82
193302,1404,224
193303,1028,-65
193304,825,66
193305,587,77
193306,166,-117
193307,68,-46
193308,139,-2
193309,394,11
193310,651,-53
193311,914,-151
193312,1245,-92
193401,1123,-312
193402,984,-196
193403,939,-154
193404,587,-172
193405,300,-210
193406,268,-15
193407,82,-32
193408,111,-30
193409,482,99
193410,607,-97
193411,882,-183
193412,1279,-58
193501,1439,4
193502,1047,-133
193503,1177,84
193504,911,152
193505,600,90
193506,299,16
193507,87,-27
193508,148,7
193509,310,-73
193510,737,33
193511,1198,133
193512,1243,-94
193601,1460,25
193602,1801,621
193603,1124,31
193604,764,5
193605,309,-201
193606,182,-101
193607,35,-79
193608,102,-39
193609,357,-26
193610,660,-44
193611,1092,27
193612,1312,-25
193701,2040,605
193702,1337,157
193703,1134,41
193704,774,15
193705,428,-82
193706,276,-7
193707,70,-44
193708,138,-3
193709,304,-79
193710,609,-95
193711,1041,-24
193712,1317,-20
193801,1304,-131
193802,1286,106
