Nebraska, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1518,173
189502,1280,200
189503,904,25
189504,316,-158
189505,181,-27
189506,49,6
189507,19,9
189508,19,2
189509,66,-48
189510,560,161
189511,942,101
189512,1197,-32
189601,1193,-152
189602,956,-124
189603,1108,229
189604,368,-106
189605,140,-68
189606,43,0
189607,18,8
189608,22,5
189609,214,100
189610,541,142
189611,1165,324
189612,1011,-218
189701,1406,61
189702,1093,13
189703,1002,123
189704,523,49
189705,221,13
189706,47,4
189707,9,-1
189708,40,23
189709,32,-82
189710,337,-62
189711,948,107
189712,1398,169
189801,1221,-124
189802,1029,-51
189803,910,31
189804,510,36
189805,263,55
189806,32,-11
189807,13,3
189808,14,-3
189809,115,1
189810,582,183
189811,1031,190
189812,1357,128
189901,1350,5
189902,1488,408
189903,1228,349
189904,498,24
189905,208,0
189906,35,-8
189907,19,9
189908,11,-6
189909,120,6
189910,337,-62
189911,668,-173
189912,1285,56
190001,1143,-202
190002,1327,247
190003,938,59
190004,406,-68
190005,147,-61
190006,28,-15
190007,11,1
190008,4,-13
190009,111,-3
190010,265,-134
190011,919,78
190012,1082,-147
190101,1241,-104
190102,1248,168
190103,926,47
190104,492,18
190105,203,-5
190106,27,-16
190107,0,-10
190108,10,-7
190109,138,24
190110,357,-42
190111,827,-14
190112,1336,107
190201,1288,-57
190202,1240,160
190203,801,-78
190204,490,16
190205,142,-66
190206,88,45
190207,19,9
190208,28,11
190209,198,84
190210,371,-28
190211,803,-38
190212,1433,204
190301,1249,-96
190302,1301,221
190303,908,29
190304,455,-19
190305,222,14
190306,103,60
190307,14,4
190308,32,15
190309,171,57
190310,376,-23
190311,871,30
190312,1214,-15
190401,1377,32
190402,1223,143
190403,860,-19
190404,605,131
190405,212,4
190406,76,33
190407,26,16
190408,31,14
190409,118,4
190410,372,-27
190411,717,-124
190412,1231,2
190501,1595,250
190502,1426,346
190503,687,-192
190504,542,68
190505,268,60
190506,43,0
190507,29,19
190508,10,-7
190509,86,-28
190510,533,134
190511,766,-75
190512,1137,-92
190601,1140,-205
190602,1038,-42
190603,1221,342
190604,380,-94
190605,183,-25
190606,63,20
190607,34,24
190608,15,-2
190609,95,-19
190610,493,94
190611,889,48
190612,1142,-87
190701,1438,93
190702,1048,-32
190703,718,-161
190704,702,228
190705,345,137
190706,62,19
190707,12,2
190708,15,-2
190709,116,2
190710,415,16
190711,845,4
190712,1149,-80
190801,1129,-216
190802,1063,-17
190803,790,-89
190804,406,-68
190805,248,40
190806,68,25
190807,18,8
190808,28,11
190809,56,-58
190810,475,76
190811,805,-36
190812,1135,-94
190901,1359,14
190902,1047,-33
190903,953,74
190904,617,143
190905,249,41
190906,45,2
190907,13,3
190908,4,-13
190909,119,5
190910,444,45
190911,759,-82
190912,1626,397
191001,1406,61
191002,1196,116
191003,466,-413
191004,374,-100
191005,326,118
191006,40,-3
191007,9,-1
191008,28,11
191009,112,-2
191010,302,-97
191011,857,16
191012,1264,35
191101,1261,-84
191102,1050,-30
191103,719,-160
191104,509,35
191105,160,-48
191106,9,-34
191107,9,-1
191108,24,7
191109,64,-50
191110,524,125
191111,1036,195
191112,1243,14
191201,1718,373
191202,1159,79
191203,1281,402
191204,465,-9
191205,162,-46
191206,87,44
191207,7,-3
191208,18,1
191209,181,67
191210,417,18
191211,736,-105
191212,1114,-115
191301,1355,10
191302,1251,171
191303,997,118
191304,434,-40
191305,203,-5
191306,28,-15
191307,3,-7
191308,1,-16
191309,111,-3
191310,538,139
191311,673,-168
191312,1127,-102
191401,1085,-260
191402,1230,150
191403,924,45
191404,470,-4
191405,184,-24
191406,19,-24
191407,5,-5
191408,12,-5
191409,92,-22
191410,345,-54
191411,699,-142
191412,1555,326
191501,1436,91
191502,1050,-30
191503,1218,339
191504,306,-168
191505,287,79
191506,101,58
191507,38,28
191508,74,57
191509,128,14
191510,328,-71
191511,719,-122
191512,1184,-45
191601,1547,202
191602,1153,73
191603,782,-97
191604,528,54
191605,214,6
191606,92,49
191607,0,-10
191608,13,-4
191609,130,16
191610,439,40
191611,847,6
191612,1446,217
191701,1358,13
191702,1203,123
191703,936,57
191704,577,103
191705,351,143
191706,63,20
191707,6,-4
191708,38,21
191709,112,-2
191710,632,233
191711,672,-169
191712,1477,248
191801,1664,319
191802,1095,15
191803,657,-222
191804,620,146
191805,131,-77
191806,14,-29
191807,10,0
191808,3,-14
191809,194,80
191810,330,-69
191811,815,-26
191812,1053,-176
191901,1111,-234
191902,1121,41
191903,856,-23
191904,543,69
191905,254,46
191906,35,-8
191907,1,-9
191908,17,0
191909,62,-52
191910,566,167
191911,998,157
191912,1458,229
192001,1281,-64
192002,1029,-51
192003,826,-53
192004,718,244
192005,239,31
192006,39,-4
192007,11,1
192008,38,21
192009,89,-25
192010,284,-115
192011,933,92
192012,1236,7
192101,1109,-236
192102,883,-197
192103,655,-224
192104,431,-43
192105,168,-40
192106,15,-28
192107,6,-4
192108,13,-4
192109,68,-46
192110,317,-82
192111,894,53
192112,1133,-96
192201,1378,33
192202,1181,101
192203,832,-47
192204,459,-15
192205,180,-28
192206,19,-24
192207,19,9
192208,5,-12
192209,51,-63
192210,313,-86
192211,747,-94
192212,1231,2
192301,1093,-252
192302,1150,70
192303,1020,141
192304,494,20
192305,249,41
192306,41,-2
192307,6,-4
192308,26,9
192309,110,-4
192310,525,126
192311,747,-94
192312,1054,-175
192401,1544,199
192402,1012,-68
192403,1057,178
192404,434,-40
192405,359,151
192406,70,27
192407,29,19
192408,13,-4
192409,189,75
192410,264,-135
192411,791,-50
192412,1568,339
192501,1451,106
192502,940,-140
192503,738,-141
192504,281,-193
192505,237,29
192506,25,-18
192507,7,-3
192508,16,-1
192509,55,-59
192510,763,364
192511,844,3
192512,1260,31
192601,1240,-105
192602,855,-225
192603,909,30
192604,517,43
192605,120,-88
192606,51,8
192607,6,-4
192608,9,-8
192609,145,31
192610,382,-17
192611,983,142
192612,1310,81
192701,1255,-90
192702,949,-131
192703,858,-21
192704,471,-3
192705,222,14
192706,61,18
192707,13,3
192708,55,38
192709,90,-24
192710,311,-88
192711,848,7
192712,1464,235
192801,1172,-173
192802,989,-91
192803,759,-120
192804,575,101
192805,157,-51
192806,111,68
192807,11,1
192808,11,-6
192809,143,29
192810,392,-7
192811,836,-5
192812,1143,-86
192901,1579,234
192902,1355,275
192903,769,-110
192904,437,-37
192905,254,46
192906,55,12
192907,7,-3
192908,9,-8
192909,168,54
192910,414,15
192911,1017,176
192912,1203,-26
193001,1692,347
193002,737,-343
193003,852,-27
193004,369,-105
193005,237,29
193006,50,7
193007,0,-10
193008,11,-6
193009,88,-26
193010,450,51
193011,771,-70
193012,1141,-88
193101,1058,-287
193102,809,-271
193103,968,89
193104,444,-30
193105,261,53
193106,8,-35
193107,1,-9
193108,13,-4
193109,26,-88
193110,301,-98
193111,778,-63
193112,1044,-185
193201,1473,128
193202,1047,-33
193203,1086,207
193204,389,-85
193205,156,-52
193206,30,-13
193207,1,-9
193208,11,-6
193209,136,22
193210,483,84
193211,888,47
193212,1389,160
193301,1007,-338
193302,1147,67
193303,864,-15
193304,486,12
193305,229,21
193306,2,-41
193307,5,-5
193308,24,7
193309,40,-74
193310,415,16
193311,738,-103
193312,1083,-146
193401,1115,-230
193402,1017,-63
193403,881,2
193404,390,-84
193405,48,-160
193406,5,-38
193407,0,-10
193408,1,-16
193409,185,71
193410,262,-137
193411,724,-117
193412,1290,61
193501,1257,-88
193502,919,-161
193503,699,-180
193504,566,92
193505,380,172
193506,76,33
193507,0,-10
193508,7,-10
193509,103,-11
193510,479,80
193511,954,113
193512,1196,-33
193601,1628,283
193602,1647,567
193603,755,-124
193604,538,64
193605,109,-99
193606,18,-25
193607,0,-10
193608,0,-17
193609,53,-61
193610,453,54
193611,848,7
193612,1147,-82
193701,1740,395
193702,1192,112
193703,966,87
193704,505,31
193705,160,-48
193706,41,-2
193707,0,-10
193708,0,-17
193709,66,-48
193710,440,41
193711,904,63
193712,1234,5
193801,1228,-117
193802,1084,4
193803,691,-188
193804,426,-48
193805,238,30
193806,30,-13
193807,2,-8
193808,0,-17
193809,60,-54
193810,193,-206
193811,881,40
193812,1128,-101
193901,1058,-287
193902,1256,176
193903,831,-48
193904,465,-9
193905,88,-120
193906,26,-17
193907,0,-10
193908,16,-1
193909,36,-78
193910,368,-31
193911,761,-80
193912,1002,-227
194001,1782,437
194002,1126,46
194003,907,28
194004,501,27
194005,208,0
194006,24,-19
194007,0,-10
194008,19,2
194009,50,-64
194010,221,-178
194011,987,146
194012,1153,-76
194101,1268,-77
194102,1104,24
194103,969,90
194104,410,-64
194105,108,-100
194106,43,0
194107,7,-3
194108,7,-10
194109,85,-29
194110,383,-16
194111,769,-72
194112,1070,-159
194201,1277,-68
194202,1169,89
194203,867,-12
194204,343,-131
194205,247,39
194206,46,3
194207,6,-4
194208,13,-4
194209,169,55
194210,385,-14
194211,792,-49
194212,1276,47
194301,1419,74
194302,891,-189
194303,1012,133
194304,392,-82
194305,277,69
194306,33,-10
194307,6,-4
194308,1,-16
194309,134,20
194310,423,24
194311,891,50
194312,1171,-58
194401,1110,-235
194402,1060,-20
194403,1109,230
194404,652,178
194405,135,-73
194406,34,-9
194407,12,2
194408,13,-4
194409,122,8
194410,360,-39
194411,825,-16
194412,1294,65
194501,1225,-120
194502,1023,-57
194503,664,-215
194504,551,77
194505,311,103
194506,130,87
194507,13,3
194508,12,-5
194509,124,10
194510,377,-22
194511,818,-23
194512,1431,202
194601,1190,-155
194602,892,-188
194603,563,-316
194604,297,-177
194605,300,92
194606,24,-19
194607,7,-3
194608,22,5
194609,117,3
194610,414,15
194611,883,42
194612,1096,-133
194701,1170,-175
194702,1205,125
194703,993,114
194704,566,92
194705,286,78
194706,77,34
194707,13,3
194708,0,-17
194709,63,-51
194710,190,-209
194711,976,135
194712,1198,-31
194801,1383,38
194802,1168,88
194803,1048,169
194804,304,-170
194805,184,-24
194806,44,1
194807,9,-1
194808,10,-7
194809,58,-56
194810,427,28
194811,876,35
194812,1280,51
194901,1628,283
194902,1282,202
194903,950,71
194904,446,-28
194905,159,-49
194906,31,-12
194907,8,-2
194908,16,-1
194909,185,71
194910,373,-26
194911,633,-208
194912,1185,-44
195001,1506,161
195002,1085,5
195003,1015,136
195004,621,147
195005,253,45
195006,40,-3
195007,37,27
195008,45,28
195009,143,29
195010,290,-109
195011,925,84
195012,1228,-1
195101,1369,24
195102,998,-82
195103,1089,210
195104,607,133
195105,198,-10
195106,113,70
195107,21,11
195108,19,2
195109,205,91
195110,454,55
195111,974,133
195112,1407,178
195201,1301,-44
195202,906,-174
195203,1057,178
195204,504,30
195205,211,3
195206,8,-35
195207,8,-2
195208,18,1
195209,77,-37
195210,483,84
195211,878,37
195212,1263,34
195301,1240,-105
