Nevada, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,857,79
189502,615,32
189503,500,14
189504,261,-26
189505,116,-13
189506,42,6
189507,7,4
189508,7,-1
189509,64,20
189510,185,-14
189511,570,72
189512,864,110
189601,673,-105
189602,562,-21
189603,486,0
189604,389,102
189605,173,44
189606,23,-13
189607,2,-1
189608,8,0
189609,52,8
189610,162,-37
189611,562,64
189612,649,-105
189701,739,-39
189702,685,102
189703,697,211
189704,256,-31
189705,66,-63
189706,47,11
189707,8,5
189708,3,-5
189709,53,9
189710,231,32
189711,463,-35
189712,842,88
189801,972,194
189802,496,-87
189803,592,106
189804,176,-111
189805,154,25
189806,34,-2
189807,3,0
189808,3,-5
189809,42,-2
189810,230,31
189811,542,44
189812,876,122
189901,710,-68
189902,563,-20
189903,487,1
189904,263,-24
189905,216,87
189906,44,8
189907,4,1
189908,30,22
189909,36,-8
189910,263,64
189911,434,-64
189912,771,17
190001,615,-163
190002,535,-48
190003,340,-146
190004,374,87
190005,105,-24
190006,20,-16
190007,4,1
190008,24,16
190009,92,48
190010,222,23
190011,428,-70
190012,711,-43
190101,752,-26
190102,585,2
190103,503,17
190104,321,34
190105,111,-18
190106,52,16
190107,3,0
190108,6,-2
190109,70,26
190110,145,-54
190111,368,-130
190112,679,-75
190201,767,-11
190202,538,-45
190203,593,107
190204,257,-30
190205,143,14
190206,30,-6
190207,12,9
190208,13,5
190209,46,2
190210,158,-41
190211,494,-4
190212,734,-20
190301,708,-70
190302,889,306
190303,515,29
190304,319,32
190305,131,2
190306,30,-6
190307,16,13
190308,10,2
190309,59,15
190310,179,-20
190311,426,-72
190312,773,19
190401,833,55
190402,523,-60
190403,458,-28
190404,291,4
190405,110,-19
190406,36,0
190407,7,4
190408,5,-3
190409,39,-5
190410,230,31
190411,440,-58
190412,747,-7
190501,691,-87
190502,586,3
190503,457,-29
190504,282,-5
190505,194,65
190506,48,12
190507,2,-1
190508,5,-3
190509,49,5
190510,256,57
190511,547,49
190512,926,172
190601,788,10
190602,487,-96
190603,527,41
190604,304,17
190605,160,31
190606,56,20
190607,0,-3
190608,5,-3
190609,45,1
190610,206,7
190611,584,86
190612,703,-51
190701,846,68
190702,406,-177
190703,497,11
190704,225,-62
190705,163,34
190706,71,35
190707,6,3
190708,17,9
190709,53,9
190710,165,-34
190711,488,-10
190712,656,-98
190801,672,-106
190802,573,-10
190803,466,-20
190804,250,-37
190805,220,91
190806,59,23
190807,0,-3
190808,7,-1
190809,50,6
190810,302,103
190811,500,2
190812,818,64
190901,616,-162
190902,593,10
190903,550,64
190904,284,-3
190905,163,34
190906,28,-8
190907,7,4
190908,6,-2
190909,47,3
190910,217,18
190911,530,32
190912,999,245
191001,901,123
191002,664,81
191003,332,-154
191004,200,-87
191005,81,-48
191006,30,-6
191007,2,-1
191008,8,0
191009,44,0
191010,181,-18
191011,426,-72
191012,690,-64
191101,681,-97
191102,740,157
191103,416,-70
191104,327,40
191105,179,50
191106,32,-4
191107,3,0
191108,13,5
191109,71,27
191110,252,53
191111,568,70
191112,913,159
191201,736,-42
191202,558,-25
191203,571,85
191204,386,99
191205,157,28
191206,37,1
191207,9,6
191208,15,7
191209,83,39
191210,279,80
191211,485,-13
191212,830,76
191301,906,128
191302,680,97
191303,557,71
191304,305,18
191305,124,-5
191306,51,15
191307,8,5
191308,6,-2
191309,36,-8
191310,243,44
191311,463,-35
191312,791,37
191401,717,-61
191402,599,16
191403,375,-111
191404,263,-24
191405,98,-31
191406,46,10
191407,2,-1
191408,4,-4
191409,51,7
191410,197,-2
191411,410,-88
191412,924,170
191501,811,33
191502,597,14
191503,432,-54
191504,257,-30
191505,185,56
191506,44,8
191507,6,3
191508,2,-6
191509,54,10
191510,151,-48
191511,501,3
191512,764,10
191601,935,157
191602,506,-77
191603,366,-120
191604,244,-43
191605,173,44
191606,46,10
191607,7,4
191608,13,5
191609,43,-1
191610,328,129
191611,592,94
191612,894,140
191701,1089,311
191702,688,105
191703,672,186
191704,355,68
191705,234,105
191706,37,1
191707,0,-3
191708,4,-4
191709,38,-6
191710,143,-56
191711,405,-93
191712,560,-194
191801,758,-20
191802,598,15
191803,443,-43
191804,287,0
191805,181,52
191806,7,-29
191807,3,0
191808,13,5
191809,34,-10
191810,162,-37
191811,563,65
191812,811,57
191901,767,-11
191902,671,88
191903,566,80
191904,228,-59
191905,74,-55
191906,32,-4
191907,0,-3
191908,3,-5
191909,46,2
191910,349,150
191911,564,66
191912,801,47
192001,663,-115
192002,557,-26
192003,551,65
192004,342,55
192005,121,-8
192006,39,3
192007,4,1
192008,6,-2
192009,42,-2
192010,268,69
192011,509,11
192012,764,10
192101,730,-48
192102,519,-64
192103,361,-125
192104,323,36
192105,165,36
192106,27,-9
192107,2,-1
192108,5,-3
192109,54,10
192110,131,-68
192111,396,-102
192112,638,-116
192201,947,169
192202,688,105
192203,581,95
192204,387,100
192205,120,-9
192206,19,-17
192207,1,-2
192208,8,0
192209,27,-17
192210,184,-15
192211,573,75
192212,645,-109
192301,668,-110
192302,684,101
192303,515,29
192304,303,16
192305,104,-25
192306,68,32
192307,2,-1
192308,8,0
192309,35,-9
192310,254,55
192311,453,-45
192312,825,71
192401,869,91
192402,442,-141
192403,575,89
192404,273,-14
192405,64,-65
192406,26,-10
192407,2,-1
192408,9,1
192409,44,0
192410,239,40
192411,483,-15
192412,915,161
192501,792,14
192502,460,-123
192503,420,-66
192504,258,-29
192505,84,-45
192506,33,-3
192507,0,-3
192508,13,5
192509,66,22
192510,245,46
192511,539,41
192512,684,-70
192601,778,0
192602,511,-72
192603,382,-104
192604,214,-73
192605,101,-28
192606,11,-25
192607,0,-3
192608,6,-2
192609,70,26
192610,152,-47
192611,388,-110
192612,815,61
192701,674,-104
192702,541,-42
192703,471,-15
192704,283,-4
192705,138,9
192706,29,-7
192707,2,-1
192708,11,3
192709,64,20
192710,173,-26
192711,357,-141
192712,821,67
192801,715,-63
192802,561,-22
192803,374,-112
192804,287,0
192805,68,-61
192806,38,2
192807,2,-1
192808,7,-1
192809,36,-8
192810,210,11
192811,495,-3
192812,818,64
192901,830,52
192902,713,130
192903,468,-18
192904,346,59
192905,114,-15
192906,44,8
192907,1,-2
192908,2,-6
192909,56,12
192910,171,-28
192911,452,-46
192912,560,-194
193001,936,158
193002,452,-131
193003,443,-43
193004,204,-83
193005,197,68
193006,30,-6
193007,2,-1
193008,6,-2
193009,53,9
193010,250,51
193011,535,37
193012,860,106
193101,754,-24
193102,534,-49
193103,456,-30
193104,232,-55
193105,81,-48
193106,26,-10
193107,0,-3
193108,2,-6
193109,50,6
193110,182,-17
193111,632,134
193112,917,163
193201,947,169
193202,673,90
193203,453,-33
193204,282,-5
193205,130,1
193206,29,-7
193207,5,2
193208,9,1
193209,30,-14
193210,219,20
193211,394,-104
193212,950,196
193301,918,140
193302,909,326
193303,494,8
193304,347,60
193305,229,100
193306,26,-10
193307,0,-3
193308,5,-3
193309,41,-3
193310,105,-94
193311,445,-53
193312,648,-106
193401,654,-124
193402,460,-123
193403,251,-235
193404,150,-137
193405,63,-66
193406,41,5
193407,2,-1
193408,2,-6
193409,39,-5
193410,155,-44
193411,413,-85
193412,702,-52
193501,739,-39
193502,542,-41
193503,598,112
193504,286,-1
193505,160,31
193506,25,-11
193507,5,2
193508,4,-4
193509,23,-21
193510,228,29
193511,610,112
193512,741,-13
193601,717,-61
193602,614,31
193603,426,-60
193604,205,-82
193605,90,-39
193606,26,-10
193607,0,-3
193608,4,-4
193609,47,3
193610,188,-11
193611,492,-6
193612,776,22
193701,1278,500
193702,717,134
193703,524,38
193704,315,28
193705,85,-44
193706,35,-1
193707,0,-3
193708,4,-4
193709,29,-15
193710,156,-43
193711,413,-85
193712,638,-116
193801,681,-97
193802,629,46
193803,595,109
193804,274,-13
193805,139,10
193806,32,-4
193807,3,0
193808,7,-1
193809,26,-18
193810,222,23
193811,648,150
193812,674,-80
193901,767,-11
193902,797,214
193903,455,-31
193904,201,-86
193905,94,-35
193906,37,1
193907,0,-3
193908,2,-6
193909,36,-8
193910,227,28
193911,432,-66
193912,601,-153
194001,711,-67
194002,559,-24
194003,394,-92
194004,248,-39
194005,66,-63
194006,12,-24
194007,3,0
194008,2,-6
194009,47,3
194010,172,-27
194011,571,73
