New Hampshire, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1497,63
189502,1425,169
189503,1208,131
189504,714,21
189505,268,-88
189506,45,-61
189507,63,34
189508,81,11
189509,197,-33
189510,738,174
189511,871,-19
189512,1229,-66
189601,1520,86
189602,1272,16
189603,1261,184
189604,643,-50
189605,258,-98
189606,120,14
189607,17,-12
189608,57,-13
189609,269,39
189610,671,107
189611,830,-60
189612,1381,86
189701,1409,-25
189702,1234,-22
189703,1128,51
189704,647,-46
189705,344,-12
189706,206,100
189707,11,-18
189708,87,17
189709,261,31
189710,586,22
189711,981,91
189712,1280,-15
189801,1492,58
189802,1177,-79
189803,927,-150
189804,788,95
189805,383,27
189806,98,-8
189807,19,-10
189808,41,-29
189809,173,-57
189810,541,-23
189811,943,53
189812,1359,64
189901,1473,39
189902,1332,76
189903,1223,146
189904,729,36
189905,359,3
189906,68,-38
189907,30,1
189908,74,4
189909,287,57
189910,541,-23
189911,975,85
189912,1195,-100
190001,1438,4
190002,1290,34
190003,1275,198
190004,715,22
190005,463,107
190006,73,-33
190007,19,-10
190008,50,-20
190009,181,-49
190010,432,-132
190011,868,-22
190012,1344,49
190101,1473,39
190102,1429,173
190103,1134,57
190104,665,-28
190105,370,14
190106,65,-41
190107,11,-18
190108,47,-23
190109,197,-33
190110,573,9
190111,1087,197
190112,1309,14
190201,1494,60
190202,1254,-2
190203,871,-206
190204,663,-30
190205,387,31
190206,181,75
190207,74,45
190208,127,57
190209,231,1
190210,597,33
190211,810,-80
190212,1426,131
190301,1430,-4
190302,1196,-60
190303,839,-238
190304,694,1
190305,297,-59
190306,243,137
190307,48,19
190308,208,138
190309,204,-26
190310,580,16
190311,1021,131
190312,1436,141
190401,1689,255
190402,1461,205
190403,1175,98
190404,771,78
190405,234,-122
190406,129,23
190407,35,6
190408,107,37
190409,292,62
190410,688,124
190411,1102,212
190412,1564,269
190501,1566,132
190502,1447,191
190503,1155,78
190504,719,26
190505,373,17
190506,156,50
190507,22,-7
190508,111,41
190509,272,42
190510,595,31
190511,991,101
190512,1246,-49
190601,1240,-194
190602,1258,2
190603,1290,213
190604,728,35
190605,386,30
190606,117,11
190607,31,2
190608,32,-38
190609,179,-51
190610,572,8
190611,958,68
190612,1470,175
190701,1535,101
190702,1480,224
190703,1110,33
190704,815,122
190705,519,163
190706,141,35
190707,31,2
190708,106,36
190709,229,-1
190710,717,153
190711,957,67
190712,1189,-106
190801,1370,-64
190802,1368,112
190803,1090,13
190804,752,59
190805,291,-65
