New Jersey, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1218,101
189502,1223,242
189503,948,132
189504,535,54
189505,191,-2
189506,5,-18
189507,13,12
189508,4,-4
189509,32,-43
189510,540,182
189511,662,-8
189512,950,-61
189601,1213,96
189602,997,16
189603,1037,221
189604,417,-64
189605,99,-94
189606,33,10
189607,0,-1
189608,4,-4
189609,95,20
189610,479,121
189611,577,-93
189612,1114,103
189701,1188,71
189702,976,-5
189703,821,5
189704,490,9
189705,200,7
189706,60,37
189707,0,-1
189708,12,4
189709,89,14
189710,354,-4
189711,709,39
189712,995,-16
189801,1074,-43
189802,963,-18
189803,670,-146
189804,574,93
189805,244,51
189806,14,-9
189807,0,-1
189808,3,-5
189809,41,-34
189810,339,-19
189811,756,86
189812,1065,54
189901,1166,49
189902,1160,179
189903,906,90
189904,501,20
189905,187,-6
189906,5,-18
189907,0,-1
189908,6,-2
189909,110,35
189910,332,-26
189911,713,43
189912,996,-15
190001,1106,-11
190002,1025,44
190003,993,177
190004,480,-1
190005,198,5
190006,13,-10
190007,0,-1
190008,0,-8
190009,29,-46
190010,243,-115
190011,609,-61
190012,1050,39
190101,1123,6
190102,1175,194
190103,864,48
190104,553,72
190105,253,60
190106,13,-10
190107,0,-1
190108,4,-4
190109,64,-11
190110,395,37
190111,868,198
190112,1080,69
190201,1201,84
190202,1109,128
190203,714,-102
190204,492,11
190205,203,10
190206,39,16
190207,3,2
190208,19,11
190209,100,25
190210,344,-14
190211,541,-129
190212,1110,99
190301,1151,34
190302,940,-41
190303,595,-221
190304,478,-3
190305,145,-48
190306,96,73
190307,3,2
190308,38,30
190309,92,17
190310,349,-9
190311,825,155
190312,1198,187
190401,1370,253
190402,1195,214
190403,933,117
190404,597,116
190405,137,-56
190406,27,4
190407,5,4
190408,17,9
190409,102,27
190410,475,117
190411,812,142
190412,1243,232
190501,1244,127
190502,1224,243
190503,846,30
190504,501,20
190505,181,-12
190506,30,7
190507,0,-1
190508,13,5
190509,84,9
190510,369,11
190511,765,95
190512,962,-49
190601,958,-159
190602,1022,41
190603,1015,199
190604,459,-22
190605,174,-19
190606,10,-13
190607,3,2
190608,3,-5
190609,39,-36
190610,379,21
190611,717,47
190612,1055,44
190701,1099,-18
190702,1227,246
190703,808,-8
190704,648,167
190705,348,155
190706,84,61
190707,3,2
190708,18,10
190709,63,-12
190710,517,159
190711,726,56
190712,961,-50
190801,1108,-9
190802,1099,118
190803,783,-33
190804,467,-14
190805,169,-24
190806,15,-8
190807,0,-1
190808,12,4
190809,76,1
190810,306,-52
190811,726,56
190812,1026,15
190901,1062,-55
190902,819,-162
190903,894,78
190904,500,19
190905,206,13
190906,17,-6
190907,7,6
190908,18,10
190909,107,32
190910,494,136
190911,628,-42
190912,1161,150
191001,1159,42
191002,1023,42
191003,693,-123
191004,394,-87
191005,218,25
191006,48,25
191007,0,-1
191008,18,10
191009,58,-17
191010,315,-43
191011,818,148
191012,1261,250
191101,1048,-69
191102,1010,29
191103,911,95
191104,584,103
191105,107,-86
191106,25,2
191107,0,-1
191108,7,-1
191109,70,-5
191110,403,45
191111,786,116
191112,893,-118
191201,1392,275
191202,1101,120
191203,928,112
191204,490,9
191205,163,-30
191206,35,12
191207,0,-1
191208,22,14
191209,77,2
191210,312,-46
191211,659,-11
191212,937,-74
191301,853,-264
191302,1021,40
191303,679,-137
191304,431,-50
191305,201,8
191306,21,-2
191307,0,-1
191308,8,0
191309,103,28
191310,289,-69
191311,630,-40
191312,915,-96
191401,1104,-13
191402,1162,181
191403,984,168
191404,548,67
191405,139,-54
191406,30,7
191407,7,6
191408,5,-3
191409,112,37
191410,283,-75
191411,724,54
191412,1125,114
191501,1054,-63
191502,885,-96
191503,958,142
191504,361,-120
191505,271,78
191506,47,24
191507,4,3
191508,15,7
191509,40,-35
191510,342,-16
191511,703,33
191512,1090,79
191601,991,-126
191602,1091,110
191603,1090,274
191604,542,61
191605,171,-22
191606,82,59
191607,0,-1
191608,4,-4
191609,88,13
191610,367,9
191611,718,48
191612,1083,72
191701,1110,-7
191702,1087,106
191703,888,72
191704,528,47
191705,384,191
191706,24,1
191707,0,-1
191708,3,-5
191709,168,93
191710,498,140
191711,822,152
191712,1306,295
191801,1453,336
191802,1065,84
191803,772,-44
191804,498,17
191805,100,-93
191806,54,31
191807,4,3
191808,0,-8
191809,155,80
191810,305,-53
191811,696,26
191812,914,-97
191901,1023,-94
191902,934,-47
191903,727,-89
191904,507,26
191905,179,-14
191906,15,-8
191907,0,-1
191908,22,14
191909,76,1
191910,248,-110
191911,706,36
191912,1178,167
192001,1345,228
192002,1090,109
192003,841,25
192004,552,71
192005,280,87
192006,29,6
192007,6,5
192008,6,-2
192009,60,-15
192010,250,-108
192011,726,56
192012,949,-62
192101,1049,-68
192102,924,-57
192103,539,-277
192104,302,-179
192105,205,12
192106,13,-10
192107,0,-1
192108,21,13
192109,23,-52
192110,389,31
192111,688,18
192112,1066,55
