New Mexico, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,966,16
189502,917,181
189503,623,-14
189504,355,-32
189505,163,-1
189506,44,15
189507,13,8
189508,13,2
189509,66,-6
189510,387,67
189511,768,99
189512,1038,105
189601,886,-64
189602,776,40
189603,581,-56
189604,355,-32
189605,108,-56
189606,9,-20
189607,5,0
189608,6,-5
189609,62,-10
189610,375,55
189611,645,-24
189612,858,-75
189701,1043,93
189702,756,20
189703,675,38
189704,349,-38
189705,108,-56
189706,30,1
189707,7,2
189708,9,-2
189709,55,-17
189710,337,17
189711,586,-83
189712,979,46
189801,1048,98
189802,638,-98
189803,655,18
189804,310,-77
189805,156,-8
189806,25,-4
189807,4,-1
189808,7,-4
189809,77,5
189810,347,27
189811,735,66
189812,1132,199
189901,1037,87
189902,865,129
189903,595,-42
189904,365,-22
189905,175,11
189906,24,-5
189907,5,0
189908,7,-4
189909,52,-20
189910,340,20
189911,631,-38
189912,926,-7
190001,834,-116
190002,742,6
190003,553,-84
190004,488,101
190005,128,-36
190006,16,-13
190007,3,-2
190008,8,-3
190009,81,9
190010,310,-10
190011,592,-77
190012,909,-24
190101,894,-56
190102,727,-9
190103,665,28
190104,432,45
190105,134,-30
190106,26,-3
190107,2,-3
190108,4,-7
190109,66,-6
190110,295,-25
190111,590,-79
190112,915,-18
190201,912,-38
190202,718,-18
190203,748,111
190204,285,-102
190205,140,-24
190206,13,-16
190207,11,6
190208,7,-4
190209,92,20
190210,304,-16
190211,660,-9
190212,940,7
190301,931,-19
190302,918,182
190303,682,45
190304,380,-7
190305,195,31
190306,65,36
190307,4,-1
190308,6,-5
190309,95,23
190310,374,54
190311,582,-87
190312,970,37
190401,1039,89
190402,603,-133
190403,512,-125
190404,330,-57
190405,153,-11
190406,44,15
190407,7,2
190408,12,1
190409,71,-1
190410,362,42
190411,674,5
190412,970,37
190501,945,-5
190502,825,89
190503,579,-58
190504,458,71
190505,176,12
190506,24,-5
190507,13,8
190508,8,-3
190509,70,-2
190510,366,46
190511,652,-17
190512,1122,189
190601,1000,50
190602,720,-16
190603,619,-18
190604,396,9
190605,166,2
190606,29,0
190607,16,11
190608,19,8
190609,89,17
190610,385,65
190611,726,57
190612,799,-134
190701,826,-124
190702,596,-140
190703,494,-143
190704,373,-14
190705,277,113
190706,64,35
190707,6,1
190708,12,1
190709,79,7
190710,319,-1
190711,744,75
190712,885,-48
190801,924,-26
190802,744,8
190803,511,-126
190804,376,-11
190805,233,69
190806,41,12
190807,9,4
190808,15,4
190809,91,19
190810,448,128
190811,738,69
190812,916,-17
190901,764,-186
190902,754,18
190903,732,95
190904,410,23
190905,223,59
190906,22,-7
190907,2,-3
190908,8,-3
190909,97,25
190910,321,1
190911,599,-70
190912,1172,239
191001,894,-56
191002,807,71
191003,456,-181
191004,341,-46
191005,123,-41
191006,17,-12
191007,1,-4
191008,6,-5
191009,42,-30
191010,326,6
191011,573,-96
191012,862,-71
191101,762,-188
191102,759,23
191103,513,-124
191104,362,-25
191105,144,-20
191106,26,-3
191107,12,7
191108,9,-2
191109,41,-31
191110,371,51
191111,768,99
191112,1119,186
191201,956,6
191202,796,60
191203,672,35
191204,507,120
191205,167,3
191206,44,15
191207,6,1
191208,11,0
191209,135,63
191210,390,70
191211,729,60
191212,1115,182
191301,1092,142
191302,830,94
191303,740,103
191304,421,34
191305,141,-23
191306,44,15
191307,4,-1
191308,7,-4
191309,144,72
191310,374,54
191311,576,-93
191312,1082,149
191401,831,-119
191402,759,23
191403,649,12
191404,363,-24
191405,155,-9
191406,23,-6
191407,10,5
191408,13,2
191409,57,-15
191410,350,30
191411,593,-76
191412,1033,100
191501,1081,131
191502,781,45
191503,785,148
191504,395,8
191505,237,73
191506,37,8
191507,9,4
191508,19,8
191509,95,23
191510,328,8
191511,655,-14
191512,915,-18
191601,874,-76
191602,643,-93
191603,494,-143
191604,400,13
191605,174,10
191606,28,-1
191607,5,0
191608,14,3
191609,84,12
191610,336,16
191611,709,40
191612,987,54
191701,987,37
191702,762,26
191703,743,106
191704,445,58
191705,321,157
191706,32,3
191707,1,-4
191708,11,0
191709,64,-8
191710,313,-7
191711,573,-96
191712,782,-151
191801,1061,111
191802,665,-71
191803,539,-98
191804,429,42
191805,192,28
191806,12,-17
191807,4,-1
191808,11,0
191809,83,11
191810,298,-22
191811,778,109
191812,1090,157
191901,1150,200
191902,859,123
191903,712,75
191904,371,-16
191905,158,-6
191906,47,18
191907,7,2
191908,6,-5
191909,64,-8
191910,360,40
191911,691,22
191912,869,-64
192001,909,-41
192002,652,-84
192003,694,57
192004,516,129
192005,160,-4
192006,40,11
192007,6,1
192008,20,9
192009,78,6
192010,369,49
192011,679,10
192012,986,53
192101,858,-92
192102,718,-18
192103,527,-110
192104,458,71
192105,164,0
192106,41,12
192107,8,3
192108,12,1
192109,48,-24
192110,260,-60
192111,601,-68
192112,774,-159
192201,1018,68
192202,740,4
192203,703,66
192204,437,50
192205,142,-22
192206,18,-11
192207,2,-3
192208,3,-8
192209,41,-31
192210,311,-9
192211,736,67
192212,807,-126
192301,804,-146
192302,781,45
192303,737,100
192304,394,7
192305,142,-22
192306,29,0
192307,3,-2
192308,16,5
192309,111,39
192310,413,93
192311,699,30
192312,997,64
192401,1040,90
192402,713,-23
192403,787,150
192404,435,48
192405,159,-5
192406,14,-15
192407,6,1
192408,8,-3
192409,74,2
192410,307,-13
192411,595,-74
192412,1049,116
192501,1071,121
192502,660,-76
192503,532,-105
192504,289,-98
192505,102,-62
192506,22,-7
192507,2,-3
192508,18,7
192509,74,2
192510,335,15
192511,716,47
192512,1004,71
192601,1095,145
192602,661,-75
192603,685,48
192604,422,35
192605,189,25
192606,26,-3
192607,9,4
192608,9,-2
192609,45,-27
192610,267,-53
192611,634,-35
192612,979,46
192701,810,-140
192702,624,-112
192703,639,2
192704,345,-42
192705,112,-52
192706,34,5
192707,4,-1
192708,17,6
192709,84,12
192710,317,-3
192711,508,-161
192712,1037,104
192801,892,-58
192802,782,46
192803,555,-82
192804,433,46
192805,157,-7
192806,30,1
192807,4,-1
192808,20,9
192809,86,14
192810,271,-49
192811,726,57
192812,972,39
192901,977,27
192902,889,153
192903,680,43
192904,383,-4
192905,176,12
192906,25,-4
192907,5,0
192908,14,3
192909,75,3
192910,348,28
192911,830,161
192912,894,-39
193001,1078,128
193002,630,-106
193003,721,84
193004,278,-109
193005,225,61
193006,21,-8
193007,7,2
193008,11,0
193009,76,4
193010,331,11
193011,752,83
193012,1052,119
193101,997,47
193102,718,-18
193103,714,77
193104,405,18
193105,189,25
193106,20,-9
193107,3,-2
193108,13,2
193109,40,-32
193110,265,-55
193111,715,46
193112,1031,98
193201,1111,161
193202,649,-87
193203,730,93
193204,371,-16
193205,177,13
193206,43,14
193207,4,-1
193208,9,-2
193209,99,27
193210,390,70
193211,663,-6
193212,1093,160
193301,1027,77
193302,918,182
193303,591,-46
193304,509,122
193305,228,64
193306,23,-6
193307,2,-3
193308,10,-1
193309,35,-37
193310,261,-59
193311,620,-49
193312,794,-139
193401,940,-10
193402,628,-108
193403,531,-106
193404,288,-99
193405,77,-87
193406,25,-4
193407,0,-5
193408,2,-9
193409,74,2
193410,238,-82
193411,632,-37
193412,873,-60
193501,836,-114
193502,750,14
193503,589,-48
193504,357,-30
193505,252,88
193506,27,-2
193507,3,-2
193508,10,-1
193509,93,21
193510,292,-28
193511,695,26
193512,950,17
193601,976,26
193602,731,-5
193603,591,-46
193604,341,-46
193605,123,-41
193606,15,-14
193607,4,-1
193608,6,-5
193609,88,16
193610,365,45
193611,710,41
193612,906,-27
193701,1147,197
193702,776,40
193703,732,95
193704,381,-6
193705,129,-35
193706,31,2
193707,4,-1
193708,3,-8
193709,47,-25
193710,278,-42
193711,633,-36
193712,890,-43
193801,929,-21
193802,704,-32
193803,608,-29
193804,384,-3
193805,176,12
193806,25,-4
193807,8,3
193808,6,-5
193809,79,7
193810,284,-36
193811,790,121
193812,874,-59
193901,976,26
193902,965,229
193903,623,-14
193904,356,-31
193905,132,-32
193906,23,-6
193907,4,-1
193908,11,0
193909,47,-25
193910,357,37
193911,683,14
193912,819,-114
194001,995,45
194002,780,44
194003,579,-58
194004,389,2
194005,134,-30
194006,25,-4
194007,3,-2
194008,13,2
194009,59,-13
194010,290,-30
194011,727,58
194012,818,-115
194101,923,-27
194102,674,-62
194103,701,64
194104,497,110
194105,151,-13
194106,65,36
194107,13,8
194108,16,5
194109,89,17
194110,340,20
194111,649,-20
194112,871,-62
194201,922,-28
194202,850,114
194203,737,100
194204,384,-3
194205,178,14
194206,30,1
194207,5,0
194208,12,1
194209,91,19
194210,336,16
194211,564,-105
194212,818,-115
194301,884,-66
194302,657,-79
194303,622,-15
194304,259,-128
194305,138,-26
194306,28,-1
194307,4,-1
194308,3,-8
194309,66,-6
194310,347,27
194311,693,24
194312,1010,77
194401,1066,116
194402,758,22
194403,714,77
194404,468,81
194405,183,19
194406,34,5
194407,6,1
194408,7,-4
194409,77,5
194410,286,-34
194411,712,43
194412,952,19
194501,932,-18
194502,679,-57
194503,681,44
194504,456,69
194505,137,-27
194506,48,19
194507,4,-1
194508,4,-7
194509,56,-16
194510,303,-17
194511,644,-25
194512,998,65
194601,1042,92
194602,767,31
194603,604,-33
194604,244,-143
194605,184,20
194606,14,-15
194607,2,-3
194608,8,-3
194609,48,-24
194610,332,12
194611,732,63
194612,800,-133
194701,1043,93
194702,708,-28
194703,642,5
194704,411,24
194705,117,-47
194706,34,5
194707,2,-3
194708,9,-2
194709,40,-32
194710,243,-77
194711,798,129
194712,998,65
194801,1021,71
194802,803,67
194803,804,167
194804,294,-93
194805,133,-31
194806,31,2
194807,3,-2
194808,7,-4
194809,47,-25
194810,330,10
194811,808,139
194812,856,-77
194901,1147,197
194902,817,81
194903,617,-20
194904,397,10
194905,159,-5
194906,35,6
194907,5,0
194908,12,1
194909,51,-21
194910,382,62
194911,545,-124
194912,973,40
195001,872,-78
195002,648,-88
195003,608,-29
195004,316,-71
195005,170,6
195006,23,-6
195007,9,4
195008,17,6
195009,96,24
195010,160,-160
195011,602,-67
195012,795,-138
195101,945,-5
195102,761,25
195103,672,35
195104,418,31
195105,144,-20
195106,35,6
195107,0,-5
195108,7,-4
195109,53,-19
195110,292,-28
195111,728,59
195112,928,-5
195201,823,-127
195202,779,43
195203,775,138
195204,390,3
195205,147,-17
195206,14,-15
195207,5,0
195208,4,-7
195209,60,-12
195210,280,-40
195211,795,126
195212,997,64
195301,776,-174
195302,804,68
195303,576,-61
195304,393,6
195305,243,79
195306,13,-16
195307,1,-4
195308,10,-1
195309,51,-21
195310,320,0
195311,640,-29
195312,1068,135
195401,878,-72
195402,602,-134
195403,664,27
195404,241,-146
195405,134,-30
195406,21,-8
195407,1,-4
195408,10,-1
195409,39,-33
195410,239,-81
195411,591,-78
195412,910,-23
195501,1015,65
195502,884,148
195503,633,-4
195504,400,13
195505,184,20
195506,41,12
195507,7,2
195508,8,-3
195509,48,-24
195510,263,-57
195511,657,-12
195512,818,-115
195601,801,-149
195602,876,140
195603,602,-35
195604,425,38
195605,102,-62
195606,9,-20
195607,4,-1
195608,14,3
195609,36,-36
195610,264,-56
195611,795,126
195612,936,3
195701,833,-117
195702,527,-209
195703,628,-9
195704,430,43
195705,229,65
195706,26,-3
195707,2,-3
195708,12,1
195709,85,13
195710,372,52
195711,800,131
195712,861,-72
195801,998,48
195802,675,-61
195803,792,155
195804,446,59
195805,112,-52
195806,15,-14
195807,3,-2
195808,4,-7
195809,67,-5
195810,348,28
195811,650,-19
195812,822,-111
195901,920,-30
195902,763,27
195903,681,44
195904,353,-34
195905,154,-10
195906,16,-13
195907,4,-1
195908,9,-2
195909,68,-4
195910,327,7
195911,714,45
195912,888,-45
196001,1063,113
196002,878,142
196003,584,-53
196004,339,-48
196005,177,13
196006,19,-10
196007,6,1
196008,6,-5
196009,46,-26
196010,349,29
196011,623,-46
196012,1073,140
196101,1019,69
196102,734,-2
196103,629,-8
196104,392,5
196105,136,-28
196106,18,-11
196107,5,0
196108,11,0
196109,111,39
196110,336,16
196111,758,89
196112,959,26
196201,1042,92
196202,636,-100
196203,784,147
196204,305,-82
196205,151,-13
196206,35,6
196207,7,2
196208,6,-5
196209,58,-14
196210,284,-36
196211,581,-88
196212,861,-72
196301,1086,136
196302,707,-29
196303,637,0
196304,332,-55
196305,103,-61
196306,29,0
196307,0,-5
196308,10,-1
196309,43,-29
196310,213,-107
196311,618,-51
196312,975,42
196401,1074,124
196402,982,246
196403,754,117
196404,438,51
196405,142,-22
196406,30,1
196407,1,-4
196408,10,-1
196409,70,-2
196410,282,-38
196411,677,8
196412,933,0
196501,861,-89
196502,812,76
196503,770,133
196504,371,-16
196505,192,28
196506,54,25
196507,4,-1
196508,16,5
196509,101,29
196510,309,-11
196511,540,-129
196512,873,-60
196601,1083,133
196602,897,161
196603,610,-27
196604,360,-27
196605,117,-47
196606,29,0
196607,0,-5
196608,12,1
196609,72,0
196610,343,23
196611,558,-111
196612,946,13
196701,968,18
196702,712,-24
196703,482,-155
196704,330,-57
196705,189,25
196706,40,11
196707,2,-3
196708,21,10
196709,89,17
196710,294,-26
196711,602,-67
196712,1044,111
196801,961,11
196802,679,-57
196803,667,30
196804,468,81
196805,184,20
196806,23,-6
196807,7,2
196808,24,13
196809,98,26
196810,280,-40
196811,697,28
196812,1004,71
196901,787,-163
196902,758,22
196903,820,183
196904,327,-60
196905,142,-22
196906,42,13
196907,1,-4
196908,3,-8
196909,63,-9
196910,367,47
196911,704,35
196912,854,-79
197001,969,19
197002,678,-58
197003,739,102
197004,477,90
197005,153,-11
197006,42,13
197007,3,-2
197008,5,-6
197009,87,15
197010,463,143
197011,649,-20
197012,851,-82
197101,938,-12
197102,762,26
197103,603,-34
197104,428,41
197105,204,40
197106,25,-4
197107,3,-2
197108,18,7
197109,95,23
197110,379,59
197111,660,-9
197112,966,33
197201,904,-46
197202,689,-47
197203,461,-176
197204,341,-46
197205,176,12
197206,27,-2
197207,4,-1
197208,16,5
197209,80,8
197210,283,-37
197211,814,145
197212,950,17
197301,1042,92
197302,806,70
197303,722,85
197304,555,168
197305,202,38
197306,43,14
197307,7,2
197308,11,0
197309,88,16
197310,305,-15
197311,587,-82
197312,911,-22
197401,950,0
197402,814,78
197403,483,-154
197404,389,2
197405,100,-64
197406,16,-13
197407,5,0
197408,22,11
197409,115,43
197410,315,-5
197411,680,11
197412,1023,90
197501,994,44
197502,783,47
197503,670,33
197504,504,117
197505,239,75
197506,41,12
197507,8,3
197508,12,1
197509,112,40
197510,323,3
197511,690,21
197512,909,-24
197601,976,26
197602,608,-128
197603,646,9
197604,381,-6
197605,184,20
197606,31,2
197607,6,1
197608,16,5
197609,89,17
197610,454,134
197611,779,110
197612,997,64
197701,1038,88
197702,734,-2
197703,734,97
197704,378,-9
197705,174,10
197706,16,-13
197707,3,-2
197708,5,-6
197709,46,-26
197710,270,-50
197711,595,-74
197712,772,-161
197801,911,-39
197802,777,41
197803,559,-78
197804,324,-63
197805,185,21
197806,20,-9
197807,1,-4
197808,13,2
197809,79,7
197810,275,-45
197811,611,-58
197812,1003,70
197901,1069,119
197902,775,39
197903,658,21
197904,395,8
197905,199,35
197906,44,15
197907,4,-1
197908,18,7
197909,58,-14
197910,243,-77
197911,795,126
197912,892,-41
198001,844,-106
198002,680,-56
198003,686,49
198004,451,64
198005,214,50
198006,15,-14
198007,0,-5
198008,7,-4
198009,57,-15
198010,392,72
198011,702,33
198012,752,-181
198101,852,-98
198102,678,-58
198103,662,25
198104,288,-99
198105,163,-1
198106,12,-17
198107,2,-3
198108,13,2
198109,66,-6
198110,320,0
198111,565,-104
198112,800,-133
198201,910,-40
198202,756,20
198203,597,-40
198204,369,-18
198205,196,32
198206,38,9
198207,3,-2
198208,7,-4
198209,62,-10
198210,381,61
198211,688,19
198212,968,35
198301,935,-15
198302,734,-2
198303,635,-2
198304,549,162
198305,232,68
198306,50,21
198307,4,-1
198308,5,-6
198309,35,-37
198310,286,-34
198311,627,-42
198312,926,-7
198401,980,30
198402,763,27
198403,641,4
198404,442,55
198405,86,-78
198406,31,2
198407,4,-1
198408,12,1
198409,68,-4
198410,444,124
198411,659,-10
198412,887,-46
198501,1001,51
198502,802,66
198503,593,-44
198504,329,-58
198505,154,-10
198506,24,-5
198507,4,-1
198508,7,-4
198509,106,34
198510,326,6
198511,615,-54
198512,905,-28
198601,791,-159
198602,642,-94
198603,521,-116
198604,313,-74
198605,165,1
198606,30,1
198607,9,4
198608,7,-4
198609,98,26
198610,381,61
198611,694,25
198612,933,0
198701,1002,52
198702,756,20
198703,715,78
198704,412,25
198705,195,31
198706,29,0
198707,6,1
198708,16,5
198709,93,21
198710,241,-79
198711,676,7
198712,982,49
198801,1021,71
198802,695,-41
198803,653,16
198804,397,10
198805,169,5
198806,24,-5
198807,5,0
198808,12,1
198809,106,34
198810,234,-86
198811,621,-48
198812,965,32
198901,944,-6
198902,710,-26
198903,476,-161
198904,244,-143
198905,97,-67
198906,28,-1
198907,3,-2
198908,14,3
198909,69,-3
198910,317,-3
198911,619,-50
198912,974,41
199001,957,7
199002,764,28
199003,581,-56
199004,320,-67
199005,172,8
199006,8,-21
199007,9,4
199008,19,8
199009,50,-22
199010,313,-7
199011,614,-55
199012,994,61
199101,971,21
199102,659,-77
199103,660,23
199104,380,-7
199105,152,-12
199106,38,9
199107,9,4
199108,12,1
199109,92,20
199110,281,-39
199111,721,52
199112,931,-2
199201,1032,82
199202,701,-35
199203,586,-51
199204,291,-96
199205,171,7
199206,43,14
199207,9,4
199208,15,4
199209,59,-13
199210,249,-71
199211,792,123
199212,997,64
199301,836,-114
199302,709,-27
199303,589,-48
199304,357,-30
199305,152,-12
199306,30,1
199307,2,-3
199308,13,2
199309,84,12
199310,357,37
199311,723,54
199312,907,-26
199401,904,-46
199402,752,16
199403,556,-81
199404,354,-33
199405,139,-25
199406,9,-20
199407,2,-3
199408,3,-8
199409,59,-13
199410,338,18
199411,658,-11
199412,814,-119
199501,888,-62
199502,561,-175
199503,559,-78
199504,442,55
199505,194,30
199506,43,14
199507,6,1
199508,2,-9
199509,60,-12
199510,283,-37
199511,530,-139
199512,826,-107
199601,862,-88
199602,581,-155
199603,632,-5
199604,332,-55
199605,60,-104
199606,14,-15
199607,2,-3
199608,8,-3
199609,105,33
199610,328,8
199611,609,-60
199612,851,-82
199701,965,15
199702,748,12
199703,516,-121
199704,451,64
199705,130,-34
199706,31,2
199707,4,-1
199708,8,-3
199709,33,-39
199710,328,8
199711,668,-1
199712,1023,90
199801,849,-101
199802,754,18
199803,646,9
199804,476,89
199805,137,-27
199806,27,-2
199807,2,-3
199808,8,-3
199809,26,-46
199810,285,-35
199811,562,-107
199812,845,-88
199901,778,-172
199902,611,-125
199903,525,-112
199904,411,24
199905,167,3
199906,34,5
199907,4,-1
199908,12,1
199909,71,-1
199910,288,-32
199911,505,-164
199912,941,8
200001,788,-162
200002,581,-155
200003,574,-63
200004,270,-117
200005,68,-96
200006,16,-13
200007,1,-4
200008,3,-8
200009,32,-40
200010,321,1
200011,812,143
200012,891,-42
200101,1004,54
200102,692,-44
200103,603,-34
200104,313,-74
200105,102,-62
200106,15,-14
200107,1,-4
200108,9,-2
200109,41,-31
200110,240,-80
200111,562,-107
200112,928,-5
200201,876,-74
200202,758,22
200203,623,-14
200204,219,-168
200205,113,-51
200206,7,-22
200207,2,-3
200208,3,-8
200209,59,-13
200210,345,25
200211,657,-12
200212,928,-5
200301,744,-206
200302,705,-31
200303,595,-42
200304,347,-40
200305,104,-60
200306,27,-2
200307,0,-5
200308,3,-8
200309,53,-19
