Arkansas, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,914,99
189502,908,278
189503,450,-8
189504,136,-43
189505,41,-4
189506,2,0
189507,0,0
189508,2,0
189509,4,-15
189510,308,148
189511,540,70
189512,745,0
189601,782,-33
189602,605,-25
189603,561,103
189604,53,-126
189605,6,-39
189606,1,-1
189607,0,0
189608,0,-2
189609,16,-3
189610,207,47
189611,421,-49
189612,645,-100
189701,859,44
189702,553,-77
189703,350,-108
189704,172,-7
189705,50,5
189706,1,-1
189707,0,0
189708,2,0
189709,5,-14
189710,78,-82
189711,483,13
189712,836,91
189801,678,-137
189802,593,-37
189803,399,-59
189804,243,64
189805,19,-26
189806,1,-1
189807,0,0
189808,2,0
189809,8,-11
189810,215,55
189811,575,105
189812,858,113
189901,852,37
189902,958,328
189903,500,42
189904,199,20
189905,13,-32
189906,2,0
189907,0,0
189908,0,-2
189909,23,4
189910,99,-61
189911,371,-99
189912,778,33
190001,718,-97
190002,740,110
190003,472,14
190004,152,-27
190005,39,-6
190006,2,0
190007,0,0
190008,0,-2
190009,3,-16
190010,94,-66
190011,444,-26
190012,680,-65
190101,668,-147
190102,720,90
190103,485,27
190104,251,72
190105,48,3
190106,0,-2
190107,0,0
190108,0,-2
190109,18,-1
190110,132,-28
190111,487,17
190112,863,118
190201,889,74
190202,885,255
190203,439,-19
190204,177,-2
190205,10,-35
190206,1,-1
190207,0,0
190208,0,-2
190209,56,37
190210,159,-1
190211,327,-143
190212,820,75
190301,829,14
190302,720,90
190303,384,-74
190304,191,12
190305,54,9
190306,21,19
190307,0,0
190308,2,0
190309,34,15
190310,199,39
190311,584,114
190312,842,97
190401,874,59
190402,625,-5
190403,380,-78
190404,294,115
190405,61,16
190406,4,2
190407,1,1
190408,2,0
190409,9,-10
190410,157,-3
190411,473,3
190412,762,17
190501,1051,236
190502,973,343
190503,325,-133
190504,186,7
190505,30,-15
190506,1,-1
190507,2,2
190508,1,-1
190509,12,-7
190510,191,31
190511,412,-58
190512,872,127
190601,749,-66
190602,701,71
190603,681,223
190604,124,-55
190605,39,-6
190606,3,1
190607,2,2
190608,3,1
190609,6,-13
190610,258,98
190611,507,37
190612,621,-124
190701,549,-266
190702,613,-17
190703,214,-244
190704,347,168
190705,116,71
190706,3,1
190707,0,0
190708,0,-2
190709,13,-6
190710,171,11
190711,538,68
190712,683,-62
190801,784,-31
190802,622,-8
190803,267,-191
190804,141,-38
190805,31,-14
190806,2,0
190807,0,0
190808,1,-1
190809,15,-4
190810,232,72
190811,395,-75
190812,635,-110
190901,703,-112
190902,539,-91
190903,441,-17
190904,185,6
190905,66,21
190906,2,0
190907,0,0
190908,0,-2
190909,10,-9
190910,149,-11
190911,242,-228
190912,963,218
191001,765,-50
191002,776,146
191003,240,-218
191004,216,37
191005,77,32
191006,5,3
191007,0,0
191008,1,-1
191009,4,-15
191010,144,-16
191011,460,-10
191012,806,61
191101,600,-215
191102,473,-157
191103,342,-116
191104,199,20
191105,23,-22
191106,0,-2
191107,0,0
191108,2,0
191109,2,-17
191110,151,-9
191111,597,127
191112,731,-14
191201,1014,199
191202,804,174
191203,652,194
191204,168,-11
191205,32,-13
191206,7,5
191207,0,0
191208,1,-1
191209,11,-8
191210,138,-22
191211,491,21
191212,780,35
191301,723,-92
191302,724,94
191303,540,82
191304,178,-1
191305,37,-8
191306,1,-1
191307,0,0
191308,0,-2
191309,24,5
191310,218,58
191311,299,-171
191312,714,-31
191401,648,-167
191402,742,112
191403,524,66
191404,193,14
191405,37,-8
191406,0,-2
191407,0,0
191408,2,0
191409,12,-7
191410,153,-7
191411,431,-39
191412,960,215
191501,867,52
191502,571,-59
191503,756,298
191504,119,-60
191505,39,-6
191506,3,1
191507,1,1
191508,12,10
191509,10,-9
191510,146,-14
191511,372,-98
191512,683,-62
191601,718,-97
191602,655,25
191603,415,-43
191604,223,44
191605,21,-24
191606,3,1
191607,0,0
191608,0,-2
191609,20,1
191610,153,-7
191611,440,-30
191612,773,28
191701,718,-97
191702,646,16
191703,438,-20
191704,198,19
191705,127,82
191706,3,1
191707,0,0
191708,4,2
191709,23,4
191710,299,139
191711,484,14
191712,978,233
191801,1223,408
191802,560,-70
191803,301,-157
191804,221,42
191805,17,-28
191806,0,-2
191807,0,0
191808,0,-2
191809,69,50
191810,103,-57
191811,512,42
191812,590,-155
191901,778,-37
191902,628,-2
191903,428,-30
191904,165,-14
191905,69,24
191906,2,0
191907,0,0
191908,1,-1
191909,10,-9
191910,81,-79
191911,470,0
191912,822,77
192001,848,33
192002,602,-28
192003,477,19
192004,219,40
192005,29,-16
192006,4,2
192007,0,0
192008,5,3
192009,10,-9
192010,124,-36
192011,578,108
192012,731,-14
192101,625,-190
192102,522,-108
192103,236,-222
192104,211,32
192105,34,-11
192106,1,-1
192107,0,0
192108,0,-2
192109,1,-18
192110,182,22
192111,365,-105
192112,621,-124
192201,861,46
192202,533,-97
192203,475,17
192204,134,-45
192205,28,-17
192206,1,-1
192207,0,0
192208,1,-1
192209,5,-14
192210,146,-14
192211,423,-47
192212,602,-143
192301,581,-234
192302,708,78
192303,532,74
