New York, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1313,80
189502,1301,207
189503,1086,152
189504,608,32
189505,226,-40
189506,17,-34
189507,29,22
189508,20,-2
189509,79,-39
189510,602,185
189511,722,-14
189512,1016,-83
189601,1332,99
189602,1101,7
189603,1165,231
189604,503,-73
189605,154,-112
189606,63,12
189607,4,-3
189608,13,-9
189609,153,35
189610,546,129
189611,649,-87
189612,1168,69
189701,1261,28
189702,1080,-14
189703,941,7
189704,565,-11
189705,273,7
189706,104,53
189707,1,-6
189708,39,17
189709,140,22
189710,408,-9
189711,774,38
189712,1066,-33
189801,1205,-28
189802,1045,-49
189803,762,-172
189804,653,77
189805,300,34
189806,34,-17
189807,1,-6
189808,10,-12
189809,74,-44
189810,394,-23
189811,807,71
189812,1139,40
189901,1266,33
189902,1216,122
189903,1037,103
189904,568,-8
189905,249,-17
189906,21,-30
189907,7,0
189908,15,-7
189909,160,42
189910,381,-36
189911,774,38
189912,1044,-55
190001,1201,-32
190002,1126,32
190003,1138,204
190004,573,-3
190005,282,16
190006,30,-21
190007,3,-4
190008,5,-17
190009,61,-57
190010,286,-131
190011,708,-28
190012,1127,28
190101,1248,15
190102,1293,199
190103,1007,73
190104,601,25
190105,307,41
190106,29,-22
190107,0,-7
190108,11,-11
190109,111,-7
190110,447,30
190111,929,193
190112,1143,44
190201,1306,73
190202,1181,87
190203,804,-130
190204,565,-11
190205,291,25
190206,90,39
190207,14,7
190208,43,21
190209,128,10
190210,432,15
190211,615,-121
190212,1214,115
190301,1249,16
190302,1041,-53
190303,685,-249
190304,566,-10
190305,204,-62
190306,149,98
190307,12,5
190308,90,68
190309,125,7
190310,417,0
190311,878,142
190312,1277,178
190401,1478,245
190402,1311,217
190403,1044,110
190404,688,112
190405,192,-74
190406,55,4
190407,12,5
190408,40,18
190409,158,40
190410,536,119
190411,894,158
190412,1328,229
190501,1368,135
190502,1322,228
190503,988,54
190504,605,29
190505,275,9
190506,64,13
190507,4,-3
190508,37,15
190509,130,12
190510,424,7
190511,829,93
190512,1031,-68
190601,1043,-190
190602,1117,23
190603,1134,200
190604,567,-9
190605,258,-8
190606,35,-16
190607,8,1
190608,7,-15
190609,73,-45
190610,438,21
190611,798,62
190612,1196,97
190701,1234,1
190702,1318,224
190703,912,-22
190704,726,150
190705,431,165
190706,95,44
190707,10,3
190708,40,18
190709,105,-13
190710,577,160
190711,799,63
190712,1027,-72
190801,1222,-11
190802,1219,125
190803,933,-1
190804,598,22
190805,222,-44
190806,31,-20
190807,3,-4
190808,30,8
190809,85,-33
190810,362,-55
190811,771,35
190812,1110,11
190901,1169,-64
190902,977,-117
190903,1015,81
190904,618,42
190905,295,29
190906,38,-13
190907,15,8
190908,36,14
190909,147,29
190910,529,112
190911,672,-64
190912,1210,111
191001,1222,-11
191002,1147,53
191003,785,-149
191004,470,-106
191005,302,36
191006,80,29
191007,4,-3
191008,32,10
191009,117,-1
191010,374,-43
191011,862,126
191012,1327,228
191101,1166,-67
191102,1123,29
191103,1039,105
191104,664,88
191105,140,-126
191106,59,8
191107,2,-5
191108,18,-4
191109,133,15
191110,472,55
191111,857,121
191112,951,-148
191201,1508,275
191202,1215,121
191203,1076,142
191204,608,32
191205,242,-24
191206,79,28
191207,5,-2
191208,54,32
191209,125,7
191210,377,-40
191211,712,-24
191212,976,-123
191301,960,-273
191302,1160,66
191303,817,-117
191304,529,-47
191305,298,32
191306,55,4
191307,8,1
191308,22,0
191309,161,43
191310,339,-78
191311,682,-54
191312,994,-105
191401,1246,13
191402,1313,219
191403,1041,107
191404,672,96
191405,209,-57
191406,68,17
191407,17,10
191408,17,-5
191409,139,21
191410,333,-84
191411,802,66
191412,1198,99
191501,1169,-64
191502,989,-105
191503,1055,121
191504,452,-124
191505,365,99
191506,81,30
191507,13,6
191508,41,19
191509,69,-49
191510,402,-15
191511,733,-3
191512,1153,54
191601,1100,-133
191602,1226,132
191603,1211,277
191604,630,54
191605,271,5
191606,125,74
191607,0,-7
191608,9,-13
191609,118,0
191610,414,-3
191611,789,53
191612,1140,41
191701,1239,6
191702,1231,137
191703,983,49
191704,644,68
191705,492,226
191706,66,15
191707,4,-3
191708,12,-10
191709,202,84
191710,564,147
191711,895,159
191712,1419,320
191801,1567,334
191802,1178,84
191803,908,-26
191804,593,17
191805,158,-108
191806,105,54
191807,11,4
191808,9,-13
191809,224,106
191810,378,-39
191811,729,-7
191812,1006,-93
191901,1110,-123
191902,1015,-79
191903,866,-68
191904,625,49
191905,265,-1
191906,19,-32
191907,4,-3
191908,42,20
191909,116,-2
191910,339,-78
191911,777,41
191912,1277,178
192001,1498,265
192002,1204,110
192003,948,14
192004,670,94
192005,343,77
192006,63,12
192007,22,15
192008,12,-10
192009,93,-25
192010,283,-134
192011,805,69
192012,1028,-71
192101,1165,-68
192102,1026,-68
192103,684,-250
192104,393,-183
192105,248,-18
192106,36,-15
192107,0,-7
192108,37,15
192109,50,-68
192110,425,8
192111,780,44
192112,1169,70
192201,1341,108
192202,1044,-50
192203,903,-31
192204,566,-10
192205,196,-70
192206,34,-17
192207,9,2
192208,30,8
192209,92,-26
192210,395,-22
192211,742,6
192212,1140,41
192301,1311,78
192302,1269,175
192303,1067,133
192304,605,29
192305,333,67
192306,29,-22
192307,17,10
192308,38,16
192309,99,-19
192310,448,31
192311,765,29
192312,877,-222
192401,1183,-50
192402,1219,125
192403,982,48
192404,645,69
192405,396,130
192406,83,32
192407,14,7
192408,25,3
192409,195,77
192410,438,21
192411,767,31
192412,1172,73
192501,1351,118
192502,923,-171
192503,829,-105
192504,543,-33
192505,362,96
192506,15,-36
192507,16,9
192508,23,1
192509,104,-14
192510,634,217
192511,798,62
192512,1109,10
192601,1214,-19
192602,1176,82
192603,1120,186
192604,729,153
192605,324,58
192606,122,71
192607,11,4
192608,17,-5
192609,144,26
192610,493,76
192611,768,32
192612,1282,183
192701,1277,44
192702,979,-115
192703,858,-76
192704,628,52
192705,346,80
192706,111,60
192707,11,4
192708,74,52
192709,111,-7
192710,338,-79
192711,647,-89
192712,1062,-37
192801,1159,-74
192802,1083,-11
192803,998,64
192804,664,88
192805,324,58
192806,96,45
192807,5,-2
192808,7,-15
192809,185,67
192810,379,-38
192811,715,-21
192812,984,-115
192901,1245,12
192902,1105,11
192903,807,-127
192904,574,-2
192905,289,23
192906,46,-5
192907,10,3
192908,45,23
192909,81,-37
192910,496,79
192911,757,21
192912,1130,31
193001,1194,-39
193002,985,-109
193003,949,15
193004,636,60
193005,219,-47
193006,21,-30
193007,9,2
193008,25,3
193009,64,-54
193010,468,51
193011,720,-16
193012,1096,-3
193101,1219,-14
193102,1064,-30
193103,922,-12
193104,551,-25
193105,254,-12
193106,42,-9
193107,1,-6
193108,15,-7
193109,50,-68
193110,321,-96
193111,557,-179
193112,948,-151
193201,880,-353
193202,989,-105
193203,1043,109
193204,648,72
193205,253,-13
193206,52,1
193207,16,9
193208,14,-8
193209,101,-17
193210,362,-55
193211,812,76
193212,1001,-98
193301,959,-274
193302,1010,-84
193303,992,58
193304,567,-9
193305,192,-74
193306,22,-29
193307,2,-5
193308,18,-4
193309,84,-34
193310,458,41
193311,900,164
193312,1190,91
193401,1158,-75
193402,1460,366
193403,1036,102
193404,589,13
193405,212,-54
193406,18,-33
193407,3,-4
193408,46,24
193409,70,-48
193410,499,82
193411,654,-82
193412,1166,67
193501,1325,92
193502,1123,29
193503,866,-68
193504,616,40
193505,365,99
193506,57,6
193507,1,-6
193508,15,-7
193509,173,55
193510,422,5
193511,659,-77
193512,1256,157
193601,1297,64
193602,1290,196
193603,778,-156
193604,659,83
193605,194,-72
193606,46,-5
193607,4,-3
193608,12,-10
193609,99,-19
193610,412,-5
193611,856,120
193612,993,-106
193701,974,-259
193702,992,-102
193703,1080,146
193704,621,45
193705,212,-54
193706,40,-11
193707,3,-4
193708,3,-19
193709,154,36
193710,476,59
193711,750,14
193712,1133,34
193801,1253,20
193802,992,-102
193803,821,-113
193804,502,-74
193805,304,38
193806,47,-4
193807,3,-4
193808,5,-17
193809,184,66
193810,365,-52
193811,700,-36
193812,1063,-36
193901,1231,-2
193902,1010,-84
193903,1016,82
193904,670,94
193905,209,-57
193906,37,-14
193907,6,-1
193908,4,-18
193909,104,-14
193910,435,18
193911,854,118
193912,1084,-15
194001,1475,242
194002,1110,16
194003,1126,192
194004,702,126
194005,275,9
194006,66,15
194007,8,1
194008,37,15
194009,157,39
194010,550,133
194011,775,39
194012,1030,-69
194101,1298,65
194102,1124,30
194103,1112,178
194104,430,-146
194105,221,-45
194106,34,-17
194107,2,-5
194108,33,11
194109,84,-34
194110,357,-60
194111,654,-82
194112,1007,-92
194201,1265,32
194202,1169,75
194203,840,-94
194204,484,-92
194205,180,-86
194206,37,-14
194207,7,0
194208,25,3
194209,114,-4
194210,391,-26
194211,737,1
194212,1230,131
194301,1312,79
194302,1064,-30
194303,978,44
194304,739,163
194305,261,-5
194306,8,-43
194307,4,-3
194308,18,-4
194309,136,18
194310,456,39
194311,808,72
194312,1209,110
194401,1164,-69
194402,1095,1
194403,1045,111
194404,676,100
194405,139,-127
194406,33,-18
194407,3,-4
194408,6,-16
194409,89,-29
194410,460,43
194411,755,19
194412,1211,112
194501,1456,223
194502,1074,-20
194503,651,-283
194504,430,-146
194505,354,88
194506,58,7
194507,8,1
194508,21,-1
194509,65,-53
194510,461,44
194511,711,-25
194512,1270,171
194601,1194,-39
194602,1122,28
194603,662,-272
194604,604,28
194605,293,27
194606,66,15
194607,9,2
194608,51,29
194609,80,-38
194610,306,-111
194611,619,-117
194612,1036,-63
194701,1092,-141
194702,1161,67
194703,1012,78
194704,608,32
194705,298,32
194706,70,19
194707,6,-1
194708,2,-20
194709,90,-28
