North Carolina, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,857,78
189502,959,313
189503,564,74
189504,270,51
189505,96,35
189506,1,-3
189507,0,0
189508,0,0
189509,2,-17
189510,305,105
189511,455,-17
189512,739,5
189601,843,64
189602,640,-6
189603,571,81
189604,116,-103
189605,8,-53
189606,3,-1
189607,0,0
189608,0,0
189609,15,-4
189610,266,66
189611,324,-148
189612,803,69
189701,894,115
189702,576,-70
189703,441,-49
189704,222,3
189705,85,24
189706,1,-3
189707,0,0
189708,0,0
189709,13,-6
189710,146,-54
189711,444,-28
189712,700,-34
189801,677,-102
189802,720,74
189803,373,-117
189804,337,118
189805,32,-29
189806,1,-3
189807,0,0
189808,0,0
189809,8,-11
189810,193,-7
189811,562,90
189812,738,4
189901,784,5
189902,804,158
189903,479,-11
189904,278,59
189905,34,-27
189906,1,-3
189907,0,0
189908,0,0
189909,21,2
189910,167,-33
189911,436,-36
189912,779,45
190001,790,11
190002,733,87
190003,581,91
190004,225,6
190005,48,-13
190006,2,-2
190007,0,0
190008,0,0
190009,2,-17
190010,107,-93
190011,412,-60
190012,768,34
190101,791,12
190102,778,132
190103,487,-3
190104,395,176
190105,52,-9
190106,2,-2
190107,0,0
190108,0,0
190109,23,4
190110,222,22
190111,669,197
190112,823,89
190201,882,103
190202,857,211
190203,493,3
190204,283,64
190205,24,-37
190206,2,-2
190207,0,0
190208,0,0
190209,32,13
190210,179,-21
190211,335,-137
190212,758,24
190301,812,33
190302,593,-53
190303,315,-175
190304,257,38
190305,46,-15
190306,16,12
190307,0,0
190308,0,0
190309,25,6
190310,224,24
190311,581,109
190312,906,172
190401,933,154
190402,783,137
190403,475,-15
190404,310,91
190405,66,5
190406,3,-1
190407,1,1
190408,0,0
190409,17,-2
190410,256,56
190411,555,83
190412,825,91
190501,931,152
190502,902,256
190503,412,-78
190504,227,8
190505,30,-31
190506,2,-2
190507,0,0
190508,1,1
190509,8,-11
190510,205,5
190511,486,14
190512,782,48
190601,693,-86
190602,689,43
190603,624,134
190604,168,-51
190605,62,1
190606,2,-2
190607,1,1
190608,0,0
190609,4,-15
190610,240,40
190611,478,6
190612,707,-27
190701,581,-198
190702,742,96
190703,336,-154
190704,423,204
190705,82,21
190706,19,15
190707,0,0
190708,0,0
190709,10,-9
190710,285,85
190711,541,69
190712,731,-3
190801,842,63
190802,769,123
190803,329,-161
190804,136,-83
190805,50,-11
190806,3,-1
190807,0,0
190808,0,0
190809,32,13
190810,231,31
190811,437,-35
190812,662,-72
190901,654,-125
190902,502,-144
190903,545,55
190904,191,-28
190905,80,19
190906,1,-3
190907,1,1
190908,0,0
190909,34,15
190910,289,89
190911,362,-110
190912,876,142
191001,787,8
191002,706,60
191003,336,-154
191004,200,-19
191005,89,28
191006,13,9
191007,0,0
191008,0,0
191009,8,-11
191010,142,-58
191011,625,153
191012,914,180
191101,659,-120
191102,552,-94
191103,540,50
191104,312,93
191105,32,-29
191106,1,-3
191107,0,0
191108,0,0
191109,1,-18
191110,143,-57
191111,568,96
191112,642,-92
191201,985,206
191202,786,140
191203,545,55
191204,167,-52
191205,45,-16
191206,8,4
191207,0,0
191208,1,1
191209,4,-15
191210,177,-23
191211,532,60
191212,666,-68
191301,545,-234
191302,635,-11
191303,397,-93
191304,233,14
191305,43,-18
191306,2,-2
191307,0,0
191308,0,0
191309,35,16
191310,202,2
191311,493,21
191312,684,-50
191401,713,-66
191402,761,115
191403,656,166
191404,214,-5
191405,43,-18
191406,0,-4
191407,0,0
191408,0,0
191409,34,15
191410,164,-36
191411,527,55
191412,836,102
191501,784,5
191502,590,-56
191503,743,253
191504,194,-25
191505,42,-19
191506,8,4
191507,0,0
191508,1,1
191509,8,-11
191510,142,-58
191511,433,-39
191512,823,89
191601,609,-170
191602,643,-3
191603,534,44
191604,256,37
191605,25,-36
191606,7,3
191607,0,0
191608,0,0
191609,30,11
191610,189,-11
191611,462,-10
191612,765,31
191701,677,-102
191702,674,28
191703,519,29
191704,176,-43
191705,130,69
191706,5,1
191707,0,0
191708,1,1
191709,45,26
191710,312,112
191711,590,118
191712,1031,297
191801,1071,292
191802,532,-114
191803,348,-142
191804,285,66
191805,24,-37
191806,3,-1
191807,2,2
191808,0,0
191809,62,43
191810,129,-71
191811,496,24
191812,613,-121
191901,719,-60
191902,680,34
191903,439,-51
191904,227,8
191905,47,-14
191906,2,-2
191907,0,0
191908,0,0
191909,15,-4
191910,41,-159
191911,438,-34
191912,787,53
192001,804,25
192002,752,106
192003,523,33
192004,248,29
192005,114,53
192006,4,0
192007,0,0
192008,1,1
192009,9,-10
192010,163,-37
192011,516,44
192012,729,-5
192101,736,-43
192102,583,-63
192103,247,-243
192104,165,-54
192105,90,29
192106,1,-3
192107,0,0
192108,0,0
192109,1,-18
192110,203,3
192111,376,-96
192112,643,-91
192201,821,42
192202,513,-133
192203,438,-52
192204,163,-56
192205,47,-14
192206,2,-2
192207,0,0
192208,1,1
192209,9,-10
192210,171,-29
192211,480,8
192212,627,-107
192301,693,-86
192302,701,55
192303,454,-36
192304,258,39
192305,80,19
192306,2,-2
192307,0,0
192308,0,0
192309,9,-10
192310,225,25
192311,530,58
192312,528,-206
192401,825,46
192402,727,81
192403,587,97
192404,255,36
192405,93,32
192406,1,-3
192407,1,1
192408,0,0
192409,46,27
192410,224,24
192411,471,-1
192412,705,-29
192501,800,21
192502,474,-172
192503,425,-65
192504,143,-76
192505,104,43
192506,0,-4
192507,0,0
192508,0,0
192509,0,-19
192510,227,27
192511,550,78
192512,777,43
192601,816,37
192602,571,-75
192603,668,178
192604,269,50
192605,54,-7
192606,3,-1
192607,0,0
192608,0,0
192609,1,-18
192610,154,-46
192611,568,96
192612,705,-29
192701,775,-4
192702,419,-227
192703,453,-37
192704,213,-6
192705,42,-19
192706,8,4
192707,0,0
192708,1,1
192709,9,-10
192710,153,-47
192711,372,-100
192712,710,-24
192801,779,0
192802,656,10
192803,501,11
192804,294,75
192805,90,29
192806,5,1
192807,0,0
192808,0,0
192809,42,23
192810,144,-56
192811,474,2
192812,732,-2
192901,739,-40
192902,707,61
192903,374,-116
192904,151,-68
192905,62,1
192906,6,2
192907,0,0
192908,0,0
192909,18,-1
192910,250,50
192911,433,-39
192912,721,-13
193001,714,-65
193002,517,-129
193003,557,67
193004,200,-19
193005,33,-28
193006,4,0
193007,0,0
193008,1,1
193009,3,-16
193010,277,77
193011,548,76
193012,873,139
193101,786,7
193102,609,-37
193103,649,159
193104,270,51
193105,80,19
193106,2,-2
193107,0,0
193108,0,0
193109,2,-17
193110,151,-49
193111,316,-156
193112,503,-231
193201,503,-276
193202,456,-190
193203,583,93
193204,235,16
193205,69,8
193206,2,-2
193207,0,0
193208,0,0
193209,15,-4
193210,184,-16
193211,539,67
193212,631,-103
193301,567,-212
193302,604,-42
193303,498,8
193304,228,9
193305,17,-44
193306,1,-3
193307,0,0
193308,0,0
193309,2,-17
193310,180,-20
193311,512,40
193312,563,-171
193401,675,-104
193402,846,200
193403,572,82
193404,192,-27
193405,57,-4
193406,1,-3
193407,0,0
193408,0,0
193409,7,-12
193410,208,8
193411,418,-54
193412,756,22
193501,763,-16
193502,630,-16
193503,337,-153
193504,249,30
193505,69,8
193506,3,-1
193507,0,0
193508,0,0
193509,16,-3
193510,187,-13
193511,390,-82
193512,974,240
193601,909,130
193602,772,126
193603,414,-76
193604,279,60
193605,30,-31
193606,1,-3
193607,0,0
193608,0,0
193609,7,-12
193610,149,-51
193611,522,50
193612,690,-44
193701,489,-290
193702,655,9
193703,555,65
193704,242,23
193705,55,-6
193706,1,-3
193707,0,0
193708,0,0
193709,34,15
193710,265,65
193711,568,96
193712,782,48
193801,779,0
193802,503,-143
193803,332,-158
193804,189,-30
193805,43,-18
193806,7,3
193807,0,0
193808,0,0
193809,14,-5
193810,206,6
193811,388,-84
193812,738,4
193901,691,-88
193902,484,-162
193903,400,-90
193904,226,7
193905,55,-6
193906,0,-4
193907,0,0
193908,0,0
193909,5,-14
193910,139,-61
193911,573,101
193912,720,-14
194001,1123,344
194002,665,19
194003,579,89
194004,265,46
194005,71,10
194006,2,-2
194007,0,0
194008,0,0
194009,30,11
194010,209,9
194011,479,7
194012,621,-113
194101,794,15
194102,793,147
194103,672,182
194104,154,-65
194105,34,-27
194106,2,-2
194107,0,0
194108,0,0
194109,5,-14
194110,72,-128
194111,454,-18
194112,651,-83
194201,818,39
194202,768,122
194203,448,-42
194204,161,-58
194205,38,-23
194206,1,-3
194207,0,0
194208,0,0
194209,13,-6
194210,175,-25
194211,419,-53
194212,780,46
194301,716,-63
194302,600,-46
194303,541,51
194304,259,40
194305,32,-29
194306,0,-4
194307,0,0
194308,0,0
194309,35,16
194310,231,31
194311,520,48
194312,753,19
194401,779,0
194402,572,-74
194403,527,37
194404,226,7
194405,22,-39
194406,1,-3
194407,0,0
194408,0,0
194409,11,-8
194410,215,15
194411,527,55
194412,880,146
194501,818,39
194502,601,-45
194503,238,-252
194504,128,-91
194505,95,34
194506,2,-2
194507,0,0
194508,0,0
194509,4,-15
194510,218,18
194511,428,-44
194512,911,177
194601,741,-38
194602,588,-58
194603,314,-176
194604,189,-30
194605,66,5
194606,3,-1
194607,0,0
194608,1,1
194609,19,0
194610,180,-20
194611,337,-135
194612,619,-115
194701,625,-154
194702,826,180
194703,733,243
194704,154,-65
194705,46,-15
194706,3,-1
194707,2,2
194708,0,0
194709,10,-9
194710,116,-84
194711,553,81
194712,778,44
194801,957,178
194802,649,3
194803,381,-109
194804,139,-80
194805,49,-12
194806,2,-2
194807,0,0
194808,0,0
194809,24,5
194810,286,86
194811,340,-132
194812,634,-100
194901,520,-259
194902,468,-178
194903,475,-15
194904,246,27
194905,49,-12
194906,2,-2
194907,0,0
194908,0,0
194909,34,15
194910,117,-83
194911,512,40
194912,664,-70
195001,448,-331
195002,552,-94
195003,561,71
195004,261,42
195005,38,-23
195006,2,-2
195007,1,1
195008,1,1
195009,25,6
195010,134,-66
195011,557,85
195012,883,149
195101,737,-42
195102,607,-39
195103,498,8
195104,240,21
195105,68,7
195106,2,-2
195107,0,0
195108,0,0
195109,14,-5
195110,132,-68
195111,591,119
195112,673,-61
195201,602,-177
195202,590,-56
195203,515,25
195204,208,-11
195205,43,-18
195206,0,-4
195207,0,0
195208,0,0
195209,23,4
195210,300,100
195211,471,-1
195212,759,25
195301,630,-149
195302,551,-95
195303,456,-34
