Ohio, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1352,160
189502,1316,294
189503,977,137
189504,440,-48
189505,193,-20
189506,12,-23
189507,11,7
189508,7,-10
189509,42,-51
189510,614,227
189511,764,32
189512,1011,-67
189601,1165,-27
189602,1011,-11
189603,1063,223
189604,289,-199
189605,78,-135
189606,29,-6
189607,3,-1
189608,15,-2
189609,144,51
189610,545,158
189611,644,-88
189612,1037,-41
189701,1276,84
189702,955,-67
189703,768,-72
189704,513,25
189705,297,84
189706,54,19
189707,0,-4
189708,34,17
189709,71,-22
189710,284,-103
189711,731,-1
189712,1042,-36
189801,1063,-129
189802,1015,-7
189803,672,-168
189804,567,79
189805,191,-22
189806,15,-20
189807,0,-4
189808,5,-12
189809,47,-46
189810,380,-7
189811,826,94
189812,1160,82
189901,1201,9
189902,1238,216
189903,910,70
189904,387,-101
189905,148,-65
189906,15,-20
189907,1,-3
189908,4,-13
189909,107,14
189910,287,-100
189911,672,-60
189912,1116,38
190001,1101,-91
190002,1135,113
190003,1043,203
190004,484,-4
190005,158,-55
190006,27,-8
190007,2,-2
190008,0,-17
190009,36,-57
190010,209,-178
190011,746,14
190012,1069,-9
190101,1161,-31
190102,1262,240
190103,839,-1
190104,577,89
190105,233,20
190106,18,-17
190107,0,-4
190108,6,-11
190109,93,0
190110,389,2
190111,865,133
190112,1193,115
190201,1226,34
190202,1240,218
190203,764,-76
190204,543,55
190205,158,-55
190206,55,20
190207,1,-3
190208,36,19
190209,112,19
190210,357,-30
190211,533,-199
190212,1139,61
190301,1228,36
190302,1014,-8
190303,610,-230
190304,488,0
190305,136,-77
190306,96,61
190307,4,0
190308,21,4
190309,83,-10
190310,386,-1
190311,873,141
190312,1318,240
190401,1428,236
190402,1216,194
190403,836,-4
190404,661,173
190405,197,-16
190406,37,2
190407,8,4
190408,36,19
190409,86,-7
190410,433,46
190411,776,44
190412,1189,111
190501,1366,174
190502,1279,257
190503,743,-97
190504,528,40
190505,195,-18
190506,30,-5
190507,3,-1
190508,12,-5
190509,85,-8
190510,423,36
190511,803,71
190512,1039,-39
190601,964,-228
190602,1097,75
190603,1094,254
190604,428,-60
190605,187,-26
190606,25,-10
190607,5,1
190608,2,-15
190609,38,-55
190610,426,39
190611,755,23
190612,1059,-19
190701,1066,-126
190702,1129,107
190703,648,-192
190704,720,232
190705,354,141
190706,77,42
190707,5,1
190708,29,12
190709,80,-13
190710,531,144
190711,821,89
190712,1030,-48
190801,1166,-26
190802,1085,63
190803,722,-118
190804,463,-25
190805,159,-54
190806,30,-5
190807,1,-3
190808,17,0
190809,47,-46
190810,380,-7
190811,735,3
190812,1031,-47
190901,1067,-125
190902,883,-139
190903,913,73
190904,519,31
190905,240,27
190906,24,-11
190907,12,8
190908,12,-5
190909,121,28
190910,542,155
190911,518,-214
190912,1267,189
191001,1208,16
191002,1144,122
191003,577,-263
191004,440,-48
191005,309,96
191006,70,35
191007,1,-3
191008,13,-4
191009,71,-22
191010,312,-75
191011,910,178
191012,1270,192
191101,1055,-137
191102,891,-131
191103,907,67
191104,558,70
191105,97,-116
191106,18,-17
191107,1,-3
191108,9,-8
191109,54,-39
191110,409,22
191111,866,134
191112,930,-148
191201,1516,324
191202,1233,211
191203,1052,212
191204,430,-58
191205,161,-52
191206,59,24
191207,2,-2
191208,33,16
191209,56,-37
191210,369,-18
191211,725,-7
191212,1005,-73
191301,955,-237
191302,1107,85
