Oregon, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,945,63
189502,718,14
189503,744,62
189504,521,-6
189505,399,25
189506,209,5
189507,108,29
189508,110,31
189509,310,133
189510,409,-9
189511,760,86
189512,857,14
189601,807,-75
189602,638,-66
189603,715,33
189604,652,125
189605,496,122
189606,219,15
189607,35,-44
189608,84,5
189609,227,50
189610,416,-2
189611,858,184
189612,746,-97
189701,896,14
189702,720,16
189703,864,182
189704,450,-77
189705,254,-120
189706,219,15
189707,127,48
189708,41,-38
189709,240,63
189710,432,14
189711,698,24
189712,797,-46
189801,924,42
189802,633,-71
189803,766,84
189804,498,-29
189805,395,21
189806,198,-6
189807,92,13
189808,52,-27
189809,178,1
189810,485,67
189811,736,62
189812,951,108
189901,817,-65
189902,812,108
189903,762,80
189904,595,68
189905,504,130
189906,275,71
189907,89,10
189908,190,111
189909,161,-16
189910,511,93
189911,536,-138
189912,816,-27
190001,770,-112
190002,722,18
190003,542,-140
190004,517,-10
190005,356,-18
190006,155,-49
190007,83,4
190008,139,60
190009,241,64
190010,492,74
190011,653,-21
190012,736,-107
190101,898,16
190102,738,34
190103,690,8
190104,587,60
190105,358,-16
190106,295,91
190107,137,58
190108,53,-26
190109,270,93
190110,292,-126
190111,605,-69
190112,832,-11
190201,918,36
190202,638,-66
190203,733,51
190204,571,44
190205,388,14
190206,230,26
190207,139,60
190208,91,12
190209,217,40
190210,399,-19
190211,707,33
190212,859,16
190301,830,-52
190302,822,118
190303,728,46
190304,603,76
190305,388,14
190306,168,-36
190307,150,71
190308,110,31
190309,222,45
190310,402,-16
190311,672,-2
190312,844,1
190401,852,-30
190402,772,68
190403,779,97
190404,459,-68
190405,361,-13
190406,208,4
190407,90,11
190408,72,-7
190409,178,1
190410,377,-41
190411,558,-116
190412,815,-28
190501,862,-20
190502,715,11
190503,567,-115
190504,456,-71
190505,420,46
190506,237,33
190507,55,-24
190508,89,10
190509,186,9
190510,512,94
190511,746,72
190512,881,38
190601,819,-63
190602,674,-30
190603,746,64
190604,441,-86
190605,394,20
190606,281,77
190607,21,-58
190608,67,-12
190609,185,8
190610,400,-18
190611,673,-1
190612,773,-70
190701,1022,140
190702,602,-102
190703,740,58
190704,516,-11
190705,340,-34
190706,223,19
190707,78,-1
190708,138,59
190709,195,18
190710,328,-90
190711,647,-27
190712,779,-64
190801,824,-58
190802,734,30
190803,712,30
190804,507,-20
190805,519,145
190806,264,60
190807,44,-35
190808,98,19
190809,225,48
190810,475,57
190811,619,-55
190812,922,79
190901,1014,132
190902,704,0
190903,688,6
190904,566,39
190905,470,96
190906,218,14
190907,146,67
190908,118,39
190909,171,-6
190910,428,10
190911,683,9
190912,1021,178
191001,982,100
191002,816,112
191003,560,-122
191004,466,-61
191005,304,-70
191006,267,63
191007,78,-1
191008,157,78
191009,254,77
191010,398,-20
191011,701,27
191012,814,-29
191101,959,77
191102,835,131
191103,644,-38
191104,616,89
191105,492,118
191106,279,75
191107,48,-31
191108,103,24
191109,301,124
191110,478,60
191111,703,29
191112,881,38
191201,842,-40
191202,652,-52
191203,745,63
191204,597,70
191205,365,-9
191206,205,1
191207,98,19
191208,122,43
191209,232,55
191210,551,133
191211,676,2
191212,866,23
191301,979,97
191302,816,112
191303,757,75
191304,560,33
191305,383,9
191306,219,15
191307,94,15
191308,64,-15
191309,206,29
191310,479,61
191311,666,-8
191312,890,47
191401,766,-116
191402,722,18
191403,582,-100
191404,488,-39
191405,310,-64
191406,256,52
191407,69,-10
191408,77,-2
191409,253,76
191410,377,-41
191411,672,-2
191412,1027,184
191501,915,33
191502,680,-24
191503,560,-122
191504,434,-93
191505,404,30
191506,227,23
191507,93,14
191508,42,-37
191509,213,36
191510,418,0
191511,712,38
191512,826,-17
191601,1155,273
191602,660,-44
191603,684,2
191604,518,-9
191605,494,120
191606,253,49
191607,161,82
191608,82,3
191609,202,25
191610,533,115
191611,811,137
191612,959,116
191701,965,83
191702,792,88
191703,878,196
191704,630,103
191705,470,96
191706,250,46
191707,57,-22
191708,53,-26
191709,178,1
191710,398,-20
191711,593,-81
191712,662,-181
191801,749,-133
191802,765,61
191803,697,15
191804,522,-5
191805,454,80
191806,116,-88
191807,92,13
191808,102,23
191809,115,-62
191810,385,-33
191811,707,33
191812,879,36
191901,879,-3
191902,758,54
191903,706,24
191904,519,-8
191905,404,30
191906,277,73
191907,79,0
191908,73,-6
191909,204,27
191910,566,148
191911,740,66
191912,1035,192
192001,896,14
192002,776,72
192003,752,70
192004,640,113
192005,468,94
192006,239,35
192007,87,8
192008,64,-15
192009,216,39
192010,492,74
192011,711,37
192012,810,-33
192101,875,-7
192102,673,-31
192103,664,-18
192104,570,43
192105,404,30
192106,169,-35
192107,112,33
192108,88,9
192109,274,97
