Pennsylvania, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1304,124
189502,1295,266
189503,982,128
189504,513,10
189505,192,-24
189506,10,-27
189507,23,17
189508,11,-8
189509,49,-56
189510,592,185
189511,717,-12
189512,999,-75
189601,1204,24
189602,1030,1
189603,1087,233
189604,386,-117
189605,98,-118
189606,41,4
189607,5,-1
189608,14,-5
189609,114,9
189610,526,119
189611,602,-127
189612,1112,38
189701,1247,67
189702,996,-33
189703,827,-27
189704,509,6
189705,244,28
189706,70,33
189707,2,-4
189708,33,14
189709,101,-4
189710,370,-37
189711,737,8
189712,1015,-59
189801,1092,-88
189802,1021,-8
189803,672,-182
189804,599,96
189805,200,-16
189806,17,-20
189807,1,-5
189808,7,-12
189809,60,-45
189810,375,-32
189811,789,60
189812,1112,38
189901,1225,45
189902,1221,192
189903,907,53
189904,463,-40
189905,177,-39
189906,13,-24
189907,5,-1
189908,9,-10
189909,134,29
189910,356,-51
189911,737,8
189912,1064,-10
190001,1139,-41
190002,1090,61
190003,1041,187
190004,508,5
190005,197,-19
190006,19,-18
190007,2,-4
190008,2,-17
190009,37,-68
190010,252,-155
190011,676,-53
190012,1082,8
190101,1154,-26
190102,1232,203
190103,874,20
190104,569,66
190105,236,20
190106,23,-14
190107,0,-6
190108,8,-11
190109,99,-6
190110,424,17
190111,897,168
190112,1142,68
190201,1244,64
190202,1184,155
190203,763,-91
190204,531,28
190205,197,-19
190206,54,17
190207,4,-2
190208,34,15
190209,122,17
190210,382,-25
190211,563,-166
190212,1163,89
190301,1207,27
190302,993,-36
190303,606,-248
190304,511,8
190305,157,-59
190306,96,59
190307,8,2
190308,42,23
190309,109,4
190310,381,-26
190311,873,144
190312,1257,183
190401,1419,239
190402,1232,203
190403,925,71
190404,625,122
190405,161,-55
190406,33,-4
190407,10,4
190408,33,14
190409,106,1
190410,479,72
190411,830,101
190412,1267,193
190501,1313,133
190502,1275,246
190503,836,-18
190504,524,21
190505,180,-36
190506,31,-6
190507,4,-2
190508,21,2
190509,102,-3
190510,406,-1
190511,815,86
190512,1016,-58
190601,978,-202
190602,1065,36
190603,1058,204
190604,472,-31
190605,192,-24
190606,21,-16
190607,6,0
190608,3,-16
190609,49,-56
190610,424,17
190611,744,15
190612,1101,27
190701,1135,-45
190702,1233,204
190703,769,-85
190704,670,167
190705,345,129
190706,101,64
190707,7,1
190708,37,18
190709,87,-18
190710,558,151
190711,792,63
190712,1031,-43
190801,1167,-13
190802,1149,120
190803,778,-76
190804,479,-24
190805,176,-40
190806,26,-11
190807,2,-4
190808,24,5
190809,84,-21
190810,360,-47
190811,772,43
190812,1084,10
190901,1111,-69
190902,844,-185
190903,942,88
190904,523,20
190905,219,3
190906,26,-11
190907,15,9
190908,25,6
190909,128,23
190910,544,137
190911,623,-106
190912,1221,147
191001,1218,38
191002,1093,64
191003,665,-189
191004,398,-105
191005,269,53
191006,68,31
191007,2,-4
191008,22,3
191009,72,-33
191010,345,-62
191011,881,152
191012,1309,235
191101,1076,-104
191102,1003,-26
191103,947,93
191104,590,87
191105,97,-119
191106,30,-7
191107,1,-5
191108,12,-7
191109,87,-18
191110,423,16
191111,845,116
191112,930,-144
191201,1468,288
191202,1171,142
191203,973,119
191204,470,-33
191205,174,-42
191206,59,22
191207,6,0
191208,41,22
191209,76,-29
191210,361,-46
191211,704,-25
191212,997,-77
191301,909,-271
191302,1063,34
191303,721,-133
191304,457,-46
191305,232,16
191306,31,-6
191307,6,0
191308,15,-4
191309,132,27
191310,344,-63
191311,679,-50
191312,982,-92
191401,1129,-51
191402,1233,204
191403,1000,146
191404,552,49
191405,165,-51
191406,31,-6
191407,8,2
191408,11,-8
191409,156,51
191410,309,-98
191411,771,42
191412,1203,129
191501,1158,-22
191502,916,-113
191503,1020,166
191504,365,-138
191505,294,78
191506,61,24
191507,9,3
191508,33,14
191509,61,-44
191510,369,-38
191511,742,13
191512,1139,65
191601,1010,-170
191602,1128,99
191603,1091,237
191604,535,32
191605,174,-42
191606,95,58
191607,1,-5
191608,7,-12
191609,123,18
191610,418,11
191611,750,21
191612,1129,55
191701,1175,-5
191702,1114,85
191703,883,29
191704,511,8
191705,388,172
191706,42,5
191707,5,-1
191708,11,-8
191709,198,93
191710,569,162
191711,852,123
191712,1369,295
191801,1537,357
191802,1062,33
191803,757,-97
191804,522,19
191805,98,-118
191806,53,16
191807,11,5
191808,2,-17
191809,202,97
191810,321,-86
191811,733,4
191812,921,-153
191901,1066,-114
191902,948,-81
191903,756,-98
191904,517,14
191905,199,-17
191906,9,-28
191907,3,-3
191908,32,13
191909,89,-16
191910,269,-138
191911,740,11
191912,1252,178
192001,1387,207
192002,1119,90
192003,837,-17
192004,580,77
192005,284,68
192006,39,2
192007,17,11
192008,14,-5
192009,93,-12
192010,286,-121
192011,788,59
192012,1026,-48
192101,1104,-76
192102,938,-91
192103,553,-301
192104,317,-186
192105,215,-1
192106,18,-19
192107,0,-6
192108,38,19
192109,34,-71
192110,427,20
192111,729,0
192112,1087,13
192201,1287,107
192202,941,-88
192203,817,-37
192204,478,-25
192205,151,-65
192206,18,-19
192207,6,0
192208,27,8
192209,68,-37
192210,360,-47
192211,712,-17
192212,1085,11
192301,1162,-18
192302,1157,128
192303,895,41
192304,523,20
192305,246,30
192306,13,-24
192307,10,4
192308,26,7
192309,87,-18
192310,469,62
192311,775,46
192312,835,-239
192401,1174,-6
192402,1097,68
192403,921,67
192404,575,72
192405,334,118
192406,59,22
192407,15,9
192408,20,1
192409,190,85
192410,416,9
192411,772,43
192412,1115,41
192501,1287,107
192502,871,-158
192503,785,-69
192504,444,-59
192505,329,113
192506,10,-27
192507,11,5
192508,23,4
192509,52,-53
192510,617,210
192511,814,85
192512,1101,27
192601,1203,23
192602,1054,25
192603,1025,171
192604,632,129
192605,235,19
192606,89,52
192607,6,0
192608,9,-10
192609,105,0
192610,447,40
192611,792,63
192612,1215,141
192701,1212,32
192702,882,-147
192703,760,-94
192704,565,62
192705,258,42
192706,92,55
192707,7,1
192708,72,53
192709,92,-13
192710,339,-68
192711,619,-110
192712,1039,-35
192801,1137,-43
192802,1011,-18
192803,909,55
192804,606,103
192805,258,42
192806,67,30
192807,4,-2
192808,5,-14
192809,183,78
192810,363,-44
192811,692,-37
192812,996,-78
192901,1205,25
192902,1067,38
192903,699,-155
192904,443,-60
192905,243,27
192906,37,0
192907,7,1
192908,42,23
192909,78,-27
192910,489,82
192911,749,20
192912,1058,-16
193001,1169,-11
193002,884,-145
193003,868,14
193004,548,45
193005,170,-46
193006,23,-14
193007,4,-2
193008,18,-1
193009,43,-62
193010,477,70
193011,735,6
193012,1122,48
193101,1135,-45
193102,961,-68
193103,922,68
193104,524,21
193105,207,-9
193106,29,-8
193107,1,-5
193108,11,-8
193109,32,-73
193110,332,-75
193111,531,-198
193112,879,-195
193201,809,-371
193202,870,-159
193203,1005,151
193204,569,66
193205,206,-10
193206,30,-7
193207,7,1
193208,10,-9
193209,83,-22
193210,386,-21
193211,816,87
193212,1033,-41
193301,922,-258
193302,987,-42
193303,920,66
193304,470,-33
193305,155,-61
193306,11,-26
193307,3,-3
193308,13,-6
193309,64,-41
193310,450,43
193311,842,113
193312,1088,14
193401,1069,-111
193402,1353,324
193403,982,128
193404,520,17
193405,159,-57
193406,5,-32
193407,1,-5
193408,32,13
193409,70,-35
193410,458,51
193411,654,-75
193412,1104,30
193501,1231,51
193502,1059,30
193503,731,-123
193504,564,61
193505,308,92
193506,39,2
193507,0,-6
193508,11,-8
193509,151,46
193510,414,7
193511,653,-76
193512,1239,165
193601,1331,151
193602,1258,229
193603,729,-125
193604,596,93
193605,145,-71
193606,30,-7
193607,2,-4
193608,5,-14
193609,68,-37
193610,387,-20
193611,837,108
193612,988,-86
193701,926,-254
193702,976,-53
193703,985,131
193704,550,47
193705,186,-30
193706,20,-17
193707,5,-1
193708,4,-15
193709,155,50
193710,483,76
193711,771,42
193712,1129,55
193801,1158,-22
193802,904,-125
193803,736,-118
193804,444,-59
193805,239,23
193806,42,5
193807,2,-4
193808,4,-15
193809,142,37
193810,379,-28
193811,699,-30
193812,1058,-16
193901,1136,-44
193902,911,-118
193903,859,5
193904,588,85
193905,145,-71
193906,18,-19
193907,7,1
193908,6,-13
193909,79,-26
193910,400,-7
193911,808,79
193912,1011,-63
194001,1472,292
194002,1033,4
194003,1041,187
194004,635,132
194005,230,14
194006,35,-2
194007,5,-1
194008,33,14
194009,162,57
194010,519,112
194011,756,27
194012,951,-123
194101,1212,32
194102,1109,80
194103,1062,208
194104,345,-158
194105,176,-40
194106,28,-9
194107,2,-4
194108,29,10
194109,70,-35
194110,289,-118
194111,672,-57
194112,954,-120
194201,1215,35
194202,1108,79
194203,799,-55
194204,397,-106
194205,141,-75
194206,24,-13
194207,5,-1
194208,23,4
194209,105,0
194210,378,-29
194211,726,-3
194212,1192,118
194301,1175,-5
194302,1000,-29
194303,883,29
194304,669,166
194305,184,-32
194306,4,-33
194307,3,-3
194308,12,-7
194309,137,32
194310,473,66
194311,807,78
194312,1148,74
194401,1101,-79
194402,1005,-24
194403,956,102
194404,587,84
194405,89,-127
194406,17,-20
194407,3,-3
194408,7,-12
194409,95,-10
194410,451,44
194411,731,2
194412,1203,129
194501,1384,204
194502,1016,-13
194503,542,-312
194504,391,-112
194505,288,72
194506,38,1
194507,6,0
194508,20,1
194509,59,-46
194510,450,43
194511,705,-24
194512,1239,165
194601,1126,-54
194602,1007,-22
194603,587,-267
194604,523,20
194605,221,5
194606,49,12
194607,7,1
194608,54,35
194609,85,-20
194610,304,-103
194611,628,-101
194612,992,-82
194701,992,-188
194702,1162,133
194703,1018,164
194704,482,-21
194705,237,21
194706,50,13
194707,12,6
194708,2,-17
194709,86,-19
194710,237,-170
194711,812,83
194712,1118,44
194801,1405,225
194802,1063,34
194803,777,-77
194804,452,-51
194805,232,16
194806,36,-1
194807,4,-2
194808,16,-3
194809,98,-7
194810,473,66
194811,588,-141
194812,1027,-47
194901,948,-232
194902,857,-172
194903,817,-37
194904,511,8
194905,192,-24
194906,8,-29
194907,0,-6
194908,8,-11
194909,174,69
194910,272,-135
194911,754,25
194912,992,-82
195001,856,-324
195002,1012,-17
195003,995,141
195004,623,120
195005,231,15
195006,46,9
195007,15,9
195008,23,4
195009,160,55
195010,344,-63
195011,747,18
195012,1185,111
195101,1081,-99
195102,963,-66
195103,848,-6
195104,510,7
195105,196,-20
195106,34,-3
195107,5,-1
195108,20,1
195109,113,8
195110,340,-67
195111,877,148
195112,1040,-34
195201,1038,-142
195202,913,-116
195203,896,42
195204,449,-54
195205,266,50
195206,12,-25
195207,1,-5
195208,14,-5
195209,105,0
195210,530,123
195211,695,-34
195212,1002,-72
195301,998,-182
195302,878,-151
195303,793,-61
195304,530,27
195305,148,-68
195306,22,-15
195307,4,-2
195308,16,-3
195309,96,-9
195310,354,-53
195311,714,-15
195312,953,-121
195401,1196,16
195402,832,-197
195403,869,15
195404,385,-118
195405,289,73
195406,24,-13
195407,8,2
195408,26,7
195409,89,-16
195410,314,-93
195411,769,40
195412,1085,11
195501,1214,34
195502,1007,-22
195503,815,-39
195504,382,-121
195505,155,-61
195506,66,29
195507,0,-6
195508,2,-17
195509,107,2
195510,359,-48
195511,810,81
195512,1214,140
195601,1183,3
195602,930,-99
195603,949,95
195604,582,79
195605,275,59
195606,30,-7
195607,17,11
195608,23,4
195609,175,70
195610,374,-33
195611,724,-5
195612,871,-203
195701,1275,95
195702,899,-130
195703,847,-7
195704,431,-72
195705,199,-17
195706,12,-25
195707,7,1
195708,29,10
195709,86,-19
195710,492,85
195711,695,-34
195712,958,-116
195801,1203,23
195802,1190,161
195803,927,73
195804,460,-43
195805,263,47
195806,93,56
195807,3,-3
195808,22,3
195809,119,14
195810,438,31
195811,686,-43
195812,1305,231
195901,1226,46
195902,1019,-10
195903,894,40
195904,440,-63
195905,136,-80
195906,27,-10
195907,3,-3
195908,2,-17
195909,52,-53
195910,327,-80
195911,772,43
195912,996,-78
196001,1085,-95
196002,968,-61
196003,1181,327
196004,366,-137
196005,254,38
196006,40,3
196007,17,11
196008,9,-10
196009,83,-22
196010,426,19
196011,687,-42
196012,1302,228
196101,1368,188
196102,972,-57
196103,820,-34
196104,628,125
196105,305,89
196106,41,4
196107,6,0
196108,10,-9
196109,29,-76
196110,349,-58
196111,678,-51
196112,1101,27
196201,1219,39
196202,1071,42
196203,897,43
196204,503,0
196205,140,-76
196206,26,-11
196207,14,8
196208,21,2
196209,194,89
196210,391,-16
196211,808,79
196212,1231,157
196301,1318,138
196302,1240,211
196303,799,-55
196304,485,-18
196305,264,48
196306,35,-2
196307,8,2
196308,39,20
196309,183,78
196310,292,-115
196311,626,-103
196312,1283,209
196401,1151,-29
196402,1098,69
196403,821,-33
196404,540,37
196405,166,-50
196406,35,-2
196407,3,-3
196408,40,21
196409,106,1
196410,500,93
196411,642,-87
196412,1019,-55
196501,1260,80
196502,1030,1
196503,960,106
196504,577,74
