Rhode Island, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1212,39
189502,1215,173
189503,986,90
189504,612,34
189505,230,-52
189506,30,-32
189507,32,25
189508,17,-6
189509,75,-41
189510,574,168
189511,651,-54
189512,964,-92
189601,1296,123
189602,1042,0
189603,1073,177
189604,528,-50
189605,176,-106
189606,81,19
189607,6,-1
189608,15,-8
189609,149,33
189610,527,121
189611,615,-90
189612,1150,94
189701,1215,42
189702,1047,5
189703,921,25
189704,567,-11
189705,283,1
189706,134,72
189707,7,0
189708,37,14
189709,154,38
189710,415,9
189711,768,63
189712,1035,-21
189801,1178,5
189802,977,-65
189803,747,-149
189804,675,97
189805,319,37
189806,61,-1
189807,7,0
189808,9,-14
189809,72,-44
189810,394,-12
189811,759,54
189812,1094,38
189901,1181,8
189902,1165,123
189903,995,99
189904,591,13
189905,289,7
189906,25,-37
189907,9,2
189908,27,4
189909,159,43
189910,388,-18
189911,768,63
189912,1001,-55
190001,1159,-14
190002,1072,30
190003,1032,136
190004,576,-2
190005,335,53
190006,50,-12
190007,0,-7
190008,11,-12
190009,75,-41
190010,314,-92
190011,684,-21
190012,1076,20
190101,1221,48
190102,1232,190
190103,949,53
190104,636,58
190105,347,65
190106,50,-12
190107,0,-7
190108,15,-8
190109,91,-25
190110,428,22
190111,909,204
190112,1097,41
190201,1249,76
190202,1092,50
190203,753,-143
190204,567,-11
190205,307,25
190206,97,35
190207,37,30
190208,50,27
190209,129,13
190210,422,16
190211,627,-78
190212,1184,128
190301,1184,11
190302,1008,-34
190303,694,-202
190304,579,1
190305,236,-46
190306,196,134
190307,11,4
190308,97,74
190309,129,13
190310,415,9
190311,837,132
190312,1234,178
190401,1410,237
190402,1254,212
190403,1001,105
190404,660,82
190405,202,-80
190406,105,43
190407,13,6
190408,48,25
190409,154,38
190410,530,124
190411,897,192
190412,1305,249
190501,1302,129
190502,1249,207
190503,952,56
190504,609,31
190505,297,15
190506,93,31
190507,5,-2
190508,48,25
190509,159,43
190510,422,16
190511,792,87
190512,1008,-48
190601,1011,-162
190602,1042,0
190603,1076,180
190604,591,13
190605,274,-8
190606,66,4
190607,15,8
190608,10,-13
190609,93,-23
190610,418,12
190611,774,69
190612,1175,119
190701,1221,48
190702,1285,243
190703,899,3
190704,720,142
190705,459,177
190706,129,67
190707,8,1
190708,40,17
190709,105,-11
190710,564,158
190711,744,39
190712,980,-76
190801,1138,-35
190802,1148,106
190803,896,0
190804,606,28
190805,242,-40
190806,42,-20
190807,0,-7
190808,38,15
190809,102,-14
190810,344,-62
190811,753,48
190812,1070,14
190901,1128,-45
190902,960,-82
190903,970,74
190904,621,43
190905,332,50
190906,52,-10
190907,21,14
190908,40,17
190909,146,30
190910,480,74
190911,651,-54
190912,1172,116
191001,1125,-48
191002,1070,28
191003,797,-99
191004,462,-116
191005,316,34
191006,91,29
191007,0,-7
191008,45,22
191009,139,23
191010,384,-22
191011,822,117
191012,1271,215
191101,1104,-69
191102,1131,89
191103,1017,121
191104,684,106
191105,189,-93
191106,77,15
191107,0,-7
191108,35,12
191109,154,38
191110,477,71
191111,783,78
191112,908,-148
191201,1438,265
191202,1151,109
191203,992,96
191204,606,28
191205,283,1
191206,71,9
191207,8,1
191208,54,31
191209,144,28
191210,363,-43
191211,702,-3
191212,936,-120
191301,905,-268
191302,1112,70
191303,794,-102
191304,570,-8
191305,353,71
191306,79,17
191307,6,-1
191308,29,6
191309,186,70
191310,322,-84
191311,657,-48
191312,946,-110
191401,1194,21
191402,1207,165
191403,980,84
191404,663,85
191405,230,-52
191406,76,14
191407,41,34
191408,24,1
191409,131,15
191410,335,-71
191411,768,63
191412,1153,97
191501,1104,-69
191502,958,-84
191503,998,102
191504,507,-71
191505,353,71
191506,103,41
191507,18,11
191508,44,21
191509,74,-42
191510,409,3
191511,720,15
191512,1097,41
191601,1054,-119
191602,1159,117
191603,1153,257
191604,648,70
191605,286,4
191606,134,72
191607,7,0
191608,14,-9
191609,109,-7
191610,384,-22
191611,759,54
191612,1094,38
191701,1159,-14
191702,1154,112
191703,946,50
191704,675,97
191705,499,217
191706,69,7
191707,0,-7
191708,8,-15
191709,228,112
191710,512,106
191711,873,168
191712,1330,274
191801,1445,272
191802,1134,92
191803,927,31
191804,588,10
191805,176,-106
191806,114,52
191807,10,3
191808,14,-9
191809,191,75
191810,366,-40
191811,720,15
191812,1048,-8
191901,1091,-82
191902,1014,-28
191903,852,-44
191904,630,52
191905,277,-5
191906,50,-12
191907,0,-7
191908,54,31
191909,120,4
191910,360,-46
191911,744,39
191912,1231,175
192001,1432,259
192002,1151,109
192003,905,9
192004,666,88
192005,381,99
192006,99,37
192007,15,8
192008,12,-11
192009,96,-20
192010,287,-119
192011,801,96
192012,1011,-45
192101,1135,-38
192102,997,-45
192103,691,-205
192104,447,-131
192105,297,15
192106,55,-7
192107,0,-7
192108,52,29
192109,55,-61
192110,409,3
192111,777,72
192112,1132,76
192201,1274,101
192202,1028,-14
192203,871,-25
192204,576,-2
192205,216,-66
192206,38,-24
192207,15,8
192208,33,10
192209,107,-9
192210,403,-3
192211,756,51
192212,1153,97
192301,1302,129
192302,1260,218
192303,1063,167
192304,597,19
192305,329,47
192306,40,-22
192307,29,22
192308,57,34
192309,107,-9
192310,431,25
192311,735,30
192312,877,-179
192401,1132,-41
192402,1173,131
192403,961,65
192404,624,46
192405,375,93
192406,103,41
192407,10,3
192408,25,2
192409,189,73
192410,446,40
192411,732,27
192412,1147,91
192501,1262,89
192502,851,-191
192503,812,-84
192504,552,-26
192505,347,65
192506,20,-42
192507,15,8
192508,26,3
192509,118,2
192510,601,195
192511,756,51
192512,1063,7
192601,1162,-11
192602,1128,86
192603,1048,152
192604,696,118
192605,353,71
192606,149,87
192607,17,10
192608,21,-2
192609,170,54
192610,477,71
192611,714,9
192612,1243,187
192701,1194,21
192702,966,-76
192703,828,-68
192704,621,43
192705,366,84
192706,124,62
192707,11,4
192708,66,43
192709,115,-1
192710,322,-84
192711,591,-114
192712,995,-61
192801,1104,-69
192802,1064,22
192803,967,71
192804,660,82
192805,353,71
192806,105,43
192807,6,-1
192808,6,-17
192809,183,67
192810,388,-18
192811,714,9
192812,958,-98
192901,1215,42
192902,1033,-9
192903,812,-84
192904,606,28
192905,265,-17
192906,52,-10
192907,12,5
192908,44,21
192909,98,-18
192910,477,71
192911,723,18
192912,1104,48
193001,1138,-35
193002,952,-90
193003,896,0
193004,606,28
193005,216,-66
193006,11,-51
193007,0,-7
193008,27,4
193009,39,-77
193010,471,65
193011,705,0
193012,1070,14
193101,1175,2
193102,1036,-6
193103,890,-6
193104,558,-20
193105,259,-23
193106,63,1
193107,0,-7
193108,12,-11
193109,55,-61
193110,322,-84
193111,582,-123
193112,939,-117
193201,884,-289
193202,991,-51
193203,970,74
193204,612,34
193205,265,-17
193206,77,15
193207,16,9
193208,16,-7
193209,113,-3
193210,366,-40
193211,756,51
193212,970,-86
193301,936,-237
193302,958,-84
193303,958,62
193304,612,34
193305,211,-71
193306,45,-17
193307,15,8
193308,18,-5
193309,91,-25
193310,440,34
193311,864,159
193312,1190,134
193401,1141,-32
193402,1394,352
193403,986,90
193404,582,4
193405,227,-55
193406,40,-22
193407,0,-7
193408,52,29
193409,74,-42
193410,521,115
193411,651,-54
193412,1135,79
193501,1308,135
193502,1089,47
193503,837,-59
193504,606,28
193505,353,71
193506,77,15
193507,0,-7
193508,18,-5
193509,156,40
193510,440,34
193511,624,-81
193512,1212,156
193601,1237,64
193602,1229,187
193603,738,-158
193604,663,85
193605,227,-55
193606,63,1
193607,16,9
193608,19,-4
193609,118,2
193610,403,-3
193611,828,123
193612,967,-89
193701,911,-262
193702,918,-124
193703,1020,124
193704,642,64
193705,245,-37
193706,53,-9
193707,7,0
193708,0,-23
193709,154,38
193710,474,68
193711,732,27
193712,1113,57
193801,1228,55
193802,983,-59
193803,852,-44
193804,546,-32
193805,353,71
193806,69,7
193807,6,-1
193808,6,-17
193809,151,35
193810,341,-65
193811,660,-45
193812,1023,-33
193901,1203,30
193902,944,-98
193903,995,99
193904,666,88
193905,274,-8
193906,72,10
193907,10,3
193908,0,-23
193909,131,15
193910,406,0
193911,822,117
193912,1045,-11
194001,1401,228
194002,1039,-3
194003,1054,158
194004,693,115
194005,310,28
194006,87,25
194007,9,2
194008,58,35
194009,151,35
194010,546,140
194011,741,36
194012,986,-70
194101,1256,83
194102,1053,11
194103,1035,139
194104,453,-125
194105,247,-35
194106,53,-9
194107,8,1
194108,31,8
194109,91,-25
194110,353,-53
194111,621,-84
194112,961,-95
194201,1218,45
194202,1086,44
194203,806,-90
194204,528,-50
194205,171,-111
194206,52,-10
194207,9,2
194208,25,2
194209,100,-16
194210,381,-25
194211,720,15
194212,1190,134
194301,1240,67
194302,1030,-12
194303,942,46
194304,723,145
194305,271,-11
194306,15,-47
194307,0,-7
194308,19,-4
194309,120,4
194310,403,-3
194311,729,24
194312,1175,119
194401,1122,-51
194402,1047,5
194403,986,90
194404,651,73
194405,142,-140
194406,49,-13
194407,0,-7
194408,6,-17
194409,80,-36
194410,422,16
194411,732,27
194412,1119,63
194501,1333,160
194502,1033,-9
194503,645,-251
194504,426,-152
194505,356,74
194506,58,-4
194507,6,-1
194508,26,3
194509,48,-68
194510,450,44
194511,666,-39
194512,1221,165
194601,1159,-14
194602,1092,50
194603,654,-242
194604,627,49
194605,310,28
194606,66,4
194607,15,8
194608,54,31
194609,78,-38
194610,299,-107
194611,597,-108
194612,998,-58
194701,1051,-122
194702,1053,11
194703,936,40
194704,612,34
194705,316,34
194706,112,50
194707,0,-7
194708,8,-15
194709,100,-16
194710,235,-171
194711,789,84
194712,1135,79
194801,1348,175
194802,1137,95
194803,896,0
194804,576,-2
194805,338,56
194806,99,37
194807,0,-7
194808,8,-15
194809,89,-27
194810,422,16
194811,552,-153
194812,973,-83
194901,967,-206
194902,890,-152
194903,859,-37
194904,495,-83
194905,256,-26
194906,18,-44
194907,0,-7
194908,6,-17
194909,131,15
194910,284,-122
194911,729,24
194912,955,-101
195001,918,-255
195002,1072,30
195003,1020,124
195004,639,61
195005,350,68
195006,63,1
195007,7,0
195008,26,3
195009,183,67
195010,347,-59
195011,615,-90
195012,998,-58
195101,1026,-147
195102,902,-140
195103,849,-47
195104,492,-86
195105,259,-23
195106,76,14
195107,0,-7
195108,19,-4
195109,98,-18
195110,372,-34
195111,756,51
195112,980,-76
195201,1038,-135
195202,955,-87
195203,911,15
195204,489,-89
195205,304,22
195206,27,-35
195207,0,-7
195208,12,-11
195209,87,-29
195210,462,56
195211,681,-24
195212,976,-80
195301,998,-175
195302,882,-160
195303,831,-65
195304,543,-35
195305,242,-40
195306,30,-32
195307,8,1
195308,17,-6
195309,80,-36
195310,366,-40
195311,603,-102
195312,849,-207
195401,1228,55
195402,848,-194
195403,865,-31
195404,522,-56
195405,329,47
195406,50,-12
195407,13,6
195408,40,17
195409,141,25
195410,267,-139
195411,690,-15
195412,1004,-52
195501,1190,17
195502,972,-70
195503,896,0
195504,534,-44
195505,205,-77
195506,74,12
195507,0,-7
195508,5,-18
195509,124,8
195510,360,-46
195511,759,54
195512,1252,196
195601,1122,-51
195602,955,-87
195603,1029,133
195604,669,91
195605,397,115
195606,43,-19
195607,13,6
195608,16,-7
195609,186,70
195610,412,6
195611,672,-33
195612,921,-135
195701,1345,172
195702,904,-138
195703,849,-47
195704,504,-74
195705,245,-37
195706,14,-48
195707,5,-2
195708,38,15
195709,80,-36
195710,422,16
195711,618,-87
195712,865,-191
195801,1122,-51
195802,1159,117
195803,874,-22
195804,549,-29
195805,353,71
195806,131,69
195807,7,0
195808,18,-5
195809,122,6
195810,459,53
195811,648,-57
195812,1268,212
195901,1184,11
195902,1112,70
195903,924,28
195904,522,-56
195905,194,-88
195906,79,17
