South Carolina, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,705,55
189502,813,292
189503,434,60
189504,160,29
189505,36,13
189506,0,0
189507,0,0
189508,0,0
189509,0,-3
189510,173,46
189511,358,-13
189512,641,28
189601,710,60
189602,509,-12
189603,435,61
189604,50,-81
189605,0,-23
189606,0,0
189607,0,0
189608,0,0
189609,0,-3
189610,150,23
189611,227,-144
189612,677,64
189701,754,104
189702,457,-64
189703,325,-49
189704,132,1
189705,29,6
189706,0,0
189707,0,0
189708,0,0
189709,0,-3
189710,81,-46
189711,334,-37
189712,588,-25
189801,547,-103
189802,598,77
189803,256,-118
189804,234,103
189805,5,-18
189806,0,0
189807,0,0
189808,0,0
189809,0,-3
189810,144,17
189811,450,79
189812,628,15
189901,673,23
189902,631,110
189903,361,-13
189904,182,51
189905,5,-18
189906,0,0
189907,0,0
189908,0,0
189909,4,1
189910,109,-18
189911,333,-38
189912,656,43
190001,680,30
190002,615,94
190003,450,76
190004,121,-10
190005,19,-4
190006,0,0
190007,0,0
190008,0,0
190009,0,-3
190010,58,-69
190011,315,-56
190012,637,24
190101,662,12
190102,633,112
190103,413,39
190104,296,165
190105,14,-9
190106,0,0
190107,0,0
190108,0,0
190109,4,1
190110,145,18
190111,533,162
190112,706,93
190201,740,90
190202,718,197
190203,391,17
190204,185,54
190205,4,-19
190206,0,0
190207,0,0
190208,0,0
190209,6,3
190210,112,-15
190211,247,-124
190212,619,6
190301,720,70
190302,487,-34
190303,229,-145
190304,174,43
190305,16,-7
190306,3,3
190307,0,0
190308,0,0
190309,3,0
190310,155,28
190311,456,85
190312,787,174
190401,802,152
190402,610,89
190403,338,-36
190404,209,78
190405,23,0
190406,0,0
190407,0,0
190408,0,0
190409,0,-3
190410,146,19
190411,441,70
190412,668,55
190501,787,137
190502,748,227
190503,288,-86
190504,118,-13
190505,6,-17
190506,0,0
190507,0,0
190508,0,0
190509,0,-3
190510,118,-9
190511,355,-16
190512,685,72
190601,600,-50
190602,552,31
190603,467,93
190604,90,-41
190605,22,-1
190606,0,0
190607,0,0
190608,0,0
190609,0,-3
190610,161,34
190611,376,5
190612,567,-46
190701,435,-215
190702,574,53
190703,191,-183
190704,287,156
190705,25,2
190706,0,0
190707,0,0
190708,0,0
