South Dakota, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1778,245
189502,1468,212
189503,1111,62
189504,399,-207
189505,310,7
189506,150,51
189507,48,19
189508,45,10
189509,162,-32
189510,662,137
189511,1105,117
189512,1356,-37
189601,1440,-93
189602,1131,-125
189603,1308,259
189604,582,-24
189605,227,-76
189606,86,-13
189607,40,11
189608,39,4
189609,301,107
189610,663,138
189611,1480,492
189612,1230,-163
189701,1674,141
189702,1385,129
189703,1331,282
189704,628,22
189705,275,-28
189706,115,16
189707,28,-1
189708,83,48
189709,68,-126
189710,480,-45
189711,1124,136
189712,1491,98
189801,1350,-183
189802,1172,-84
189803,1101,52
189804,607,1
189805,363,60
189806,88,-11
189807,33,4
189808,31,-4
189809,180,-14
189810,717,192
189811,1149,161
189812,1472,79
189901,1523,-10
189902,1670,414
189903,1520,471
189904,650,44
189905,344,41
189906,108,9
189907,35,6
189908,37,2
189909,220,26
189910,550,25
189911,765,-223
189912,1457,64
190001,1286,-247
190002,1445,189
190003,1108,59
190004,464,-142
190005,188,-115
190006,57,-42
190007,36,7
190008,10,-25
190009,207,13
190010,394,-131
190011,1094,106
190012,1226,-167
190101,1370,-163
190102,1387,131
190103,1035,-14
190104,532,-74
190105,222,-81
190106,106,7
190107,5,-24
190108,22,-13
190109,245,51
190110,450,-75
190111,946,-42
190112,1442,49
190201,1407,-126
190202,1329,73
190203,983,-66
190204,651,45
190205,238,-65
190206,159,60
190207,40,11
190208,60,25
190209,287,93
190210,493,-32
190211,955,-33
190212,1585,192
190301,1472,-61
190302,1499,243
190303,1090,41
190304,590,-16
190305,304,1
190306,133,34
190307,43,14
190308,60,25
190309,283,89
190310,473,-52
190311,1056,68
190312,1452,59
190401,1620,87
190402,1510,254
190403,1073,24
190404,691,85
190405,302,-1
190406,137,38
190407,62,33
190408,55,20
190409,202,8
190410,453,-72
190411,794,-194
190412,1363,-30
190501,1728,195
190502,1492,236
190503,836,-213
190504,654,48
190505,419,116
190506,139,40
190507,68,39
190508,28,-7
190509,144,-50
190510,669,144
190511,878,-110
190512,1284,-109
190601,1358,-175
190602,1228,-28
190603,1364,315
190604,495,-111
190605,310,7
190606,140,41
190607,55,26
190608,43,8
190609,151,-43
190610,560,35
190611,1020,32
190612,1341,-52
190701,1784,251
190702,1192,-64
190703,900,-149
190704,824,218
190705,527,224
190706,129,30
190707,47,18
190708,44,9
190709,256,62
190710,537,12
190711,953,-35
190712,1237,-156
190801,1307,-226
190802,1231,-25
190803,1027,-22
190804,517,-89
190805,360,57
190806,140,41
190807,35,6
190808,70,35
190809,90,-104
190810,593,68
190811,910,-78
190812,1374,-19
190901,1588,55
190902,1280,24
190903,1102,53
190904,790,184
190905,353,50
190906,90,-9
190907,36,7
190908,11,-24
190909,184,-10
190910,562,37
190911,951,-37
190912,1745,352
191001,1574,41
191002,1503,247
191003,595,-454
191004,450,-156
191005,404,101
191006,74,-25
191007,23,-6
191008,66,31
191009,196,2
191010,386,-139
191011,1042,54
191012,1395,2
191101,1548,15
191102,1279,23
191103,833,-216
191104,637,31
191105,225,-78
191106,30,-69
191107,40,11
191108,77,42
191109,179,-15
191110,674,149
191111,1247,259
191112,1395,2
191201,1888,355
191202,1294,38
191203,1334,285
191204,537,-69
191205,285,-18
191206,126,27
191207,39,10
191208,63,28
191209,316,122
191210,525,0
191211,848,-140
191212,1253,-140
191301,1528,-5
191302,1418,162
191303,1236,187
191304,529,-77
191305,352,49
191306,54,-45
191307,37,8
191308,13,-22
191309,171,-23
191310,669,144
191311,794,-194
191312,1218,-175
191401,1277,-256
191402,1501,245
191403,1055,6
191404,611,5
191405,277,-26
191406,73,-26
191407,13,-16
191408,43,8
191409,156,-38
191410,427,-98
191411,827,-161
191412,1644,251
191501,1588,55
191502,1189,-67
191503,1349,300
191504,389,-217
191505,426,123
191506,192,93
191507,104,75
191508,106,71
191509,231,37
191510,461,-64
191511,893,-95
191512,1324,-69
191601,1884,351
191602,1350,94
191603,1004,-45
191604,664,58
191605,353,50
191606,178,79
191607,8,-21
191608,44,9
191609,219,25
191610,636,111
191611,998,10
191612,1674,281
191701,1630,97
191702,1524,268
191703,1200,151
191704,735,129
191705,426,123
191706,151,52
191707,18,-11
191708,63,28
191709,201,7
191710,783,258
191711,755,-233
191712,1669,276
191801,1822,289
191802,1290,34
191803,779,-270
191804,716,110
191805,265,-38
191806,66,-33
191807,45,16
191808,32,-3
191809,304,110
191810,463,-62
191811,959,-29
191812,1240,-153
191901,1233,-300
191902,1361,105
191903,1088,39
191904,638,32
191905,316,13
191906,65,-34
191907,15,-14
191908,34,-1
191909,140,-54
191910,768,243
191911,1214,226
191912,1568,175
192001,1493,-40
192002,1214,-42
192003,1084,35
192004,873,267
192005,326,23
192006,111,12
192007,36,7
192008,53,18
192009,161,-33
192010,407,-118
192011,1055,67
192012,1356,-37
192101,1261,-272
192102,1046,-210
192103,892,-157
192104,556,-50
192105,296,-7
192106,35,-64
192107,16,-13
192108,34,-1
192109,179,-15
192110,454,-71
192111,1124,136
192112,1313,-80
192201,1605,72
192202,1552,296
192203,1031,-18
192204,598,-8
192205,266,-37
192206,65,-34
192207,55,26
192208,17,-18
192209,110,-84
192210,460,-65
192211,912,-76
192212,1504,111
192301,1329,-204
192302,1384,128
192303,1194,145
192304,637,31
192305,312,9
192306,83,-16
192307,16,-13
192308,65,30
192309,163,-31
192310,622,97
192311,810,-178
192312,1190,-203
192401,1720,187
192402,1156,-100
192403,1205,156
192404,612,6
192405,475,172
192406,152,53
192407,53,24
192408,42,7
192409,245,51
192410,363,-162
192411,940,-48
192412,1693,300
192501,1612,79
192502,1129,-127
192503,894,-155
192504,404,-202
192505,312,9
192506,104,5
192507,34,5
192508,23,-12
192509,117,-77
192510,906,381
192511,976,-12
192512,1383,-10
192601,1445,-88
192602,1039,-217
192603,1067,18
192604,590,-16
192605,184,-119
192606,110,11
192607,22,-7
192608,32,-3
192609,258,64
192610,523,-2
192611,1127,139
192612,1459,66
192701,1443,-90
192702,1118,-138
192703,973,-76
192704,640,34
192705,399,96
192706,129,30
192707,55,26
192708,82,47
192709,169,-25
192710,429,-96
192711,1102,114
192712,1822,429
192801,1399,-134
192802,1146,-110
192803,937,-112
192804,763,157
192805,219,-84
192806,186,87
192807,34,5
192808,34,-1
192809,234,40
192810,547,22
192811,961,-27
192812,1212,-181
192901,1877,344
192902,1564,308
192903,934,-115
192904,602,-4
192905,375,72
192906,124,25
192907,19,-10
192908,19,-16
192909,294,100
192910,522,-3
192911,1122,134
192912,1399,6
193001,1861,328
193002,930,-326
193003,1050,1
193004,479,-127
193005,363,60
193006,110,11
193007,7,-22
193008,17,-18
193009,183,-11
193010,619,94
193011,926,-62
193012,1237,-156
193101,1177,-356
193102,924,-332
193103,1058,9
193104,543,-63
193105,342,39
193106,24,-75
193107,10,-19
193108,24,-11
193109,77,-117
193110,435,-90
193111,944,-44
193112,1271,-122
193201,1604,71
193202,1229,-27
193203,1287,238
193204,521,-85
193205,242,-61
193206,66,-33
193207,17,-12
193208,24,-11
193209,196,2
193210,655,130
193211,984,-4
193212,1527,134
193301,1234,-299
193302,1385,129
193303,992,-57
193304,619,13
193305,339,36
193306,17,-82
193307,9,-20
193308,45,10
193309,100,-94
193310,534,9
193311,907,-81
193312,1360,-33
193401,1272,-261
193402,1113,-143
193403,1038,-11
193404,543,-63
193405,77,-226
193406,50,-49
193407,7,-22
193408,28,-7
193409,294,100
193410,397,-128
193411,839,-149
193412,1398,5
193501,1515,-18
193502,993,-263
193503,922,-127
193504,733,127
193505,464,161
193506,140,41
193507,4,-25
193508,23,-12
193509,155,-39
193510,587,62
193511,1132,144
193512,1388,-5
193601,1880,347
193602,1932,676
193603,1017,-32
193604,729,123
193605,170,-133
193606,48,-51
193607,1,-28
193608,7,-28
193609,115,-79
193610,588,63
193611,1028,40
193612,1347,-46
193701,2003,470
193702,1394,138
193703,1114,65
193704,677,71
193705,235,-68
193706,116,17
193707,14,-15
193708,3,-32
193709,138,-56
193710,559,34
193711,1052,64
193712,1445,52
193801,1487,-46
193802,1311,55
193803,879,-170
193804,562,-44
193805,350,47
193806,74,-25
193807,19,-10
193808,8,-27
193809,118,-76
193810,326,-199
193811,1066,78
193812,1282,-111
193901,1266,-267
193902,1523,267
193903,998,-51
193904,606,0
193905,151,-152
193906,93,-6
193907,8,-21
193908,31,-4
193909,110,-84
193910,538,13
193911,838,-150
193912,1088,-305
194001,1831,298
194002,1258,2
194003,1131,82
194004,673,67
194005,293,-10
194006,76,-23
194007,7,-22
194008,35,0
194009,91,-103
194010,348,-177
194011,1144,156
194012,1255,-138
194101,1448,-85
194102,1275,19
194103,1097,48
194104,529,-77
194105,176,-127
194106,93,-6
194107,18,-11
194108,18,-17
194109,180,-14
194110,535,10
194111,901,-87
194112,1184,-209
194201,1352,-181
194202,1260,4
194203,1000,-49
194204,459,-147
194205,404,101
194206,125,26
194207,32,3
194208,33,-2
194209,287,93
194210,523,-2
194211,945,-43
194212,1424,31
194301,1723,190
194302,1110,-146
194303,1244,195
194304,499,-107
194305,382,79
194306,103,4
194307,17,-12
194308,16,-19
194309,220,26
194310,477,-48
194311,1000,12
194312,1249,-144
194401,1237,-296
194402,1300,44
194403,1281,232
194404,714,108
194405,207,-96
194406,113,14
194407,41,12
194408,41,6
194409,204,10
194410,466,-59
194411,967,-21
194412,1381,-12
194501,1394,-139
194502,1199,-57
194503,857,-192
194504,690,84
194505,421,118
194506,218,119
194507,34,5
194508,33,-2
194509,232,38
194510,487,-38
194511,1014,26
194512,1583,190
194601,1398,-135
194602,1170,-86
194603,765,-284
194604,409,-197
194605,403,100
194606,88,-11
194607,20,-9
194608,59,24
194609,213,19
194610,624,99
194611,1041,53
194612,1296,-97
194701,1303,-230
194702,1374,118
194703,1161,112
194704,696,90
194705,392,89
194706,159,60
194707,25,-4
194708,4,-31
194709,157,-37
194710,318,-207
194711,1167,179
194712,1384,-9
194801,1552,19
194802,1365,109
194803,1171,122
194804,467,-139
194805,292,-11
194806,123,24
194807,27,-2
194808,25,-10
194809,95,-99
194810,524,-1
194811,997,9
194812,1440,47
194901,1776,243
194902,1443,187
194903,1097,48
194904,517,-89
194905,219,-84
194906,76,-23
194907,15,-14
