California, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,654,69
189502,463,-13
189503,499,43
189504,355,22
189505,170,-30
189506,64,-5
189507,18,10
189508,16,8
189509,63,24
189510,161,-4
189511,407,33
189512,617,59
189601,509,-76
189602,419,-57
189603,421,-35
189604,460,127
189605,223,23
189606,37,-32
189607,4,-4
189608,10,2
189609,67,28
189610,161,-4
189611,439,65
189612,504,-54
189701,614,29
189702,570,94
189703,614,158
189704,279,-54
189705,155,-45
189706,60,-9
189707,8,0
189708,3,-5
189709,44,5
189710,262,97
189711,411,37
189712,621,63
189801,732,147
189802,441,-35
189803,550,94
189804,261,-72
189805,250,50
189806,56,-13
189807,12,4
189808,4,-4
189809,43,4
189810,166,1
189811,407,33
189812,605,47
189901,549,-36
189902,512,36
189903,491,35
189904,317,-16
189905,292,92
189906,70,1
189907,10,2
189908,35,27
189909,22,-17
189910,241,76
189911,352,-22
189912,554,-4
190001,496,-89
190002,432,-44
190003,348,-108
190004,418,85
190005,160,-40
190006,45,-24
190007,9,1
190008,28,20
190009,100,61
190010,192,27
190011,284,-90
190012,521,-37
190101,609,24
190102,469,-7
190103,417,-39
190104,406,73
190105,228,28
190106,72,3
190107,5,-3
190108,3,-5
190109,91,52
190110,146,-19
190111,331,-43
190112,527,-31
190201,607,22
190202,482,6
190203,556,100
190204,376,43
190205,260,60
190206,59,-10
190207,15,7
190208,17,9
190209,31,-8
190210,212,47
190211,462,88
190212,590,32
190301,581,-4
190302,646,170
190303,523,67
190304,383,50
190305,213,13
190306,61,-8
190307,25,17
190308,10,2
190309,50,11
190310,136,-29
190311,333,-41
190312,560,2
190401,623,38
190402,483,7
190403,485,29
190404,356,23
190405,172,-28
190406,54,-15
190407,16,8
190408,4,-4
190409,25,-14
190410,179,14
190411,318,-56
190412,544,-14
190501,490,-95
190502,425,-51
190503,399,-57
190504,324,-9
190505,287,87
190506,101,32
190507,8,0
190508,10,2
190509,42,3
190510,176,11
190511,411,37
190512,609,51
190601,554,-31
190602,391,-85
190603,477,21
190604,376,43
190605,287,87
190606,92,23
190607,0,-8
190608,8,0
190609,38,-1
190610,133,-32
190611,453,79
190612,568,10
190701,677,92
190702,362,-114
190703,536,80
190704,312,-21
190705,249,49
190706,117,48
190707,13,5
190708,27,19
190709,88,49
190710,168,3
190711,369,-5
190712,520,-38
190801,557,-28
190802,554,78
190803,471,15
190804,313,-20
190805,315,115
190806,127,58
190807,2,-6
190808,11,3
190809,47,8
190810,259,94
190811,388,14
190812,634,76
190901,539,-46
190902,537,61
190903,576,120
190904,341,8
190905,278,78
190906,86,17
190907,22,14
190908,10,2
190909,53,14
190910,198,33
190911,432,58
190912,652,94
191001,692,107
191002,554,78
191003,390,-66
191004,261,-72
191005,151,-49
191006,102,33
191007,9,1
191008,15,7
191009,50,11
191010,160,-5
191011,393,19
191012,516,-42
191101,564,-21
191102,622,146
191103,436,-20
191104,403,70
191105,287,87
191106,110,41
191107,8,0
191108,22,14
191109,95,56
191110,223,58
191111,407,33
191112,660,102
191201,544,-41
191202,451,-25
191203,580,124
191204,473,140
191205,225,25
191206,83,14
191207,27,19
191208,28,20
191209,64,25
191210,269,104
191211,361,-13
191212,626,68
191301,695,110
191302,544,68
191303,527,71
191304,371,38
191305,221,21
191306,106,37
191307,9,1
191308,4,-4
191309,20,-19
191310,163,-2
191311,376,2
191312,602,44
191401,547,-38
191402,466,-10
191403,354,-102
191404,312,-21
191405,218,18
191406,85,16
191407,14,6
191408,14,6
191409,66,27
191410,161,-4
191411,294,-80
191412,672,114
191501,615,30
191502,515,39
191503,394,-62
191504,340,7
191505,273,73
191506,69,0
191507,11,3
191508,1,-7
191509,64,25
191510,164,-1
191511,417,43
191512,570,12
191601,710,125
191602,416,-60
191603,385,-71
191604,304,-29
191605,258,58
191606,98,29
191607,16,8
191608,17,9
191609,59,20
191610,333,168
191611,481,107
191612,689,131
191701,747,162
191702,551,75
191703,585,129
191704,403,70
191705,335,135
191706,48,-21
191707,1,-7
191708,10,2
191709,29,-10
191710,110,-55
191711,344,-30
191712,471,-87
191801,602,17
191802,531,55
191803,457,1
191804,330,-3
191805,292,92
191806,18,-51
191807,13,5
191808,11,3
191809,37,-2
191810,121,-44
191811,435,61
191812,640,82
191901,569,-16
191902,588,112
191903,554,98
191904,326,-7
191905,181,-19
191906,62,-7
191907,6,-2
191908,8,0
191909,57,18
191910,282,117
191911,437,63
191912,573,15
192001,548,-37
192002,489,13
192003,553,97
192004,393,60
192005,211,11
192006,77,8
192007,13,5
192008,2,-6
192009,63,24
192010,290,125
192011,423,49
192012,601,43
192101,640,55
192102,487,11
192103,418,-38
192104,394,61
192105,307,107
192106,61,-8
192107,3,-5
192108,11,3
192109,55,16
192110,141,-24
192111,345,-29
192112,493,-65
192201,719,134
192202,579,103
192203,573,117
192204,435,102
192205,191,-9
192206,51,-18
192207,5,-3
192208,8,0
192209,15,-24
192210,206,41
192211,487,113
192212,527,-31
192301,595,10
192302,537,61
192303,447,-9
192304,389,56
192305,188,-12
192306,149,80
192307,13,5
192308,12,4
192309,32,-7
192310,204,39
192311,309,-65
192312,588,30
192401,614,29
192402,367,-109
192403,529,73
192404,342,9
192405,129,-71
192406,48,-21
192407,16,8
192408,14,6
192409,39,0
192410,275,110
192411,376,2
192412,640,82
192501,584,-1
192502,436,-40
192503,442,-14
192504,350,17
192505,189,-11
192506,52,-17
192507,2,-6
192508,16,8
192509,91,52
192510,230,65
192511,405,31
192512,487,-71
192601,594,9
192602,415,-61
192603,326,-130
192604,238,-95
192605,150,-50
192606,32,-37
192607,5,-3
192608,4,-4
192609,79,40
192610,143,-22
192611,266,-108
192612,619,61
192701,572,-13
192702,468,-8
192703,498,42
192704,364,31
192705,206,6
192706,75,6
192707,4,-4
192708,13,5
192709,82,43
192710,151,-14
192711,334,-40
192712,614,56
192801,545,-40
192802,464,-12
192803,381,-75
192804,327,-6
192805,133,-67
192806,67,-2
192807,11,3
192808,10,2
192809,31,-8
192810,217,52
192811,398,24
192812,614,56
192901,673,88
192902,585,109
192903,499,43
192904,444,111
192905,169,-31
192906,64,-5
192907,5,-3
192908,2,-6
192909,47,8
192910,119,-46
192911,334,-40
192912,425,-133
193001,636,51
193002,398,-78
193003,417,-39
193004,277,-56
193005,291,91
193006,60,-9
193007,6,-2
193008,6,-2
193009,84,45
193010,179,14
193011,346,-28
193012,588,30
193101,548,-37
193102,434,-42
193103,356,-100
193104,231,-102
193105,97,-103
193106,60,-9
193107,0,-8
193108,1,-7
193109,51,12
193110,172,7
193111,481,107
193112,649,91
193201,701,116
193202,541,65
193203,397,-59
193204,353,20
193205,197,-3
193206,64,-5
193207,13,5
193208,11,3
193209,26,-13
193210,175,10
193211,258,-116
193212,694,136
193301,708,123
193302,593,117
193303,451,-5
193304,375,42
193305,320,120
193306,97,28
193307,2,-6
193308,5,-3
193309,79,40
193310,95,-70
193311,306,-68
193312,557,-1
193401,518,-67
193402,410,-66
193403,243,-213
193404,209,-124
193405,119,-81
193406,102,33
193407,4,-4
193408,2,-6
193409,27,-12
193410,159,-6
193411,362,-12
193412,525,-33
193501,609,24
193502,468,-8
193503,596,140
193504,350,17
193505,225,25
193506,52,-17
193507,12,4
193508,4,-4
193509,27,-12
193510,207,42
193511,465,91
193512,543,-15
193601,526,-59
193602,504,28
193603,405,-51
193604,298,-35
193605,147,-53
193606,45,-24
193607,1,-7
193608,2,-6
193609,29,-10
193610,145,-20
193611,326,-48
193612,583,25
193701,881,296
193702,561,85
193703,481,25
193704,364,31
193705,170,-30
193706,57,-12
193707,2,-6
193708,3,-5
193709,26,-13
193710,132,-33
193711,351,-23
193712,465,-93
193801,520,-65
193802,517,41
193803,541,85
193804,351,18
193805,193,-7
193806,67,-2
193807,6,-2
193808,5,-3
193809,20,-19
193810,196,31
193811,432,58
193812,475,-83
193901,590,5
193902,617,141
193903,488,32
193904,244,-89
193905,179,-21
193906,67,-2
193907,6,-2
193908,2,-6
193909,17,-22
193910,149,-16
193911,307,-67
193912,436,-122
194001,506,-79
194002,450,-26
194003,378,-78
194004,286,-47
194005,128,-72
194006,39,-30
194007,10,2
194008,7,-1
194009,52,13
194010,143,-22
194011,396,22
194012,459,-99
194101,534,-51
194102,424,-52
194103,401,-55
194104,395,62
194105,138,-62
194106,89,20
194107,5,-3
194108,15,7
194109,76,37
194110,228,63
194111,326,-48
194112,553,-5
194201,555,-30
194202,549,73
194203,489,33
194204,375,42
194205,242,42
194206,78,9
194207,3,-5
194208,8,0
194209,55,16
194210,149,-16
194211,363,-11
194212,535,-23
194301,567,-18
194302,431,-45
194303,417,-39
194304,304,-29
194305,157,-43
194306,112,43
194307,9,1
194308,15,7
194309,19,-20
194310,165,0
194311,342,-32
194312,549,-9
194401,592,7
194402,569,93
194403,464,8
194404,411,78
194405,207,7
194406,131,62
194407,25,17
194408,12,4
194409,31,-8
194410,150,-15
194411,455,81
194412,518,-40
194501,602,17
194502,487,11
194503,587,131
194504,351,18
194505,229,29
