Tennessee, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,958,97
189502,998,302
189503,561,37
189504,219,-18
189505,95,17
189506,0,-3
189507,0,0
189508,0,0
189509,6,-20
189510,388,165
189511,508,-18
189512,778,-19
189601,854,-7
189602,690,-6
189603,635,111
189604,101,-136
189605,17,-61
189606,3,0
189607,0,0
189608,0,0
189609,24,-2
189610,270,47
189611,424,-102
189612,779,-18
189701,950,89
189702,600,-96
189703,406,-118
189704,235,-2
189705,119,41
189706,0,-3
189707,0,0
189708,0,0
189709,13,-13
189710,135,-88
189711,493,-33
189712,761,-36
189801,697,-164
189802,718,22
189803,375,-149
189804,357,120
189805,37,-41
189806,0,-3
189807,0,0
189808,0,0
189809,9,-17
189810,253,30
189811,613,87
189812,885,88
189901,861,0
189902,969,273
189903,548,24
189904,250,13
189905,26,-52
189906,0,-3
189907,0,0
189908,0,0
189909,33,7
189910,161,-62
189911,425,-101
189912,870,73
190001,837,-24
190002,802,106
190003,599,75
190004,219,-18
190005,71,-7
190006,0,-3
190007,0,0
190008,0,0
190009,4,-22
190010,115,-108
190011,492,-34
190012,771,-26
190101,821,-40
190102,821,125
190103,528,4
190104,373,136
190105,90,12
190106,0,-3
190107,0,0
190108,0,0
190109,41,15
190110,242,19
190111,673,147
190112,957,160
190201,911,50
190202,944,248
190203,513,-11
190204,278,41
190205,22,-56
190206,0,-3
190207,0,0
190208,0,0
190209,45,19
190210,200,-23
190211,354,-172
190212,824,27
190301,865,4
190302,691,-5
190303,362,-162
190304,267,30
190305,55,-23
190306,22,19
190307,0,0
190308,0,0
190309,30,4
190310,234,11
190311,627,101
190312,976,179
190401,939,78
190402,703,7
190403,465,-59
190404,361,124
190405,85,7
190406,2,-1
190407,0,0
190408,0,0
190409,13,-13
190410,244,21
190411,589,63
190412,809,12
190501,1080,219
190502,968,272
190503,375,-149
190504,224,-13
190505,35,-43
190506,0,-3
190507,0,0
190508,0,0
190509,15,-11
190510,220,-3
190511,502,-24
190512,850,53
190601,759,-102
190602,762,66
190603,679,155
190604,180,-57
190605,70,-8
190606,0,-3
190607,0,0
190608,0,0
190609,5,-21
190610,264,41
190611,539,13
190612,722,-75
190701,579,-282
190702,710,14
190703,273,-251
190704,428,191
190705,125,47
190706,9,6
190707,0,0
190708,0,0
190709,21,-5
190710,274,51
190711,594,68
190712,770,-27
190801,876,15
190802,753,57
190803,339,-185
190804,155,-82
190805,54,-24
190806,2,-1
190807,0,0
190808,0,0
190809,20,-6
190810,278,55
190811,448,-78
190812,712,-85
190901,735,-126
190902,570,-126
190903,530,6
190904,218,-19
190905,91,13
190906,0,-3
190907,0,0
190908,0,0
190909,30,4
190910,278,55
190911,325,-201
190912,1003,206
191001,872,11
191002,808,112
191003,324,-200
191004,252,15
191005,125,47
191006,12,9
191007,0,0
191008,0,0
191009,9,-17
191010,170,-53
191011,647,121
191012,963,166
191101,714,-147
191102,541,-155
191103,481,-43
191104,264,27
191105,37,-41
191106,0,-3
191107,0,0
191108,0,0
191109,0,-26
191110,143,-80
191111,628,102
191112,677,-120
191201,1041,180
191202,857,161
191203,628,104
191204,182,-55
191205,59,-19
191206,9,6
191207,0,0
191208,0,0
191209,9,-17
191210,187,-36
191211,606,80
191212,810,13
191301,661,-200
191302,738,42
191303,518,-6
191304,248,11
191305,64,-14
191306,0,-3
191307,0,0
191308,0,0
191309,23,-3
191310,269,46
191311,434,-92
191312,746,-51
191401,750,-111
191402,772,76
191403,658,134
191404,222,-15
191405,65,-13
191406,0,-3
191407,0,0
191408,0,0
191409,27,1
191410,181,-42
191411,540,14
191412,933,136
191501,910,49
191502,632,-64
191503,796,272
191504,169,-68
191505,44,-34
191506,4,1
191507,0,0
191508,0,0
191509,11,-15
191510,169,-54
191511,432,-94
191512,802,5
191601,663,-198
191602,743,47
191603,572,48
191604,276,39
191605,38,-40
191606,7,4
191607,0,0
191608,0,0
191609,38,12
191610,221,-2
191611,513,-13
191612,846,49
191701,753,-108
191702,734,38
191703,523,-1
191704,209,-28
191705,179,101
191706,8,5
191707,0,0
191708,0,0
191709,36,10
191710,396,173
191711,577,51
191712,1083,286
191801,1226,365
191802,592,-104
191803,346,-178
191804,265,28
191805,34,-44
191806,0,-3
191807,0,0
191808,0,0
191809,88,62
191810,138,-85
191811,555,29
191812,617,-180
191901,843,-18
191902,698,2
191903,494,-30
191904,226,-11
191905,92,14
191906,0,-3
191907,0,0
191908,0,0
191909,17,-9
191910,67,-156
191911,479,-47
191912,824,27
192001,850,-11
192002,742,46
192003,562,38
192004,276,39
192005,79,1
192006,6,3
192007,0,0
192008,0,0
192009,14,-12
192010,186,-37
192011,613,87
192012,782,-15
192101,737,-124
