Texas, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,574,35
189502,686,299
189503,245,-8
189504,55,-12
189505,10,4
189506,0,0
189507,0,0
189508,0,0
189509,1,-1
189510,112,59
189511,374,110
189512,524,47
189601,543,4
189602,382,-5
189603,317,64
189604,36,-31
189605,1,-5
189606,0,0
189607,0,0
189608,0,0
189609,2,0
189610,78,25
189611,264,0
189612,457,-20
189701,655,116
189702,326,-61
189703,165,-88
189704,62,-5
189705,7,1
189706,0,0
189707,0,0
189708,0,0
189709,1,-1
189710,33,-20
189711,249,-15
189712,589,112
189801,460,-79
189802,319,-68
189803,241,-12
189804,83,16
189805,2,-4
189806,0,0
189807,0,0
189808,0,0
189809,1,-1
189810,69,16
189811,368,104
189812,635,158
189901,602,63
189902,662,275
189903,221,-32
189904,87,20
189905,1,-5
189906,0,0
189907,0,0
189908,0,0
189909,1,-1
189910,38,-15
189911,248,-16
189912,527,50
190001,480,-59
190002,434,47
190003,246,-7
190004,71,4
190005,6,0
190006,0,0
190007,0,0
190008,0,0
190009,0,-2
190010,33,-20
190011,225,-39
190012,471,-6
190101,436,-103
190102,465,78
190103,258,5
190104,95,28
190105,5,-1
190106,0,0
190107,0,0
190108,0,0
190109,1,-1
190110,32,-21
190111,228,-36
190112,521,44
190201,575,36
190202,456,69
190203,221,-32
190204,33,-34
190205,1,-5
190206,0,0
190207,0,0
190208,0,0
190209,5,3
190210,51,-2
190211,172,-92
190212,486,9
190301,548,9
190302,503,116
190303,280,27
190304,73,6
190305,12,6
190306,1,1
190307,0,0
190308,0,0
190309,3,1
190310,82,29
190311,293,29
190312,486,9
190401,578,39
190402,292,-95
190403,139,-114
190404,64,-3
190405,7,1
190406,0,0
190407,0,0
190408,0,0
190409,1,-1
190410,43,-10
190411,267,3
190412,480,3
190501,642,103
190502,695,308
190503,182,-71
190504,83,16
190505,3,-3
190506,0,0
190507,0,0
190508,0,0
190509,1,-1
190510,64,11
190511,211,-53
190512,639,162
190601,527,-12
190602,446,59
190603,359,106
190604,55,-12
190605,6,0
190606,0,0
190607,0,0
190608,0,0
190609,1,-1
190610,123,70
190611,270,6
190612,338,-139
190701,317,-222
190702,317,-70
190703,85,-168
190704,90,23
190705,28,22
190706,0,0
190707,0,0
190708,0,0
190709,1,-1
190710,53,0
190711,354,90
190712,438,-39
190801,480,-59
190802,386,-1
190803,128,-125
190804,51,-16
190805,6,0
190806,0,0
190807,0,0
190808,0,0
190809,2,0
190810,86,33
190811,242,-22
190812,391,-86
190901,402,-137
190902,316,-71
190903,220,-33
190904,64,-3
190905,6,0
190906,0,0
190907,0,0
190908,0,0
190909,1,-1
190910,47,-6
190911,130,-134
190912,675,198
191001,485,-54
191002,501,114
191003,140,-113
191004,71,4
191005,9,3
191006,0,0
191007,0,0
191008,0,0
191009,0,-2
191010,55,2
191011,212,-52
191012,450,-27
191101,344,-195
191102,281,-106
191103,161,-92
191104,61,-6
191105,3,-3
191106,0,0
191107,0,0
191108,0,0
191109,0,-2
191110,53,0
191111,364,100
191112,555,78
191201,664,125
191202,500,113
191203,391,138
191204,66,-1
191205,2,-4
191206,0,0
191207,0,0
191208,0,0
