Utah, Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1900-2000
Missing: -9999
Date,Value,Anomaly
189501,1386,125
189502,1208,185
189503,1046,117
189504,580,-72
189505,402,-4
189506,237,59
189507,76,38
189508,60,3
189509,260,27
189510,581,19
189511,1077,160
189512,1426,215
189601,1177,-84
189602,1037,14
189603,982,53
189604,751,99
189605,559,153
189606,124,-54
189607,55,17
189608,73,16
189609,274,41
189610,576,14
189611,1057,140
189612,1096,-115
189701,1282,21
189702,1104,81
189703,1194,265
189704,683,31
189705,278,-128
189706,204,26
189707,87,49
189708,58,1
189709,224,-9
189710,662,100
189711,892,-25
189712,1392,181
189801,1561,300
189802,1048,25
189803,1102,173
189804,553,-99
189805,499,93
189806,168,-10
189807,36,-2
189808,29,-28
189809,248,15
189810,710,148
189811,1023,106
189812,1449,238
189901,1185,-76
189902,1138,115
189903,979,50
189904,641,-11
189905,536,130
189906,210,32
189907,37,-1
189908,120,63
189909,205,-28
189910,715,153
189911,811,-106
189912,1335,124
190001,1094,-167
190002,1011,-12
190003,752,-177
190004,682,30
190005,351,-55
190006,104,-74
190007,49,11
190008,85,28
190009,321,88
190010,607,45
190011,839,-78
190012,1134,-77
190101,1211,-50
190102,1021,-2
190103,992,63
190104,682,30
190105,303,-103
190106,224,46
190107,19,-19
190108,34,-23
190109,298,65
190110,511,-51
190111,800,-117
190112,1160,-51
190201,1247,-14
190202,905,-118
190203,1052,123
190204,639,-13
190205,399,-7
190206,147,-31
190207,85,47
190208,71,14
190209,259,26
190210,560,-2
190211,935,18
190212,1217,6
190301,1225,-36
190302,1450,427
190303,997,68
190304,699,47
190305,494,88
190306,141,-37
190307,73,35
190308,53,-4
190309,316,83
190310,578,16
190311,908,-9
190312,1269,58
190401,1390,129
190402,957,-66
190403,930,1
190404,626,-26
190405,400,-6
190406,215,37
190407,59,21
190408,66,9
190409,231,-2
190410,580,18
190411,847,-70
190412,1194,-17
190501,1187,-74
190502,1052,29
190503,824,-105
190504,616,-36
190505,512,106
190506,183,5
190507,44,6
190508,47,-10
190509,236,3
190510,731,169
190511,911,-6
190512,1413,202
190601,1306,45
190602,1007,-16
190603,1007,78
190604,644,-8
190605,454,48
190606,256,78
190607,46,8
190608,72,15
190609,261,28
190610,608,46
190611,970,53
190612,1047,-164
190701,1223,-38
190702,790,-233
190703,835,-94
190704,602,-50
190705,499,93
190706,316,138
190707,50,12
190708,96,39
190709,266,33
190710,475,-87
190711,919,2
190712,1133,-78
190801,1268,7
190802,1048,25
190803,917,-12
190804,595,-57
190805,550,144
190806,305,127
190807,44,6
190808,96,39
190809,273,40
190810,741,179
190811,989,72
190812,1309,98
190901,1076,-185
190902,1044,21
190903,1004,75
190904,756,104
190905,522,116
190906,152,-26
190907,41,3
190908,46,-11
190909,271,38
190910,558,-4
190911,888,-29
190912,1527,316
191001,1334,73
191002,1145,122
191003,706,-223
191004,523,-129
191005,373,-33
191006,129,-49
191007,29,-9
191008,66,9
191009,189,-44
191010,582,20
191011,781,-136
191012,1135,-76
191101,1095,-166
191102,1110,87
191103,858,-71
191104,684,32
191105,425,19
191106,168,-10
191107,59,21
191108,66,9
191109,231,-2
191110,672,110
191111,1027,110
191112,1351,140
191201,1202,-59
